Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,574","8,292","5,680","5,136","5,177","3,521","4,046","3,750","4,606","3,757","2,347"
Market Cap Growth,11.10%,46.00%,10.59%,-0.80%,47.04%,-12.99%,7.92%,-18.60%,22.61%,60.09%,7.43%
Last Close Price,128.03,122.72,89.69,80.08,84.78,56.11,63.59,58.80,72.19,63.13,41.79
PE Ratio,11.76,12.43,9.55,10.66,11.82,12.96,11.65,11.19,18.58,19.53,16.09
PS Ratio,3.34,3.53,2.63,2.74,2.93,2.46,2.87,2.92,4.11,3.72,2.67
PB Ratio,1.29,1.31,1.05,1.07,1.15,0.86,1.10,1.15,1.55,1.39,1.00
P/FCF Ratio,7.77,13.05,8.14,3.89,4.82,-,22.00,12.14,13.45,13.56,-
P/OCF Ratio,7.46,11.49,7.63,3.74,4.58,-,15.21,9.94,11.47,12.08,60.23
Debt / Equity Ratio,0.63,0.73,0.73,0.82,0.57,0.66,0.52,0.39,0.42,0.32,0.67
Debt / FCF Ratio,4.01,7.29,5.63,2.98,2.37,-,10.39,4.15,3.66,3.06,-
Return on Equity (ROE),11.69%,11.84%,12.21%,10.97%,10.82%,7.51%,10.22%,10.99%,9.09%,8.20%,7.09%
Return on Assets (ROA),1.18%,1.15%,1.14%,0.99%,0.98%,0.72%,1.05%,1.16%,0.96%,0.85%,0.73%
Earnings Yield,8.61%,8.38%,10.96%,9.92%,9.00%,8.32%,8.79%,9.15%,5.59%,5.51%,6.68%
FCF Yield,12.86%,7.66%,12.29%,25.73%,20.74%,-16.53%,4.55%,8.24%,7.43%,7.37%,-0.19%
Dividend Yield,1.56%,1.47%,1.78%,1.70%,1.46%,2.00%,1.57%,1.29%,0.78%,0.76%,1.05%
Payout Ratio,18.37%,20.61%,20.19%,21.23%,21.16%,29.32%,18.30%,14.86%,15.73%,18.64%,19.07%
Buyback Yield / Dilution,-7.05%,-4.21%,-3.32%,-3.99%,0.40%,-0.69%,-0.72%,-0.92%,-4.45%,-4.50%,-2.15%
Total Shareholder Return,-5.49%,-2.74%,-1.54%,-2.29%,1.86%,1.30%,0.85%,0.37%,-3.67%,-3.74%,-1.09%
