Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"3,207","3,065","2,558","1,529","1,166","1,177","1,240","1,060",868.88,741,651.83
Interest Income on Investments,478.17,412.81,335.37,218.52,109.79,115.69,144.67,110.57,77.59,71.46,66.63
Total Interest Income,"3,685","3,478","2,893","1,747","1,275","1,293","1,385","1,171",946.47,812.46,718.46
Interest Paid on Deposits,"1,356","1,344",906.47,175.2,88.12,189.18,278.89,166.55,83.33,58.41,48.86
Interest Paid on Borrowings,163.95,171.42,148.78,76.88,62.41,63.94,51.33,39.35,31.07,31.86,28.07
Total Interest Expense,"1,520","1,515","1,055",252.08,150.53,253.11,330.22,205.91,114.39,90.26,76.94
Net Interest Income,"2,165","1,963","1,838","1,495","1,125","1,040","1,055",964.9,832.08,722.19,641.53
Net Interest Income Growth (YoY),13.53%,6.78%,22.90%,32.93%,8.18%,-1.42%,9.33%,15.96%,15.21%,12.57%,7.18%
Trust Income,146.83,146.23,130.61,126.61,124.02,100.34,97.11,90.96,81.77,76.02,73.45
Mortgage Banking Activities,88.6,93.21,83.07,155.17,273.01,346.01,154.29,136.99,113.47,128.74,115.01
Income From Trading Activities,0.15,0.5,1.14,3.75,0.25,-1,-0.16,0.01,-0.85,0.09,-0.25
Gain (Loss) on Sale of Investments,3.98,-2.6,1.53,-20.43,-1.06,-1.93,3.53,-2.9,0.05,7.65,0.32
Other Non-Interest Income,165.69,183.46,161.33,136.67,135.14,115.12,113.29,94.08,89.33,77.41,55.67
Total Non-Interest Income,482.8,486.46,432.92,460.36,585.52,603.56,407.14,355.55,318.28,321.11,271.6
Non-Interest Income Growth (YoY),1.82%,12.37%,-5.96%,-21.38%,-2.99%,48.24%,14.51%,11.71%,-0.88%,18.23%,26.18%
Revenues Before Loan Losses,"2,648","2,449","2,271","1,956","1,710","1,643","1,462","1,320","1,150","1,043",913.13
Provision for Loan Losses,84.94,101.05,114.39,78.59,-59.26,214.22,53.86,34.83,29.77,34.08,32.94
Revenue,"2,563","2,348","2,156","1,877","1,770","1,429","1,408","1,286","1,121","1,009",880.18
Revenue Growth (YoY),13.69%,8.88%,14.88%,6.07%,23.82%,1.49%,9.53%,14.73%,11.04%,14.66%,10.96%
Salaries and Employee Benefits,821.68,779,714.52,664.36,675.49,631.01,535.12,466.58,417.22,395.86,372.42
Occupancy Expenses,82.41,79.21,77.07,70.97,74.18,69.96,64.29,57.81,52.92,33.51,33.18
Federal Deposit Insurance,43.96,46.12,71.1,28.64,27.03,25,9.2,17.21,16.23,16.07,12.39
Amortization of Goodwill & Intangibles,22.17,12.1,5.5,6.12,7.73,11.02,11.84,4.57,4.4,4.79,4.62
"Selling, General & Administrative",369.52,345.39,319.12,289.36,248.62,195.39,203.28,194.22,165.48,150.98,127.08
Other Non-Interest Expense,154.57,141.32,126.72,117.98,101.14,108.63,100.77,79.57,71.97,75.3,74.24
Total Non-Interest Expense,"1,496","1,403","1,312","1,177","1,133","1,040",928.13,826.09,731.82,681.69,628.42
EBT Excluding Unusual Items,"1,067",945.22,843.9,699.86,637.2,389.15,480.07,459.53,388.77,327.54,251.77
Other Unusual Items,2.2,1.87,1.18,0.69,0.6,0.63,0.04,0.6,1.23,4.32,-
Pretax Income,"1,069",947.09,845.08,700.56,637.8,389.78,480.1,460.13,390,331.85,251.77
Income Tax Expense,283.08,252.04,222.46,190.87,171.65,96.79,124.4,116.97,132.32,124.98,95.02
Net Income,786.18,695.05,622.63,509.68,466.15,292.99,355.7,343.17,257.68,206.88,156.75
Preferred Dividends & Other Adjustments,48.31,27.96,27.96,27.96,27.96,21.38,8.2,8.2,9.78,14.51,10.87
Net Income to Common,737.87,667.08,594.66,481.72,438.19,271.61,347.5,334.97,247.9,192.36,145.88
Net Income Growth,24.17%,11.63%,22.16%,9.34%,59.10%,-17.63%,3.65%,33.17%,24.56%,31.98%,3.53%
Basic Shares Outstanding,67,64,61,59,57,58,57,56,55,50,48
Diluted Shares Outstanding,68,65,62,60,58,58,58,57,57,54,52
Shares Change (YoY),7.05%,4.21%,3.32%,3.99%,-0.40%,0.69%,0.72%,0.92%,4.45%,4.50%,2.15%
EPS (Basic),11.05,10.47,9.72,8.14,7.69,4.72,6.11,5.95,4.53,3.83,3.05
EPS (Diluted),10.89,10.31,9.58,8.02,7.58,4.68,6.03,5.86,4.40,3.66,2.93
EPS Growth,13.95%,7.62%,19.45%,5.80%,61.97%,-22.39%,2.90%,33.15%,20.23%,24.92%,-1.59%
Dividend Per Share,1.950,1.800,1.600,1.360,1.240,1.120,1.000,0.760,0.560,0.480,0.440
Dividend Growth,11.43%,12.50%,17.65%,9.68%,10.71%,12.00%,31.58%,35.71%,16.67%,9.09%,10.00%
Effective Tax Rate,26.47%,26.61%,26.32%,27.25%,26.91%,24.83%,25.91%,25.42%,33.93%,37.66%,37.74%
