Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,565.47,458.54,423.46,490.97,"1,111",322.47,286.48,392.2,277.59,270.05,275.8
Investment Securities,"7,321","8,652","6,410","6,127","8,757","6,100","4,076","2,698","2,374","2,180","2,116"
Trading Asset Securities,208.96,204.1,280.43,297.98,166.07,279.09,104.71,74.86,53.06,58.38,51.75
Mortgage-Backed Securities,"4,945","3,793","3,233","2,899","2,014","2,428","2,380","1,630","1,320","1,161","1,093"
Total Investments,"12,475","12,649","9,924","9,324","10,937","8,807","6,561","4,403","3,746","3,399","3,261"
Gross Loans,"52,636","48,601","42,699","39,675","35,167","32,435","27,150","24,167","21,940","19,960","17,387"
Allowance for Loan Losses,-386.62,-364.02,-344.24,-270.17,-247.84,-319.37,-156.83,-152.77,-137.91,-123.61,-108.43
Other Adjustments to Gross Loans,-272,-267.7,-285.4,-224.5,-135.5,-113.1,-118.4,-112.9,-87,-69.6,-56.7
Net Loans,"51,978","47,969","42,069","39,180","34,783","32,002","26,875","23,901","21,715","19,767","17,222"
"Property, Plant & Equipment",775.43,779.13,748.97,764.8,766.41,768.81,754.33,671.17,621.9,597.3,592.26
Goodwill,797.64,796.94,656.67,653.52,655.15,645.71,645.22,573.14,501.88,498.59,471.76
Other Intangible Assets,105.3,121.69,22.89,22.19,28.31,36.04,47.06,49.42,17.62,21.85,24.21
Loans Held for Sale,333.88,331.26,292.72,299.94,817.91,"1,272",377.31,264.07,313.59,418.37,388.04
Accrued Interest Receivable,342.4,332.8,304.5,214,117.4,121.9,303.09,260.28,227.65,204.51,193.09
Other Receivables,978.21,31.57,716.48,948.62,38.88,28.45,26.17,290.06,124.82,25.18,27.63
Other Real Estate Owned & Foreclosed,24.83,23.12,13.31,9.9,4.27,16.56,15.18,25.1,40.8,40.86,44.12
Other Long-Term Assets,970.69,"1,105",883.2,816.28,747.13,923.56,629.64,324.23,238.48,292.03,308.59
Total Assets,"69,630","64,880","56,260","52,950","50,142","45,081","36,621","31,245","27,916","25,669","22,909"
Interest Bearing Deposits,"45,759","37,202","32,477","28,234","26,716","21,988","19,046","15,903","13,475","12,987","11,224"
Institutional Deposits,-,"3,900","2,500","2,000","1,200","3,357","3,844","3,622","2,916","2,744","2,580"
Non-Interest Bearing Deposits,"10,952","11,410","10,420","12,668","14,180","11,748","7,217","6,570","6,792","5,927","4,836"
Total Deposits,"56,711","52,512","45,397","42,903","42,096","37,093","30,107","26,095","23,183","21,659","18,640"
Short-Term Borrowings,141.71,241.75,281.13,645.69,207.2,359.83,149.72,120.67,302.88,103.65,508.01
Current Portion of Long-Term Debt,-,323.2,25,-,-,2.99,6.47,-,94.66,52.64,26.43
Current Portion of Leases,-,25.41,-,-,-,-,-,-,-,-,-
