Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,964","3,091","3,897","3,553","4,159","3,345","2,909","2,136","2,026","1,688","1,230"
Market Cap Growth,-9.64%,-20.67%,9.66%,-14.56%,24.33%,15.00%,36.19%,5.39%,20.08%,37.19%,-27.63%
Enterprise Value,"3,918","3,988","4,648","4,116","4,367","4,027","3,618","2,782","2,489","2,240","1,859"
Last Close Price,38.42,38.00,45.62,39.31,50.79,38.16,31.75,22.26,31.24,25.25,17.54
PE Ratio,46.66,141.32,62.75,10.64,9.81,20.05,52.26,17.38,23.44,154.29,38.79
PS Ratio,2.70,2.91,3.81,2.67,3.11,3.21,3.52,2.19,2.99,2.82,2.14
PB Ratio,1.56,1.52,1.80,1.57,2.73,2.56,2.37,1.62,10.11,10.80,6.04
P/OCF Ratio,14.66,16.40,24.49,7.22,8.24,9.98,20.92,11.94,12.46,16.53,16.62
EV/Sales Ratio,3.51,3.76,4.54,3.09,3.27,3.87,4.37,2.86,3.67,3.74,3.23
EV/EBITDA Ratio,20.10,27.41,27.77,7.76,7.15,11.75,23.53,10.22,14.03,19.26,19.46
EV/EBIT Ratio,43.16,117.31,97.14,9.49,8.16,15.12,43.40,13.82,16.71,26.65,31.56
Debt / Equity Ratio,0.56,0.52,0.49,0.47,0.53,0.63,0.65,0.58,2.86,3.74,3.11
Debt / EBITDA Ratio,5.33,7.09,6.18,1.98,1.30,2.36,4.99,2.79,3.23,5.02,6.64
Asset Turnover,0.34,0.32,0.29,0.44,0.54,0.45,0.36,0.59,0.72,0.62,0.56
Inventory Turnover,10.99,9.10,9.41,9.20,9.22,9.32,9.22,10.94,7.85,8.40,10.34
Quick Ratio,0.95,0.89,0.99,2.62,2.59,2.00,0.87,0.79,1.77,1.65,0.27
Current Ratio,1.96,1.49,1.44,3.37,3.34,2.55,1.62,1.92,2.58,2.70,0.88
Return on Equity (ROE),3.25%,1.04%,2.80%,17.62%,29.94%,13.18%,4.38%,16.22%,48.46%,6.08%,14.79%
Return on Assets (ROA),1.75%,0.63%,0.86%,8.91%,13.60%,7.21%,2.28%,7.67%,9.90%,5.41%,3.60%
Return on Capital (ROIC),1.87%,0.67%,0.91%,9.60%,15.01%,8.02%,2.54%,8.84%,12.29%,6.66%,4.35%
Earnings Yield,2.18%,0.71%,1.59%,9.40%,10.19%,4.99%,1.91%,5.75%,4.27%,0.65%,2.58%
Dividend Yield,4.71%,4.74%,3.94%,4.50%,3.29%,4.22%,5.04%,7.19%,4.88%,5.94%,8.55%
Payout Ratio,219.60%,650.71%,231.23%,39.66%,91.60%,64.65%,193.53%,83.28%,71.64%,556.24%,192.40%
Buyback Yield / Dilution,1.39%,1.03%,-9.93%,-7.68%,-0.22%,0.26%,-9.59%,-49.94%,-0.47%,-0.11%,-0.23%
Total Shareholder Return,6.10%,5.77%,-5.99%,-3.18%,3.06%,4.48%,-4.55%,-42.75%,4.41%,5.83%,8.32%
