Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,458,674,425,127,64.8,46.87,44.39,192.73,192.14,126.09,69.31
Short-Term Investments,94,102,207,-,-,-,-,-,59.43,-,0.05
Cash & Short-Term Investments,552,776,632,127,64.8,46.87,44.39,192.73,251.57,126.09,69.36
Cash Growth,334.64%,22.79%,397.63%,95.99%,38.25%,5.60%,-76.97%,-23.39%,99.51%,81.79%,-42.50%
Accounts Receivable,44,40,43,67.65,30.92,22.52,28.56,31.08,40.44,49.13,45.47
Other Receivables,-,-,12,10.26,3.74,3.31,3.93,1.71,1.49,1.04,0.94
Receivables,85,403,55,77.92,34.66,25.82,32.49,32.79,56.44,50.16,46.41
Inventory,3,3,4,1.76,1.37,1.8,2.78,2.22,1.76,1.88,2.03
Prepaid Expenses,-,2,2,-,-,-,-,-,-,-,2.75
Other Current Assets,24,24,11,28.41,15.56,7.5,7.29,7.89,9.3,22,36.1
Total Current Assets,664,"1,208",704,235.09,116.39,82,86.95,235.64,319.08,200.14,156.65
"Property, Plant & Equipment",746,624,597,520.84,596.21,512.8,533.14,314.21,280.37,263.73,327.47
Goodwill,118,14,15,11.13,-,-,-,-,-,-,-
Other Intangible Assets,351,283,257,233.09,313.62,293.86,342.89,298.61,144.84,149.11,181.1
Long-Term Accounts Receivable,-,-,-,41.77,51.07,41.37,45.06,34.37,3.73,-,-
Long-Term Deferred Tax Assets,-,-,-,3.34,5.26,12.56,16.94,7.92,10.13,11.15,-
Long-Term Deferred Charges,-,30,38,8.29,5.51,1.69,-,-,-,2.6,2.2
Other Long-Term Assets,61,50,29,36.57,0.72,0.73,2.7,3.75,10.89,13.18,32.23
Total Assets,"1,940","2,209","1,983","1,090","1,089",945.02,"1,028",894.49,769.04,649.38,699.66
Accounts Payable,177,132,120,54.5,8.08,4.3,9.37,12.23,11.39,18.74,18.29
Accrued Expenses,-,23,15,53.29,57.9,46.03,48.09,45.69,49.79,31.61,44.23
Short-Term Debt,-,-,4,-,-,-,-,-,-,-,94.41
Current Portion of Long-Term Debt,148,591,5,21,2.18,4.91,-,-,-,-,-
Current Portion of Leases,-,78,74,57.88,28.83,27.88,29.83,0.38,-,-,-
Current Income Taxes Payable,22,23,16,13.96,24.14,22.87,26,13.55,10.67,0.06,-
Current Unearned Revenue,-,33,26,49.07,59.91,51.53,56.44,42.51,37,35.46,37.9
Other Current Liabilities,77,7,5,28.98,52.6,142.84,176.98,166.17,42.72,96.15,56.41
Total Current Liabilities,424,887,265,278.68,233.64,300.37,346.71,280.52,151.56,182.01,251.25
Long-Term Debt,265,-,597,38.13,253.31,135.46,-,-,-,-,-
Long-Term Leases,-,216,207,166.26,117.22,95.61,88.35,1.11,-,-,-
Long-Term Unearned Revenue,-,4,4,4.71,6.85,6.43,7.07,6.5,6.13,5.61,5.83
Pension & Post-Retirement Benefits,-,-,-,0.8,0.89,0.94,0.98,0.54,0.36,0.23,0.31
Long-Term Deferred Tax Liabilities,17,6,5,-,-,-,-,-,-,-,0.89
Other Long-Term Liabilities,13,16,18,6.76,21.93,6.96,9.61,4.14,4.52,2.11,0.76
Total Liabilities,719,"1,129","1,096",495.36,633.83,545.78,452.73,292.83,162.57,189.96,259.05
Common Stock,"1,221","3,160","2,873",17.68,23.92,22.91,37.27,31.89,31.39,37.22,41.83
Additional Paid-In Capital,-,-,-,7.19,9.44,9.04,10.85,9.29,9.14,9.53,10.71
Retained Earnings,-,-,-,564.77,416.73,362.64,536.8,569.02,574.34,421.43,403.43
Treasury Stock,-,-,-,-,-,-,-15.56,-13.32,-13.11,-13.66,-15.35
Comprehensive Income & Other,-,"-2,080","-1,986",3.59,4.86,4.65,5.58,4.78,4.7,4.9,-
Total Common Equity,"1,221","1,080",887,593.24,454.94,399.24,574.95,601.67,606.47,459.42,440.61
Minority Interest,-,-,-,1.52,-,-,-,-,-,-,-
Shareholders' Equity,"1,221","1,080",887,594.76,454.94,399.24,574.95,601.67,606.47,459.42,440.61
Total Liabilities & Equity,"1,940","2,209","1,983","1,090","1,089",945.02,"1,028",894.49,769.04,649.38,699.66
Total Debt,413,885,887,283.27,401.55,263.86,118.19,1.49,-,-,94.41
Net Cash (Debt),139,-109,-255,-156.27,-336.75,-216.99,-73.8,191.24,251.57,126.09,-25.05
Net Cash Growth,-,-,-,-,-,-,-,-23.98%,99.51%,-,-
Net Cash Per Share,10.61,-8.32,-,-11.93,-25.72,-16.57,-5.64,14.60,19.21,9.63,-1.91
Filing Date Shares Outstanding,13.1,13.1,-,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1
Total Common Shares Outstanding,13.1,13.1,-,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1
Working Capital,240,321,439,-43.59,-117.25,-218.37,-259.76,-44.89,167.52,18.12,-94.6
Book Value Per Share,93.24,82.47,-,45.30,34.74,30.49,43.90,45.95,46.31,35.08,33.65
Tangible Book Value,752,783,615,349.02,141.32,105.38,232.06,303.06,461.63,310.32,259.51
Tangible Book Value Per Share,57.43,59.79,-,26.65,10.79,8.05,17.72,23.14,35.25,23.70,19.82
Land,-,-,-,1.21,1.63,1.56,1.88,1.61,1.58,1.65,4.42
Buildings,-,-,-,59.93,80.49,74.99,86.51,70.62,68.15,67.73,77.17
Machinery,-,-,-,694.95,972.44,862.24,924.87,710.12,630.16,649.82,151.92
Construction In Progress,-,-,-,-,-,-,25.06,21.66,27.22,37.45,82.41
