Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,552",317,-,-,-,-,-,-,-,-,-
Enterprise Value,"2,416","3,341",-,-,-,-,-,-,-,-,-
Last Close Price,11.22,10.01,-,-,-,-,-,-,-,-,-
PE Ratio,0.49,1.12,-,-,-,-,-,-,-,-,-
PS Ratio,0.14,0.34,-,-,-,-,-,-,-,-,-
PB Ratio,0.12,0.29,-,-,-,-,-,-,-,-,-
P/TBV Ratio,3.40,0.40,-,-,-,-,-,-,-,-,-
P/FCF Ratio,7.81,1.18,-,-,-,-,-,-,-,-,-
P/OCF Ratio,5.16,0.74,-,-,-,-,-,-,-,-,-
EV/Sales Ratio,2.33,3.64,-,-,-,-,-,-,-,-,-
EV/EBITDA Ratio,4.66,7.52,-,-,-,-,-,-,-,-,-
EV/EBIT Ratio,5.87,9.49,-,-,-,-,-,-,-,-,-
EV/FCF Ratio,7.39,12.47,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.34,0.82,1.00,0.48,0.88,0.66,0.21,0.00,-,-,0.21
Debt / EBITDA Ratio,0.73,1.81,1.74,0.60,0.59,0.46,0.21,0.00,-,-,0.38
Debt / FCF Ratio,1.26,3.30,2.80,1.02,0.90,0.69,0.34,0.03,-,-,0.97
Asset Turnover,-,0.44,0.60,0.88,1.00,0.97,0.90,0.82,0.87,0.91,0.99
Inventory Turnover,-,28.57,32.92,255.20,220.86,144.60,121.15,138.00,146.05,173.50,122.58
Quick Ratio,1.41,0.92,2.59,0.74,0.43,0.24,0.22,0.80,1.94,0.97,0.46
Current Ratio,1.57,1.36,2.66,0.84,0.50,0.27,0.25,0.84,2.11,1.10,0.62
Return on Equity (ROE),-,28.78%,38.34%,55.10%,94.52%,82.26%,58.76%,40.37%,41.86%,29.54%,27.53%
Return on Assets (ROA),-,10.50%,14.87%,23.99%,32.57%,31.45%,26.99%,21.48%,19.91%,15.33%,18.67%
Return on Capital (ROIC),-,11.77%,17.22%,30.08%,43.64%,45.66%,40.02%,29.52%,26.47%,20.84%,25.94%
Return on Capital Employed (ROCE),27.20%,26.60%,21.10%,44.80%,63.20%,70.30%,65.70%,46.90%,35.90%,33.40%,41.50%
Earnings Yield,11.78%,89.41%,-,-,-,-,-,-,-,-,-
FCF Yield,12.80%,84.67%,-,-,-,-,-,-,-,-,-
Payout Ratio,-,-,-,-,118.19%,125.82%,136.87%,66.49%,41.52%,15.20%,-
