Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,277","2,879","1,588",716,"1,357",510,406,318,377,339,-
Market Cap Growth,108.05%,81.33%,121.65%,-47.21%,166.11%,25.45%,27.71%,-15.47%,10.93%,-,-
Enterprise Value,"6,473","2,107","1,154",357,"1,028",324,236,94,137,266,-
Last Close Price,95.95,42.05,27.50,15.47,31.80,17.53,14.08,14.00,19.40,21.11,-
PS Ratio,120.50,79.68,36.13,17.23,27.63,17.03,13.06,8.29,14.31,128.11,-
PB Ratio,9.39,4.44,4.46,2.90,4.29,4.99,3.10,3.01,5.54,9.34,-
P/TBV Ratio,9.41,4.46,4.48,2.92,4.32,5.13,3.17,3.09,5.57,9.44,-
EV/Sales Ratio,114.35,58.31,26.26,8.57,20.93,10.82,7.59,2.45,5.22,100.22,-
Debt / Equity Ratio,0.02,0.02,0.03,0.06,0.01,0.04,0.04,0.03,-,0.01,0.02
Asset Turnover,0.07,0.06,0.11,0.10,0.14,0.12,0.12,0.16,0.16,0.05,0.10
Quick Ratio,7.59,6.22,5.19,3.74,5.80,4.48,6.60,7.04,6.76,6.03,5.26
Current Ratio,7.97,6.54,5.34,3.88,5.90,4.66,6.72,7.17,6.80,7.37,5.47
Return on Equity (ROE),-51.57%,-42.88%,-51.35%,-46.58%,-31.93%,-73.22%,-46.51%,-33.18%,-142.34%,-151.26%,-187.98%
Return on Assets (ROA),-26.53%,-27.47%,-23.52%,-24.01%,-16.35%,-19.18%,-13.76%,-11.95%,-15.92%,-30.60%,-59.86%
Return on Capital (ROIC),-30.90%,-33.13%,-31.11%,-34.46%,-26.39%,-39.07%,-29.00%,-32.99%,-46.81%,-51.66%,-89.13%
Earnings Yield,-5.24%,-7.48%,-9.76%,-18.32%,-4.92%,-16.77%,-13.57%,-8.89%,-20.66%,-14.75%,-
FCF Yield,-4.37%,-6.51%,-9.21%,-21.99%,-4.46%,-15.92%,-16.06%,-15.06%,-12.16%,-8.16%,-
Buyback Yield / Dilution,-15.56%,-24.45%,-14.89%,-16.25%,-32.07%,-20.80%,-8.67%,-16.10%,-45.02%,-125.45%,-107.50%
