Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,367.49,293.29,204.25,147.75,241.44,163.08,197.61,164.59,179.73,60.08,35.68
Short-Term Investments,268.44,243.73,150.13,142.48,168.99,44.67,42.15,70.76,40.88,-,-
Cash & Short-Term Investments,635.93,537.03,354.38,290.23,410.43,207.76,239.77,235.35,220.61,60.08,35.68
Cash Growth,0.58%,51.54%,22.10%,-29.29%,97.55%,-13.35%,1.88%,6.68%,267.17%,68.40%,1779.84%
Accounts Receivable,19.18,1.26,2.43,4.05,6.31,1.67,2.65,3.35,2.77,0.22,-
Other Receivables,3.55,3.45,1.55,0.65,0.37,0.08,0.26,0.24,1.01,1.02,0.38
Receivables,22.74,4.71,3.98,4.7,6.67,1.75,2.91,3.6,3.78,1.24,0.38
Prepaid Expenses,3.65,2.82,2.06,2.94,4.91,7.43,3.57,2.11,0.51,0.4,0.15
Other Current Assets,29.61,24.51,8.4,8.58,2.18,1.06,1.12,2.38,1.01,13.24,1.28
Total Current Assets,691.93,569.07,368.81,306.44,424.18,217.99,247.37,243.44,225.91,74.96,37.49
"Property, Plant & Equipment",22.99,20.02,23.5,24.84,7.28,8.02,8.93,5.24,1.4,0.68,0.35
Long-Term Investments,182.91,187.01,57.31,36.46,20.3,-,2.01,-,8.48,-,-
Other Intangible Assets,1.75,1.68,1.8,1.95,2.35,2.84,2.88,2.86,0.37,0.39,0.47
Long-Term Deferred Tax Assets,1.2,1.52,1.2,2.04,0.42,0.41,0.29,0.2,-,-,-
Other Long-Term Assets,3.42,3.39,2.87,4.81,2.08,1.95,1.91,1.23,0.15,0.29,0.24
Total Assets,904.2,782.69,455.49,376.54,456.6,231.22,263.38,252.97,236.31,76.33,38.55
Accounts Payable,8.39,4.16,4.6,9.83,13.24,3.13,3.03,3.24,3.43,2.43,2.63
Accrued Expenses,41.18,43.85,38.45,35.55,21.4,21.8,13.54,10.39,10.09,3.62,2.25
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,0.18,0.18
Current Portion of Leases,2.76,1.7,1.67,1.68,1.49,1.43,1.38,0.84,-,-,-
Current Income Taxes Payable,6.74,7.32,1.65,2.4,-,0.21,-,-,0.29,0.03,0.15
Current Unearned Revenue,24.36,29.93,22.69,29.42,34.66,20.18,18.84,19.49,19.4,3.92,1.65
Other Current Liabilities,3.37,0.1,0.04,0.04,1.11,-,-,-,-,-,-
Total Current Liabilities,86.8,87.08,69.09,78.93,71.9,46.75,36.79,33.96,33.21,10.17,6.86
Long-Term Debt,-,-,-,-,-,-,-,-,-,0.34,0.53
Long-Term Leases,9.56,8.21,10.49,11.79,2.26,2.52,3.87,1.85,-,-,-
Long-Term Unearned Revenue,32.91,39.48,19.57,38.77,66.24,79.69,91.42,111.31,135.15,29.49,0.42
Total Liabilities,129.26,134.77,99.15,129.49,140.4,128.95,132.08,147.12,168.36,40,7.81
Common Stock,7.68,6.96,5.88,4.75,4.48,3.21,2.92,2.37,2.1,1.53,0.03
Additional Paid-In Capital,"2,066","1,665","1,126",870.87,787.87,490.09,441.4,360.05,256.51,147.66,98.73
Retained Earnings,"-1,319",-968.39,-753.06,-598.12,-466.93,-400.11,-314.6,-259.45,-190.65,-112.85,-68.84
Comprehensive Income & Other,19.45,-55.47,-22.53,-30.45,-9.22,9.07,1.59,2.89,-,-,-
Total Common Equity,774.93,647.93,356.34,247.06,316.2,102.26,131.3,105.86,67.95,36.34,29.93
Shareholders' Equity,774.93,647.93,356.34,247.06,316.2,102.26,131.3,105.86,67.95,36.34,30.74
Total Liabilities & Equity,904.2,782.69,455.49,376.54,456.6,231.22,263.38,252.97,236.31,76.33,38.55
Total Debt,12.32,9.91,12.16,13.47,3.75,3.95,5.25,2.69,-,0.51,0.71
Net Cash (Debt),804.53,714.12,399.53,313.21,426.97,203.8,236.52,232.66,220.61,59.57,34.97
Net Cash Growth,4.23%,78.74%,27.56%,-26.64%,109.50%,-13.83%,1.66%,5.46%,270.33%,70.35%,3757.13%
Net Cash Per Share,11.32,11.12,7.74,6.97,11.05,6.97,9.77,10.44,11.49,4.50,5.96
Filing Date Shares Outstanding,75.84,69.09,57.88,46.32,43.47,38.13,29,23.36,19.43,16.09,8.62
Total Common Shares Outstanding,75.84,68.83,57.83,46.31,43.47,31.6,28.88,23.36,19.43,16.09,8.62
Working Capital,605.13,482,299.73,227.52,352.28,171.25,210.58,209.48,192.69,64.79,30.63
Book Value Per Share,10.22,9.41,6.16,5.33,7.27,3.24,4.55,4.53,3.50,2.26,3.47
Tangible Book Value,773.18,646.25,354.54,245.11,313.85,99.42,128.42,102.99,67.58,35.94,29.46
Tangible Book Value Per Share,10.19,9.39,6.13,5.29,7.22,3.15,4.45,4.41,3.48,2.23,3.42
Machinery,-,10.44,9.54,8.22,6.81,7,5.72,3.87,1.51,0.69,0.35
Construction In Progress,-,-,0.04,0.08,1.06,0.5,-,-,-,-,-
Leasehold Improvements,-,9.82,10.29,9.11,0.11,0.12,0.08,0.04,-,-,-
