Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"9,647","7,992","4,083","2,814","9,133","10,754","6,319","3,764","3,671","2,748","2,102"
Market Cap Growth,40.10%,95.77%,45.07%,-69.19%,-15.07%,70.19%,67.86%,2.54%,33.60%,30.75%,32.53%
Enterprise Value,"9,373","7,872","4,329","3,220","9,469","10,868","6,279","3,558","3,477","2,618","1,878"
Last Close Price,56.84,46.51,24.35,17.02,55.43,66.00,39.40,23.62,23.23,17.70,13.46
PE Ratio,38.86,80.58,60.21,-,-,-,-,354.55,37.25,61.04,57.86
Forward PE,27.09,30.74,21.58,65.69,221.25,-,292.19,75.44,65.49,35.20,31.95
PS Ratio,5.62,5.34,2.85,2.13,7.54,10.57,6.93,4.22,4.13,3.61,3.08
PB Ratio,16.24,13.65,11.54,21.51,21.95,19.84,11.72,6.06,5.60,8.18,6.51
P/TBV Ratio,18.78,15.97,15.39,72.99,28.53,24.05,14.35,7.14,6.66,12.57,8.66
P/FCF Ratio,22.40,23.63,20.31,-,318.64,-,-,40.71,25.41,132.20,37.01
P/OCF Ratio,21.82,23.10,18.75,126.00,233.47,-,-,36.07,23.20,68.91,31.00
PEG Ratio,-,17.96,17.96,17.96,17.96,17.96,14.61,3.70,2.47,1.53,0.91
EV/Sales Ratio,5.41,5.26,3.02,2.44,7.82,10.68,6.89,3.99,3.91,3.44,2.75
EV/EBITDA Ratio,29.60,44.13,35.65,-,-,-,-,430.63,29.49,33.70,21.37
EV/EBIT Ratio,30.94,48.95,42.16,-,-,-,-,-,37.31,48.89,29.00
EV/FCF Ratio,21.76,23.28,21.54,-,330.35,-,-,38.48,24.06,125.96,33.07
Debt / Equity Ratio,0.13,0.94,1.64,5.26,1.65,1.10,0.13,-,-,-,-
Debt / EBITDA Ratio,0.22,2.64,3.82,-,-,-,-,-,-,-,-
Debt / FCF Ratio,0.18,1.63,2.89,-,23.92,-,-,-,-,-,-
Asset Turnover,1.21,0.91,1.00,0.89,0.76,0.79,0.93,0.89,1.07,1.19,1.12
Quick Ratio,1.29,1.19,1.71,1.50,1.67,1.96,1.20,1.70,2.06,1.44,1.63
Current Ratio,1.36,1.23,1.78,1.57,1.73,2.12,1.34,1.84,2.20,1.48,1.67
Return on Equity (ROE),51.96%,21.12%,27.98%,-126.37%,-13.16%,-11.35%,-15.58%,1.66%,19.87%,13.67%,11.76%
Return on Assets (ROA),13.18%,6.13%,4.48%,-3.71%,-3.70%,-6.93%,-8.57%,-1.07%,6.98%,5.22%,6.66%
Return on Capital (ROIC),21.89%,9.71%,7.32%,-5.71%,-5.29%,-10.28%,-13.72%,-1.67%,11.74%,10.16%,13.11%
Return on Capital Employed (ROCE),43.60%,23.60%,11.00%,-,-,-,-,-,13.00%,14.60%,18.00%
Earnings Yield,2.88%,1.24%,1.66%,-12.28%,-0.69%,-0.57%,-1.43%,0.28%,2.68%,1.64%,1.73%
FCF Yield,4.47%,4.23%,4.92%,-0.46%,0.31%,-0.24%,-0.83%,2.46%,3.94%,0.76%,2.70%
Dividend Yield,0.21%,0.13%,0.25%,0.35%,0.11%,0.09%,0.15%,0.25%,0.26%,0.34%,0.45%
Payout Ratio,6.15%,10.28%,14.69%,-,-,-,-,88.84%,9.41%,20.38%,25.31%
Buyback Yield / Dilution,-10.20%,-5.56%,-3.62%,-0.69%,-1.31%,-1.62%,4.83%,-0.28%,-3.89%,-0.87%,-0.65%
Total Shareholder Return,-9.99%,-5.43%,-3.38%,-0.34%,-1.20%,-1.53%,4.98%,-0.03%,-3.63%,-0.53%,-0.21%
