Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Revenue,502.61,428.49,349.89,280.04,206.68,150.83,104.72,63.53
Revenue Growth (YoY),22.69%,22.46%,24.94%,35.49%,37.03%,44.03%,64.82%,-
Cost of Revenue,119.8,98.29,77.02,62.26,41.81,28.45,20.04,10.71
Gross Profit,382.82,330.2,272.86,217.78,164.88,122.38,84.68,52.82
"Selling, General & Admin",289.98,258.46,213.52,185.08,149.4,95.09,61.13,53.14
Research & Development,182.22,157.08,127.28,111.62,74.12,39.71,28.51,25.77
Operating Expenses,472.2,415.54,340.8,296.69,223.52,134.8,89.63,78.91
Operating Income,-89.38,-85.34,-67.94,-78.91,-58.64,-12.42,-4.95,-26.08
Interest & Investment Income,25.2,25.9,22.1,5.9,1.5,2.5,3.03,0.94
Currency Exchange Gain (Loss),-0.18,-0.18,-0.59,-0.52,0.35,0.06,0.14,0.37
Other Non Operating Income (Expenses),-0.49,-0.44,-0.48,-0.29,-1.11,-0.52,-,-
EBT Excluding Unusual Items,-64.85,-60.06,-46.91,-73.82,-57.9,-10.38,-1.78,-24.77
Merger & Restructuring Charges,-6.57,-5.76,-7.61,-10.71,-6.97,-1.77,-1.99,-0.77
Legal Settlements,-,-,-,-0.22,-2.75,-,-,-
Pretax Income,-71.41,-65.82,-54.52,-84.75,-67.63,-12.15,-3.77,-25.55
Income Tax Expense,8.4,3.42,6.74,5.44,-3.42,-2.74,1.63,0.47
Net Income,-79.81,-69.24,-61.26,-90.18,-64.2,-9.41,-5.39,-26.02
Net Income to Common,-79.81,-69.24,-61.26,-90.18,-64.2,-9.41,-5.39,-26.02
Shares Outstanding (Basic),115,110,103,99,95,46,27,26
Shares Outstanding (Diluted),115,110,103,99,95,46,27,26
Shares Change (YoY),6.00%,6.17%,4.11%,4.71%,103.89%,71.35%,3.94%,-
EPS (Basic),-0.70,-0.63,-0.59,-0.91,-0.68,-0.20,-0.20,-1.00
EPS (Diluted),-0.70,-0.63,-0.59,-0.91,-0.68,-0.20,-0.20,-1.00
Free Cash Flow,140.9,107.78,72.17,17.1,23.67,25.94,8.2,6.49
Free Cash Flow Per Share,1.23,0.98,0.70,0.17,0.25,0.56,0.30,0.25
Gross Margin,76.17%,77.06%,77.99%,77.77%,79.77%,81.14%,80.87%,83.14%
Operating Margin,-17.78%,-19.92%,-19.42%,-28.18%,-28.37%,-8.24%,-4.73%,-41.06%
Profit Margin,-15.88%,-16.16%,-17.51%,-32.20%,-31.06%,-6.24%,-5.15%,-40.95%
Free Cash Flow Margin,28.03%,25.15%,20.63%,6.11%,11.45%,17.20%,7.83%,10.21%
EBITDA,-63.6,-63.88,-52.64,-64.26,-49.9,-8.76,-2.98,-25.28
EBITDA Margin,-12.65%,-14.91%,-15.04%,-22.95%,-24.14%,-5.81%,-2.84%,-39.79%
D&A For EBITDA,25.79,21.46,15.3,14.66,8.75,3.66,1.98,0.8
EBIT,-89.38,-85.34,-67.94,-78.91,-58.64,-12.42,-4.95,-26.08
EBIT Margin,-17.78%,-19.92%,-19.42%,-28.18%,-28.37%,-8.24%,-4.73%,-41.06%
Revenue as Reported,502.61,428.49,349.89,280.04,206.68,150.83,104.72,63.53
