Ticker,Name,MarketCap,Sector,Industry,PE_Ratio,PB_Ratio,DE_Ratio,PEG_Ratio,FreeCashFlow
OTEX,Open Text Corporation,9962884096,Technology,Software - Application,23.703032,2.4899726,169.087,,943804480.0
TLT,iShares 20+ Year Treasury Bond ,9938271232,,,-4528.0,0.6083364,,,
IUSV,iShares Core S&P U.S. Value ETF,9909702656,,,22.299932,1.4071629,,,
LSCC,Lattice Semiconductor Corporati,9896180736,Technology,Semiconductors,314.08694,14.370399,3.187,,136467248.0
BPYPP,Brookfield Property Partners L.,9869541376,Real Estate,Real Estate Services,6.789617,0.69855696,131.69,,953124992.0
NVMI,Nova Ltd.,9851438080,Technology,Semiconductor Equipment & Materials,44.981686,8.965923,19.083,,140873632.0
MDGL,"Madrigal Pharmaceuticals, Inc.",9658052608,Healthcare,Biotechnology,-30.835243,13.743495,17.809,,-219782000.0
PEGA,Pegasystems Inc.,9456484352,Technology,Software - Application,45.21311,15.112329,12.652,,463842752.0
MNDY,monday.com Ltd.,9392161792,Technology,Software - Application,242.76001,7.871596,10.585,,247737376.0
FYBR,"Frontier Communications Parent,",9385523200,Communication Services,Telecom Services,-55.17647,1.9725567,249.317,,-727875008.0
IDCC,"InterDigital, Inc.",9368321024,Technology,Software - Application,25.854403,8.665112,44.867,,202142880.0
FIGR,"Figure Technology Solutions, In",9347440640,Financial Services,Capital Markets,148.54999,5.5768986,181.844,,
TECH,Bio-Techne Corp,9307042816,Healthcare,Biotechnology,129.78261,4.821515,23.142,,313920256.0
MORN,"Morningstar, Inc.",9296816128,Financial Services,Financial Data & Stock Exchanges,23.491491,5.7686987,64.045,,438262496.0
ALGN,"Align Technology, Inc.",9283330048,Healthcare,Medical Instruments & Supplies,21.72804,2.3829198,3.144,,676427136.0
RGC,Regencell Bioscience Holdings L,9241997312,Healthcare,Drug Manufacturers - Specialty & Generic,,1340.7142,0.0,,
RVMD,"Revolution Medicines, Inc.",9219545088,Healthcare,Biotechnology,-12.162962,4.935377,7.119,,-396289984.0
MKSI,MKS Inc.,9123214336,Technology,Scientific & Technical Instruments,34.3038,3.5666342,183.98,,590750016.0
DOX,Amdocs Limited,9087539200,Technology,Software - Infrastructure,16.765182,2.6001508,23.654,,563537280.0
PPC,Pilgrim's Pride Corporation,8991170560,Consumer Defensive,Packaged Foods,7.3066278,2.4083195,89.674,,976718720.0
CPB,The Campbell's Company,8929602560,Consumer Defensive,Packaged Foods,15.047761,2.309913,184.734,,718875008.0
LBRDA,Liberty Broadband Corporation,8831432704,Communication Services,Telecom Services,8.07124,0.8444211,32.802,,14500000.0
