Ticker,Name,MarketCap,Sector,Industry,PE_Ratio,PB_Ratio,DE_Ratio,FreeCashFlow,Price,FuturePrice,Label
ABCD,ABCD Inc.,3500000000,Technology,Software,15.2,4.5,0.8,120000000,50.0,65.0,1
WXYZ,WXYZ Corp.,6200000000,Industrials,Machinery,22.5,2.8,1.5,80000000,100.0,115.0,0
EFGH,EFGH Ltd.,4800000000,Healthcare,Biotech,30.1,5.0,1.2,50000000,20.0,22.0,0
XYZ,XyloTech Systems,6800000000,Technology,Software,18.7,2.5,0.8,400000000,125.2,128.0,0
GRC,GreenRock Energy,9200000000,Energy,Renewable Energy,15.3,1.8,0.6,320000000,62.1,74.2,1
BNK,Bright National Bank,4100000000,Financials,Banking,10.4,1.1,1.5,280000000,45.7,46.0,0
HZN,Horizon Retail Group,2400000000,Consumer Discretionary,Retail,14.1,2.0,0.9,190000000,32.4,39.8,1
STL,Stellar Manufacturing,7700000000,Industrials,Machinery,17.8,2.2,0.7,410000000,85.6,83.9,0
VLT,Volt Communications,5300000000,Telecommunications,Wireless Services,12.9,1.9,1.1,230000000,55.2,60.7,0
FRM,FarmFresh Foods Inc.,2900000000,Consumer Staples,Packaged Foods,11.8,1.5,0.5,260000000,42.3,51.4,1
