Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,203.4,269.5,195.9,282.9,389.9,317.9,92.7,184.3,174.91,69.7,57.93
Cash & Short-Term Investments,203.4,269.5,195.9,282.9,389.9,317.9,92.7,184.3,174.91,69.7,57.93
Cash Growth,-16.47%,37.57%,-30.75%,-27.44%,22.65%,242.93%,-49.70%,5.37%,150.96%,20.31%,-22.67%
Accounts Receivable,579.3,579.1,496.4,456.3,430.2,382.2,335.5,316.1,295.62,227.64,186.19
Other Receivables,-,-,-,-,-,-,-,-,-,2.48,3.44
Receivables,579.3,579.1,496.4,456.3,430.2,382.2,335.5,316.1,295.62,230.11,189.63
Inventory,92.3,88.4,75.2,71.4,61.1,56.4,46.3,43.4,44.95,28.78,25.59
Prepaid Expenses,44.7,36.4,31,31.4,25.6,17.6,17.8,16.2,16.84,11.16,7.41
Other Current Assets,182.5,146,96.5,79,39.3,27.4,33.2,28.3,30.9,22.21,30.4
Total Current Assets,"1,102","1,119",895,921,946.1,801.5,525.5,588.3,563.23,361.96,310.96
"Property, Plant & Equipment","1,440","1,384","1,224","1,156",953.8,854.7,821,426.3,398.54,204.25,184.55
Long-Term Investments,229.4,215.4,184.1,303.7,112.3,90.3,93.2,78.5,74.28,34.98,34.1
Goodwill,"5,092","5,068","4,326","4,137","3,912","3,468","3,402","3,383","3,347","1,555","1,408"
Other Intangible Assets,43,45.7,54.8,42.3,43.7,46.9,47.3,54.3,58.91,48.02,53.57
Long-Term Deferred Tax Assets,-,-,89.5,91.5,114.4,124.8,98.7,109.2,132.32,83.79,94.11
Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,2.01
Other Long-Term Assets,40.7,57.5,103.3,30.8,35.5,27,30.8,36.9,48.67,16.03,17.02
Total Assets,"7,947","7,890","6,877","6,682","6,118","5,413","5,019","4,676","4,623","2,305","2,104"
Accounts Payable,174.6,208.7,171.8,151.6,124.9,100.2,96.7,83.3,84.71,49.77,45.34
Accrued Expenses,211,216.7,192.5,158.3,173.7,152,134,148.1,135.17,83.42,58.36
Current Portion of Long-Term Debt,64.3,71.8,47.9,41.9,41.4,45.5,40.2,46.8,58.73,27.82,27.25
Current Portion of Leases,80,74.1,63,57.4,59.1,58.1,53.1,8.8,6.3,-,0.97
Current Income Taxes Payable,-,-,-,-,-,-,-,-,-,2.62,1.98
Current Unearned Revenue,-,-,-,-,4.4,14.8,-,-,-,-,-
Other Current Liabilities,56.1,53.1,47.8,84.2,133.3,186.2,74.1,62.3,18.1,23.09,47.4
Total Current Liabilities,586,624.4,523,493.4,536.8,556.8,398.1,349.3,303.01,186.73,181.29
Long-Term Debt,"2,605","2,509","2,051","2,035","2,591","2,591","2,338","2,254","2,103","1,414","1,228"
Long-Term Leases,"1,137","1,058",917.1,836.2,661.2,563.2,520.7,166.4,149.22,-,53.93
Pension & Post-Retirement Benefits,-,-,-,-,-,-,-,-,-,-,1.61
Long-Term Deferred Tax Liabilities,42.6,39.2,-,-,-,-,-,-,-,-,-
Other Long-Term Liabilities,23.7,24.1,23.3,35,28.8,78.7,62.9,121.5,100.85,198.62,158.14
Total Liabilities,"4,394","4,255","3,515","3,399","3,818","3,790","3,320","2,892","2,656","1,800","1,623"
Common Stock,1.3,1.3,1.3,1.3,0.9,0.5,0.5,0.5,0.49,0.49,0.48
Additional Paid-In Capital,"2,543","2,521","2,498","2,478","1,622",607.9,662.7,673.5,695.56,320.54,316.29
Retained Earnings,-800.2,-737.3,-569.2,-557.3,-502.7,-431.8,-315.7,-247,-41.32,-311.35,-320.8
Comprehensive Income & Other,-14.4,4.8,57.5,76.2,-31.5,-61,-50.7,-22.4,-,-,-
Total Common Equity,"1,730","1,790","1,987","1,998","1,089",115.6,296.8,404.6,654.73,9.68,-4.03
Minority Interest,"1,824","1,846","1,375","1,285","1,211","1,073","1,008","1,021",981.2,495.52,485.39
Shareholders' Equity,"3,553","3,635","3,362","3,283","2,300","1,623","1,699","1,785","1,967",505.2,481.37
Total Liabilities & Equity,"7,947","7,890","6,877","6,682","6,118","5,413","5,019","4,676","4,623","2,305","2,104"
Total Debt,"3,886","3,713","3,079","2,970","3,353","3,258","2,952","2,476","2,317","1,442","1,310"
Net Cash (Debt),"-3,682","-3,444","-2,884","-2,687","-2,963","-2,940","-2,859","-2,292","-2,142","-1,373","-1,252"
Net Cash Per Share,-29.05,-27.30,-22.96,-29.22,-40.91,-60.28,-59.22,-47.72,-44.46,-28.48,-33.43
Filing Date Shares Outstanding,128.45,126.73,125.88,125.03,87.7,58.41,48.51,48.1,48.04,48.63,48.16
Total Common Shares Outstanding,128.13,126.22,125.86,124.97,87.68,49.01,48.52,48.17,48.11,48.03,48.16
Working Capital,516.2,495,372,427.6,409.3,244.7,127.4,239,260.22,175.23,129.67
Book Value Per Share,13.50,14.18,15.79,15.99,12.42,2.36,6.12,8.40,13.61,0.20,-0.08
Tangible Book Value,"-3,405","-3,324","-2,394","-2,181","-2,867","-3,399","-3,153","-3,033","-2,751","-1,594","-1,466"
Tangible Book Value Per Share,-26.58,-26.33,-19.02,-17.45,-32.69,-69.35,-64.98,-62.96,-57.18,-33.18,-30.43
Land,-,9.7,9.2,11.1,11.2,11.1,11,19.5,19.56,8.08,6.79
