Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,950","2,676","4,015","3,370","4,694","1,442",772,479,590,769,987
Market Cap Growth,-46.74%,-33.36%,19.14%,-28.22%,225.45%,86.90%,61.20%,-18.87%,-23.23%,-22.10%,-
Enterprise Value,"5,632","7,610","8,095","8,056","8,742","5,653","4,810","4,043","3,957","2,608","2,807"
Last Close Price,15.18,21.17,31.99,27.86,53.41,29.01,15.65,9.79,12.10,15.85,20.49
PE Ratio,-,-,-,-,-,-,-,-,-,81.31,690.51
Forward PE,24.61,23.31,35.08,58.71,183.86,-,-,22.07,56.46,22.72,27.06
PS Ratio,0.59,0.86,1.46,1.33,2.11,0.78,0.42,0.27,0.45,0.69,1.05
PB Ratio,1.12,0.74,1.19,1.03,2.04,0.89,0.45,0.27,0.30,1.52,2.05
P/FCF Ratio,10.05,12.76,19.58,43.09,159.12,7.07,13.81,4.57,6.46,8.92,19.33
P/OCF Ratio,6.91,8.91,13.67,21.22,53.89,5.84,5.96,3.31,4.88,6.14,11.68
PEG Ratio,-,-,-,-,-,-,-,-,-,0.72,1.40
EV/Sales Ratio,1.71,2.44,2.95,3.17,3.93,3.04,2.63,2.28,3.02,2.33,3.00
EV/EBITDA Ratio,8.42,12.14,15.16,16.38,21.70,19.88,14.29,12.63,17.20,10.64,13.19
EV/EBIT Ratio,10.85,16.05,19.46,21.37,28.75,29.82,18.49,15.99,22.21,12.68,15.70
EV/FCF Ratio,29.02,36.29,39.49,103.01,296.34,27.71,86.05,38.58,43.34,30.29,54.99
Debt / Equity Ratio,1.09,1.02,0.92,0.91,1.46,2.01,1.74,1.39,1.18,2.86,2.72
Debt / EBITDA Ratio,5.13,5.18,4.97,5.17,6.79,8.76,6.99,7.73,10.07,5.88,6.16
Debt / FCF Ratio,20.02,17.71,15.02,37.98,113.65,15.97,52.81,23.63,25.38,16.75,25.67
Asset Turnover,0.43,0.42,0.41,0.40,0.39,0.36,0.38,0.38,0.38,0.51,0.47
Inventory Turnover,28.71,28.96,28.59,29.65,29.51,28.83,31.39,30.82,27.50,30.21,27.16
Quick Ratio,1.34,1.36,1.32,1.50,1.53,1.26,1.08,1.43,1.55,1.61,1.37
Current Ratio,1.88,1.79,1.71,1.87,1.76,1.44,1.32,1.68,1.86,1.94,1.72
Return on Equity (ROE),0.66%,0.36%,4.07%,3.12%,3.60%,0.08%,2.59%,-5.10%,2.32%,17.25%,20.71%
Return on Assets (ROA),4.19%,4.01%,3.84%,3.68%,3.30%,2.27%,3.35%,3.40%,3.21%,5.83%,5.64%
Return on Capital (ROIC),4.47%,4.30%,4.10%,3.96%,3.61%,2.49%,3.65%,3.70%,3.57%,6.88%,6.62%
Return on Capital Employed (ROCE),7.10%,6.50%,6.50%,6.10%,5.40%,3.90%,5.60%,5.80%,4.10%,9.70%,9.30%
Earnings Yield,-8.79%,-6.28%,-0.30%,-1.62%,-1.51%,-8.05%,-9.69%,-42.97%,-8.98%,1.23%,0.14%
FCF Yield,9.95%,7.84%,5.11%,2.32%,0.63%,14.14%,7.24%,21.89%,15.47%,11.21%,5.17%
Buyback Yield / Dilution,-0.58%,-0.40%,-36.61%,-26.96%,-48.49%,-1.03%,-0.53%,0.33%,0.01%,-28.63%,-16.00%
