Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,130.24,175.1,127.02,117.33,120.05,65.85,46.53,71.79,114.42,89.96,86.95
Cash & Short-Term Investments,130.24,175.1,127.02,117.33,120.05,65.85,46.53,71.79,114.42,89.96,86.95
Cash Growth,22.50%,37.85%,8.26%,-2.26%,82.30%,41.53%,-35.19%,-37.26%,27.20%,3.45%,27.89%
Accounts Receivable,903.98,591.19,543.77,448.41,403.33,349.34,416.96,424.27,411.01,420.72,135.13
Other Receivables,153.13,147.5,113.9,103.49,181.02,9.63,0.88,1.38,19.76,25.51,3.57
Receivables,"1,057",738.69,657.67,551.9,584.35,358.98,417.84,425.65,430.77,446.23,138.69
Inventory,456.27,334.58,312.09,288.34,263.31,190.35,265.26,275.13,276.77,330.68,93.46
Prepaid Expenses,49.01,26.94,38.63,19.79,17.71,9.39,11.37,17.32,20.24,12.6,6.33
Other Current Assets,99.73,128.44,171.19,153.3,143.94,-,-,-,-,12.66,-
Total Current Assets,"1,792","1,404","1,307","1,131","1,129",624.57,740.99,789.89,842.2,892.14,325.43
"Property, Plant & Equipment","1,158","1,043",961.18,845.69,768.59,672.62,640.72,251.65,230.34,236.06,112.45
Goodwill,"1,970","1,787","1,728","1,581","1,536",977.38,948.64,917.42,831.15,831.15,295.61
Other Intangible Assets,246.72,228.86,277.72,330.34,388.18,83.65,85.88,88.14,93.82,104.47,6.18
Long-Term Deferred Tax Assets,5.4,4.71,6.51,7.38,5.61,4.16,11.71,11.64,11.24,9.71,9.32
Other Long-Term Assets,9.78,9.93,10.24,9.42,8.53,9.82,11.51,49.24,54.05,71.68,3.9
Total Assets,"5,182","4,477","4,290","3,905","3,836","2,372","2,439","2,108","2,063","2,145",752.9
Accounts Payable,163.41,31.14,26.5,27.42,23.08,7.19,5.87,6.89,4.79,11.66,1.82
Accrued Expenses,-,136.27,133.78,110.26,94.39,68.77,60.15,66.46,61.32,75.23,25.51
Current Portion of Leases,111.33,95.16,101.96,92.94,90.57,88.62,86.47,-,-,-,-
Current Income Taxes Payable,-,0.75,0.64,0.57,3.39,1.15,4.3,0.75,4.22,0.74,3.92
Current Unearned Revenue,-,-,-,-,-,-,-,4.5,7.56,7.78,-
Other Current Liabilities,84.52,76.09,72.71,64.34,180.79,40.68,46.11,54.45,42.68,48.22,14.92
Total Current Liabilities,359.26,339.4,335.59,295.53,392.21,206.41,202.9,133.05,120.57,143.63,46.18
Long-Term Debt,"2,213","1,729","1,606","1,375","1,293",615.92,631.57,590.89,402.24,456.55,253.87
Long-Term Leases,255.01,225.5,215.49,203.12,203.17,194.89,193.5,-,-,-,-
Long-Term Deferred Tax Liabilities,155.3,128.57,136.77,151.76,126.1,71.17,61.43,54.85,47.04,61.28,21.46
Other Long-Term Liabilities,-,-,-,-,13.95,-,-,11.08,17.6,33.77,-
Total Liabilities,"2,983","2,423","2,293","2,025","2,028","1,088","1,089",789.87,587.45,695.22,321.51
Common Stock,0.58,0.58,0.57,0.57,0.57,0.49,0.49,0.49,0.49,0.49,0.4
Additional Paid-In Capital,"1,766","1,768","1,741","1,735","1,725","1,222","1,232","1,225","1,220","1,218",202.39
Retained Earnings,"1,585","1,411","1,218","1,061",866.68,789.3,727.48,606.81,494.46,387.4,643.6
Treasury Stock,"-1,075",-995.47,-920.19,-809.37,-652.78,-609.34,-512.49,-400.69,-128.1,-36.07,-336.61
Comprehensive Income & Other,-76.77,-129.6,-43.04,-106.57,-131.3,-118.43,-96.97,-113.12,-111.88,-119.81,-78.41
Shareholders' Equity,"2,200","2,054","1,996","1,880","1,808","1,284","1,350","1,318","1,475","1,450",431.38
Total Liabilities & Equity,"5,182","4,477","4,290","3,905","3,836","2,372","2,439","2,108","2,063","2,145",752.9
Total Debt,"2,579","2,050","1,923","1,671","1,587",899.43,911.54,590.89,402.24,456.55,253.87
Net Cash (Debt),"-2,449","-1,875","-1,796","-1,553","-1,467",-833.58,-865.01,-519.09,-287.82,-366.59,-166.92
Net Cash Per Share,-54.78,-41.51,-39.31,-32.82,-35.75,-20.04,-20.02,-11.57,-6.01,-10.47,-5.89
Filing Date Shares Outstanding,44.13,44.76,45.11,46.29,48.49,41.04,42,43.57,46.55,48.29,28.24
Total Common Shares Outstanding,44.13,44.75,45.11,46.29,48.48,41.04,42.33,43.6,46.91,48.51,28.24
Working Capital,"1,433","1,064",971.01,835.13,737.15,418.16,538.09,656.85,721.63,748.51,279.26
Book Value Per Share,49.84,45.90,44.26,40.61,37.30,31.28,31.89,30.23,31.45,29.89,15.28
Tangible Book Value,-17.43,38.13,-8.96,-31.95,-116.24,222.78,315.52,312.55,550.37,514.36,129.59
Tangible Book Value Per Share,-0.40,0.85,-0.20,-0.69,-2.40,5.43,7.45,7.17,11.73,10.60,4.59
Land,-,195.77,161.79,141.8,114.15,83.46,66.2,37.58,33.7,30.36,14.31
Buildings,-,355.87,301.86,249.66,199.1,150.13,123.4,76.41,63.02,55.14,19.26
Machinery,-,592.39,605.35,516.8,468.12,425.36,398.91,348.62,313.55,284.39,186.7
