Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,062","4,636","4,889","4,026","3,025","2,902","3,441","3,171","3,183","2,280","1,041"
Market Cap Growth,49.67%,-5.17%,21.46%,33.08%,4.21%,-15.66%,8.51%,-0.36%,39.60%,119.05%,-33.95%
Enterprise Value,"9,511","6,584","6,701","5,586","4,002","3,630","4,281","3,715","3,524","2,698","1,237"
Last Close Price,160.01,102.38,105.76,83.64,70.86,65.33,74.01,65.66,60.53,41.58,32.71
PE Ratio,23.11,17.91,22.30,15.88,24.22,27.23,20.90,20.70,22.12,37.92,17.14
Forward PE,16.47,13.67,15.81,15.15,15.82,23.07,19.09,18.39,22.58,17.42,14.70
PS Ratio,2.04,1.37,1.55,1.48,1.78,1.78,1.85,1.78,1.79,2.10,1.48
PB Ratio,3.21,2.26,2.45,2.14,1.67,2.26,2.55,2.41,2.16,1.57,2.41
P/TBV Ratio,-,121.58,-,-,-,13.03,10.91,10.15,5.78,4.43,8.03
P/FCF Ratio,13.38,9.83,13.73,9.28,16.69,15.71,18.37,15.27,16.37,29.84,14.52
P/OCF Ratio,12.23,8.59,11.75,8.58,13.55,13.06,14.86,13.03,14.44,23.54,11.22
PEG Ratio,-,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,1.74,1.47
EV/Sales Ratio,2.73,1.94,2.13,2.05,2.36,2.23,2.30,2.09,1.98,2.48,1.76
EV/EBITDA Ratio,14.92,11.86,13.07,14.41,16.46,15.25,14.25,13.12,12.96,14.91,9.39
EV/EBIT Ratio,17.93,14.62,16.61,19.68,20.30,18.52,16.56,15.45,16.20,18.07,10.82
EV/FCF Ratio,18.02,13.96,18.82,12.88,22.07,19.65,22.86,17.88,18.13,35.32,17.26
Debt / Equity Ratio,1.17,1.00,0.96,0.89,0.88,0.70,0.68,0.45,0.27,0.32,0.59
Debt / EBITDA Ratio,3.22,2.84,2.86,3.14,4.13,2.40,2.11,2.09,1.48,2.52,1.93
Debt / FCF Ratio,4.89,4.35,5.40,3.85,8.75,4.87,4.87,2.84,2.07,5.98,3.54
Asset Turnover,0.73,0.77,0.77,0.71,0.55,0.68,0.82,0.85,0.85,0.75,0.96
Inventory Turnover,3.54,4.10,4.11,4.03,3.38,3.16,3.13,2.95,2.74,2.28,3.40
Quick Ratio,3.31,2.69,2.34,2.27,1.80,2.06,2.29,3.74,4.52,3.73,4.89
Current Ratio,4.99,4.14,3.89,3.83,2.88,3.03,3.65,5.94,6.99,6.21,7.05
Return on Equity (ROE),14.75%,12.78%,11.31%,13.75%,8.08%,8.09%,12.34%,10.97%,9.84%,6.39%,14.02%
Return on Assets (ROA),6.93%,6.42%,6.16%,4.58%,3.97%,5.09%,7.11%,7.21%,6.46%,6.44%,9.72%
Return on Capital (ROIC),7.51%,7.02%,6.75%,5.11%,4.42%,5.51%,7.75%,7.94%,7.19%,7.20%,10.64%
Return on Capital Employed (ROCE),11.00%,10.90%,10.20%,7.90%,5.70%,9.00%,11.60%,12.20%,11.20%,7.50%,16.20%
Earnings Yield,4.39%,5.58%,4.49%,6.30%,4.13%,3.67%,4.78%,4.83%,4.52%,2.64%,5.83%
FCF Yield,7.47%,10.17%,7.28%,10.77%,5.99%,6.36%,5.44%,6.55%,6.11%,3.35%,6.89%
Dividend Yield,1.05%,1.43%,1.29%,1.51%,1.65%,1.65%,1.38%,1.39%,1.27%,1.36%,-
Payout Ratio,23.11%,25.41%,28.21%,23.50%,38.05%,41.99%,26.70%,26.66%,25.60%,32.94%,-
Buyback Yield / Dilution,1.29%,1.15%,3.46%,-15.37%,1.39%,3.72%,3.73%,6.27%,-36.81%,-23.58%,2.56%
Total Shareholder Return,2.34%,2.57%,4.75%,-13.86%,3.04%,5.38%,5.11%,7.66%,-35.53%,-22.22%,2.56%
