Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"9,048","8,259","7,413","7,065","6,190","4,829","3,789","3,401","3,393","3,642","3,634"
Revenue Growth (YoY),17.85%,11.41%,4.92%,14.14%,28.18%,27.45%,11.41%,0.25%,-6.84%,0.20%,26.35%
Cost of Revenue,"6,938","6,427","6,120","5,707","4,752","3,753","2,850","2,456","2,634","2,930","2,781"
Gross Profit,"2,110","1,832","1,292","1,358","1,438","1,076",939.45,944.87,758.41,712.14,853.76
"Selling, General & Admin",985.78,922.79,808.06,954.86,"1,098",770.12,621.59,634.81,776.63,992.57,928.2
Research & Development,220.4,246.61,322.22,306.84,188.49,112.89,88.79,92.11,149.14,149.34,142.84
Other Operating Expenses,-110.95,-114.59,-106.27,-60.01,-,-7.62,-6.86,-5.03,-5.44,-6.78,-8.57
Operating Expenses,"1,260","1,163","1,393","1,237","1,305",877.79,705.07,721.3,957.76,"1,253","1,095"
Operating Income,849.95,669.44,-100.02,121.16,133.39,198.22,234.38,223.57,-199.35,-540.56,-240.91
Interest Expense,-429.28,-400.98,-312.17,-273.31,-334.95,-380.61,-345.96,-236.07,-185.31,-198.59,-274.18
Interest & Investment Income,34,27.96,41.8,31.57,31.9,31.71,54.61,45.19,32.93,21.08,53.49
Earnings From Equity Investments,5.42,7.97,3.28,1.93,-38.67,10.87,-50.55,-186.64,53.78,35.65,52.36
Currency Exchange Gain (Loss),32.29,-19.24,-78.97,-523.24,110.04,228.13,-28,-81.06,-17.15,56.34,72.39
Other Non Operating Income (Expenses),-2.42,25.44,11.26,-9.27,11.22,-20.37,-21.39,8.94,-3.58,19.41,26.84
EBT Excluding Unusual Items,489.96,310.59,-434.82,-651.16,-87.07,67.95,-156.91,-226.06,-318.69,-606.66,-310.01
Impairment of Goodwill,-,-,"-1,364",-,-,-,-,-,-766.44,-,-
Gain (Loss) on Sale of Investments,-,-,-11.17,-,-6.3,-13.03,-,37.01,-20.26,5.16,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,12.82,500.32,-12.1,-0.11
Asset Writedown,-,-,-506.69,-,-109.27,-81.62,-,-,-401.81,-392.95,-
Other Unusual Items,-97.01,172.06,-165.93,22.63,829.15,"-2,544",-18.9,13.91,-0.94,63.47,-43.33
Pretax Income,392.95,482.65,"-2,483",-628.53,626.51,"-2,571",-175.81,-162.33,"-1,008",-943.08,-353.45
Income Tax Expense,260.81,234.23,114.37,133.46,111.41,109.34,5.44,24.41,-90.17,-11.16,47.83
Earnings From Continuing Operations,132.15,248.42,"-2,597",-761.99,515.1,"-2,680",-181.25,-186.74,-917.64,-931.92,-401.28
Minority Interest in Earnings,-75.09,-65.22,-46.67,-13.96,-15,-29.09,-1.05,-18.33,144.91,298.32,-26.82
Net Income,57.06,183.2,"-2,644",-775.95,500.1,"-2,709",-182.29,-205.07,-772.73,-633.6,-428.1
Preferred Dividends & Other Adjustments,15.08,15.08,-,-,5.83,493.45,-,-,141.9,210.48,-7.85
Net Income to Common,41.98,168.12,"-2,644",-775.95,494.27,"-3,203",-182.29,-205.07,-914.63,-844.08,-420.25
Shares Outstanding (Basic),268,266,150,148,144,119,111,112,112,103,82
Shares Outstanding (Diluted),293,290,150,148,152,119,111,112,112,103,82
Shares Change (YoY),40.78%,93.35%,1.62%,-2.72%,27.16%,7.18%,-0.87%,0.28%,9.02%,25.42%,22.61%
EPS (Basic),0.16,0.63,-17.60,-5.25,3.43,-26.81,-1.64,-1.82,-8.16,-8.21,-5.12
EPS (Diluted),-0.31,0.14,-17.60,-5.25,-2.14,-26.82,-1.64,-1.82,-8.16,-8.22,-5.12
Free Cash Flow,"-1,625","-2,918",-903.97,-555.39,"-1,304","-1,759",-445.91,269.75,66.15,-516.93,-835.44
Free Cash Flow Per Share,-5.55,-10.05,-6.02,-3.76,-8.58,-14.72,-4.00,2.40,0.59,-5.03,-10.19
Gross Margin,23.32%,22.18%,17.44%,19.23%,23.23%,22.28%,24.79%,27.78%,22.35%,19.55%,23.49%
Operating Margin,9.39%,8.11%,-1.35%,1.71%,2.15%,4.11%,6.19%,6.57%,-5.88%,-14.84%,-6.63%
Profit Margin,0.46%,2.04%,-35.66%,-10.98%,7.99%,-66.32%,-4.81%,-6.03%,-26.96%,-23.18%,-11.56%
Free Cash Flow Margin,-17.95%,-35.34%,-12.19%,-7.86%,-21.07%,-36.43%,-11.77%,7.93%,1.95%,-14.19%,-22.99%
EBITDA,"2,652","2,268","1,707","1,717","1,401","1,187","1,007",858.18,467.75,123.51,345.27
EBITDA Margin,29.31%,27.46%,23.03%,24.30%,22.63%,24.59%,26.57%,25.23%,13.79%,3.39%,9.50%
D&A For EBITDA,"1,802","1,598","1,807","1,596","1,268",988.98,772.21,634.61,667.1,664.07,586.18
EBIT,849.95,669.44,-100.02,121.16,133.39,198.22,234.38,223.57,-199.35,-540.56,-240.91
EBIT Margin,9.39%,8.11%,-1.35%,1.71%,2.15%,4.11%,6.19%,6.57%,-5.88%,-14.84%,-6.63%
Effective Tax Rate,66.37%,48.53%,-,-,17.78%,-,-,-,-,-,-
Revenue as Reported,-,-,-,-,-,-,-,-,"3,393","3,642","3,634"
Advertising Expenses,-,9.36,9.83,6.83,7.27,7.78,6.1,7.97,7.77,20.42,26.36
