Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"2,918","1,492","2,244","2,661","1,372","2,710","1,808","2,359","1,950","1,297","1,685"
Short-Term Investments,"1,244",53.95,390.76,59.65,68.89,317.65,381.25,284.99,579.56,297.54,120.49
Cash & Short-Term Investments,"4,163","1,546","2,634","2,721","1,441","3,028","2,190","2,644","2,529","1,595","1,806"
Cash Growth,120.94%,-41.30%,-3.19%,88.78%,-52.40%,38.28%,-17.17%,4.52%,58.57%,-11.66%,15.34%
Accounts Receivable,"2,618","1,656","1,716","1,765","1,425",848.38,708.73,621.08,519.2,689.56,711.5
Other Receivables,-,"1,581","1,127",770.71,"1,114",890.52,835.36,462.36,462.83,657.74,422.59
Receivables,"2,618","3,355","2,907","2,914","2,556","1,821","1,618","1,142","1,043","1,410","1,276"
Inventory,-,-,-,-,-,-,-,-,0.71,4.43,13.54
Prepaid Expenses,"2,940","1,270","1,345",988.47,942.99,884.16,878.16,565.71,380.87,163.44,126.84
Restricted Cash,458.32,545.8,"2,855",327.67,327.77,270.45,478.87,265.21,242.49,"1,964",195.23
Other Current Assets,-,102.69,82.93,101.08,55.55,52.47,63.77,61.29,49.45,22.43,20.82
Total Current Assets,"10,179","6,820","9,823","7,052","5,324","6,056","5,228","4,678","4,246","5,159","3,469"
"Property, Plant & Equipment","24,915","21,835","17,037","15,468","12,962","9,432","6,665","4,031","3,319","3,782","3,653"
Long-Term Investments,787.38,794.69,757.95,242.19,98.24,135.52,169.65,544.32,510.93,298.87,201.5
Goodwill,-,-,-,"1,364","1,340",994.99,989.53,989.53,989.53,"1,756","1,756"
Other Intangible Assets,"2,840","2,170","1,986","2,073","1,238",913.57,643.75,502.81,564.79,"1,145","1,339"
Long-Term Deferred Tax Assets,349.81,306.62,247.64,196.1,168,185.48,209.37,159.44,172.82,100.68,46.9
Other Long-Term Assets,637.36,430.74,534.2,552.07,"1,966","1,657",368.04,245.27,85.14,180.85,312.38
Total Assets,"39,708","32,357","30,386","26,948","23,095","19,374","14,274","11,151","9,908","12,422","10,848"
Accounts Payable,754.37,709.26,696.18,720.03,500.94,290.75,305.15,410.91,269.5,532.13,482.62
Accrued Expenses,"3,889",903.4,971.41,767.77,489.01,339.06,329.99,372.82,364.92,454.32,373.12
Short-Term Debt,"1,340",944.56,386.07,-,-,34,234.5,50,50,"1,687",276
