Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,331","1,265",739,839,"1,315","4,611",815,967,891,797,"1,841"
Market Cap Growth,167.36%,71.32%,-11.99%,-36.20%,-71.47%,465.88%,-15.70%,8.49%,11.80%,-56.71%,80.90%
Enterprise Value,"5,183","3,521","2,719","2,528","2,720","5,149","1,225","1,138","1,327","1,143","2,198"
Last Close Price,8.58,4.74,2.87,5.67,9.03,34.69,7.25,8.64,7.98,7.01,21.14
PE Ratio,394.13,54.94,-,-,16.91,-,-,-,-,-,-
Forward PE,122.77,44.60,-,-,-,116.50,-,37.37,-,-,64.14
PS Ratio,1.82,1.12,0.71,0.82,1.35,6.23,1.50,1.96,1.71,1.52,3.29
PB Ratio,2.67,1.34,0.80,0.83,1.10,4.36,1.08,1.24,1.12,0.81,2.43
P/TBV Ratio,4.97,2.20,1.30,1.83,1.79,8.34,1.71,1.85,1.66,1.72,12.99
P/FCF Ratio,-,-,-,-,-,-,-,24.65,87.64,-,-
P/OCF Ratio,9.79,4.61,2.54,2.37,6.02,42.15,7.07,9.43,11.90,96.12,55.12
PEG Ratio,-,5.30,5.30,5.30,5.30,5.30,5.30,5.30,5.30,5.30,5.30
EV/Sales Ratio,4.10,3.11,2.60,2.47,2.79,6.96,2.25,2.30,2.55,2.18,3.93
EV/EBITDA Ratio,14.00,11.33,11.29,10.15,12.33,28.32,8.47,9.12,18.46,64.26,41.32
EV/EBIT Ratio,43.68,38.39,-,143.91,129.52,169.60,36.39,35.00,-,-,-
EV/FCF Ratio,-,-,-,-,-,-,-,29.01,130.54,-,-
Debt / Equity Ratio,3.25,2.67,2.69,2.12,1.46,1.20,1.20,0.61,0.58,0.47,0.69
Debt / EBITDA Ratio,6.91,5.88,7.13,6.13,5.65,4.95,5.12,3.80,6.50,25.86,9.81
Debt / FCF Ratio,-,-,-,-,-,-,-,12.09,45.95,-,-
Asset Turnover,0.26,0.26,0.26,0.28,0.29,0.29,0.30,0.32,0.30,0.31,0.36
Inventory Turnover,-,-,-,-,-,-,-,-,1024.82,326.06,235.67
Quick Ratio,0.65,0.51,0.48,0.83,0.77,0.78,0.84,1.70,1.99,0.67,1.04
Current Ratio,0.97,0.73,0.86,1.11,1.03,0.99,1.17,2.13,2.41,1.18,1.23
Return on Equity (ROE),1.87%,3.70%,-38.49%,-10.45%,7.11%,-44.20%,-3.42%,-3.54%,-15.23%,-15.83%,-10.00%
Return on Assets (ROA),1.54%,1.33%,-0.22%,0.30%,0.39%,0.74%,1.15%,1.33%,-1.12%,-2.90%,-1.47%
Return on Capital (ROIC),1.93%,1.69%,-0.27%,0.37%,0.49%,0.93%,1.46%,1.66%,-1.36%,-3.68%,-1.95%
Return on Capital Employed (ROCE),2.90%,2.90%,-0.50%,0.60%,0.70%,1.50%,2.40%,2.50%,-2.40%,-6.70%,-3.00%
Earnings Yield,0.25%,1.98%,-50.48%,-13.40%,5.99%,-9.00%,-3.21%,-3.08%,-13.33%,-11.45%,-3.58%
FCF Yield,-9.90%,-31.60%,-17.26%,-9.59%,-15.60%,-5.84%,-7.86%,4.06%,1.14%,-9.34%,-6.99%
Buyback Yield / Dilution,-40.78%,-93.35%,-1.62%,2.72%,-27.16%,-7.18%,0.87%,-0.28%,-9.02%,-25.42%,-22.61%
