Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Dec '21Dec 25, 2021","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Dec '15Dec 26, 2015"
Revenue,682.98,625.81,460.06,357.52,282.5,248.81,199.68,153.18,133.32,103.32,77.97
Revenue Growth (YoY),15.55%,36.03%,28.68%,26.55%,13.54%,24.61%,30.35%,14.90%,29.03%,32.52%,15.60%
Cost of Revenue,352.37,324.94,237.23,186.46,141.41,125.91,101.11,65.76,61.17,39.16,22.22
Gross Profit,330.61,300.87,222.83,171.06,141.1,122.9,98.56,87.42,72.15,64.17,55.75
"Selling, General & Admin",119.88,115.09,91.75,67.06,62.9,61.08,50.18,44.58,34.9,34.55,30.05
Operating Expenses,144.42,134.58,104.99,77.96,70.84,68.6,55.66,48.89,38.27,37.56,32.74
Operating Income,186.19,166.29,117.84,93.1,70.26,54.3,42.9,38.53,33.87,26.61,23.02
Interest Expense,-33,-21.29,-18.23,-21.23,-14.98,-16.78,-17.14,-10.12,-5.13,-4.4,-3.48
Other Non Operating Income (Expenses),2.87,2.87,-0.06,-0.57,0.14,-,-,-,-,-0.04,-0.22
EBT Excluding Unusual Items,248.19,147.87,99.56,71.29,55.41,37.52,25.77,28.4,28.74,22.17,19.31
Merger & Restructuring Charges,-1.71,-1.71,-,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-5.5,1.04,-0.1,-1.16,3.5,3.09,-,-,-,-,-
Other Unusual Items,-4.68,-,-5.15,-0.81,-,-13.67,-,-1.48,-,-0.22,-3.47
Pretax Income,236.3,147.19,94.31,69.32,58.91,26.94,25.77,26.93,28.74,21.96,15.85
Income Tax Expense,62.04,38.47,24.14,16.37,16.25,3.64,5.29,5.21,4.8,8.19,5.74
Net Income,174.26,108.72,70.18,52.95,42.66,23.31,20.48,21.72,23.94,13.77,10.11
Net Income to Common,174.26,108.72,70.18,52.95,42.66,23.31,20.48,21.72,23.94,13.77,10.11
Net Income Growth,72.91%,54.92%,32.54%,24.12%,83.03%,13.82%,-5.72%,-9.28%,73.87%,36.25%,12.46%
Shares Outstanding (Basic),28,29,30,30,30,30,29,29,29,29,27
Shares Outstanding (Diluted),28,29,30,30,30,30,30,30,29,29,28
Shares Change (YoY),-3.50%,-1.58%,-0.36%,0.06%,0.47%,0.45%,0.28%,0.55%,1.52%,4.20%,6.15%
EPS (Basic),6.15,3.72,2.36,1.77,1.43,0.79,0.70,0.74,0.82,0.48,0.37
EPS (Diluted),6.14,3.70,2.35,1.77,1.42,0.78,0.69,0.73,0.82,0.47,0.36
EPS Growth,79.44%,57.45%,32.77%,24.65%,82.05%,13.04%,-5.48%,-10.98%,74.47%,30.56%,5.88%
Free Cash Flow,62.54,105.68,80.77,52.3,20.86,59.48,16.1,34.79,24.9,19.82,11.95
Free Cash Flow Per Share,2.20,3.60,2.71,1.75,0.70,2.00,0.54,1.18,0.85,0.68,0.43
Dividend Per Share,1.110,0.980,0.820,0.720,0.620,0.500,0.400,0.320,0.140,-,-
Dividend Growth,19.36%,19.51%,13.89%,16.13%,24.00%,25.00%,25.00%,128.57%,-,-,-
Gross Margin,48.41%,48.08%,48.44%,47.84%,49.95%,49.40%,49.36%,57.07%,54.12%,62.10%,71.50%
Operating Margin,27.26%,26.57%,25.61%,26.04%,24.87%,21.82%,21.49%,25.15%,25.41%,25.75%,29.52%
Profit Margin,25.52%,17.37%,15.25%,14.81%,15.10%,9.37%,10.26%,14.18%,17.96%,13.33%,12.96%
Free Cash Flow Margin,9.16%,16.89%,17.56%,14.63%,7.38%,23.91%,8.06%,22.71%,18.68%,19.18%,15.32%
EBITDA,210.73,185.78,131.08,104,78.2,61.82,48.39,42.84,37.25,29.62,25.7
EBITDA Margin,30.86%,29.69%,28.49%,29.09%,27.68%,24.84%,24.23%,27.97%,27.94%,28.66%,32.96%
D&A For EBITDA,24.55,19.49,13.24,10.9,7.94,7.52,5.48,4.31,3.38,3.01,2.68
EBIT,186.19,166.29,117.84,93.1,70.26,54.3,42.9,38.53,33.87,26.61,23.02
EBIT Margin,27.26%,26.57%,25.61%,26.04%,24.87%,21.82%,21.49%,25.15%,25.41%,25.75%,29.52%
Effective Tax Rate,26.25%,26.14%,25.59%,23.61%,27.58%,13.50%,20.53%,19.34%,16.71%,37.29%,36.22%
Revenue as Reported,682.98,625.81,460.06,357.52,282.5,248.81,199.68,153.18,133.32,103.32,77.97
Advertising Expenses,-,-,-,-,-,-,-,-,-,-,3.9
