Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,588.56,507,676.17,748.21,517.18,290.29,143.27
Revenue Growth (YoY),20.11%,-25.02%,-9.63%,44.67%,78.16%,102.62%,-
Cost of Revenue,173.06,155.15,346.66,428.21,285.47,172.39,82.81
Gross Profit,415.5,351.85,329.51,320,231.71,117.91,60.45
"Selling, General & Admin",375.99,282.02,528.2,447.08,343.02,143,101.32
Research & Development,63.71,60.06,55.61,52.36,33.64,13.24,7.8
Other Operating Expenses,16.97,16.78,17.98,26.51,13.52,5.26,7.12
Operating Expenses,481.18,376.32,612.53,529.81,393.71,164.99,119.32
Operating Income,-65.68,-24.47,-283.02,-209.81,-162.01,-47.09,-58.86
Other Non Operating Income (Expenses),37.25,52.55,52.44,7.04,-2.56,-0.52,0.7
EBT Excluding Unusual Items,-28.44,28.08,-230.58,-202.77,-164.57,-47.61,-58.17
Gain (Loss) on Sale of Investments,-,-,-,17.89,-,-,-
Pretax Income,-38.32,28.08,-230.58,-184.88,-164.57,-47.61,-58.17
Income Tax Expense,1.33,0.79,-7.61,-0.1,-0.64,0.09,0.04
Net Income,-39.65,27.29,-222.96,-184.78,-163.93,-47.7,-58.2
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,64.15
Net Income to Common,-39.65,27.29,-222.96,-184.78,-163.93,-47.7,-122.35
Shares Outstanding (Basic),479,511,533,545,363,123,114
Shares Outstanding (Diluted),479,519,533,545,363,123,114
Shares Change (YoY),-8.41%,-2.57%,-2.36%,50.35%,195.09%,7.98%,-
EPS (Basic),-0.08,0.05,-0.42,-0.34,-0.45,-0.39,-1.07
EPS (Diluted),-0.08,0.05,-0.42,-0.34,-0.45,-0.39,-1.07
Free Cash Flow,132.03,55.75,20.34,-15.29,54.23,47.9,-20.34
Free Cash Flow Per Share,0.28,0.11,0.04,-0.03,0.15,0.39,-0.18
Gross Margin,70.60%,69.40%,48.73%,42.77%,44.80%,40.62%,42.20%
Operating Margin,-11.16%,-4.83%,-41.86%,-28.04%,-31.32%,-16.22%,-41.09%
Profit Margin,-6.74%,5.38%,-32.97%,-24.70%,-31.70%,-16.43%,-85.40%
Free Cash Flow Margin,22.43%,11.00%,3.01%,-2.04%,10.49%,16.50%,-14.19%
EBITDA,-36.76,-7.01,-272.27,-205.96,-158.47,-43.59,-55.78
EBITDA Margin,-6.25%,-1.38%,-40.27%,-27.53%,-30.64%,-15.02%,-38.94%
D&A For EBITDA,28.92,17.46,10.74,3.85,3.53,3.5,3.08
EBIT,-65.68,-24.47,-283.02,-209.81,-162.01,-47.09,-58.86
EBIT Margin,-11.16%,-4.83%,-41.85%,-28.04%,-31.32%,-16.22%,-41.09%
Effective Tax Rate,-,2.82%,-,-,-,-,-
Advertising Expenses,-,2.3,1.5,2.2,1.7,1.4,1.1
