Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,747.25,923.02,980.97,"1,184","1,248",220.43,60.34
Short-Term Investments,83.21,179.41,268.72,440.86,464.49,149.9,95.23
Cash & Short-Term Investments,830.46,"1,102","1,250","1,625","1,712",370.34,155.57
Cash Growth,-24.78%,-11.79%,-23.08%,-5.10%,362.30%,138.05%,-
Accounts Receivable,104.41,114.57,104.73,76.88,55.8,41.43,26.46
Other Receivables,-,4.02,4.46,3.98,0.39,-,-
Receivables,104.41,118.59,109.19,80.86,56.19,41.43,26.46
Inventory,-,3.68,4.31,5.15,3.94,0.78,-
Prepaid Expenses,30.62,13.23,14.84,19.25,12.49,6.16,3.32
Restricted Cash,234.52,8.5,8.5,7.8,7.8,7.8,7.8
Other Current Assets,-,2.88,2.17,9,6.23,4.4,4.05
Total Current Assets,"1,200","1,249","1,389","1,747","1,799",430.91,197.21
"Property, Plant & Equipment",63.46,40.24,25.25,16.46,20.98,22.89,25.77
Long-Term Investments,-,-,-,-,8.38,-,-
Goodwill,154.48,123.52,123.52,-,-,-,-
Other Intangible Assets,53.64,29.77,35.63,-,-,-,-
Long-Term Accounts Receivable,7.41,10.98,9.4,1.32,0.93,0.29,-
Long-Term Deferred Tax Assets,-,0.4,0.5,-,-,-,-
Other Long-Term Assets,9.44,9,6.7,5.8,1.36,3.59,0.22
Total Assets,"1,488","1,463","1,590","1,770","1,830",457.68,223.19
Accounts Payable,1.52,0.53,1.42,3.8,2.69,2.36,2.89
Accrued Expenses,362.11,337.22,302.85,256.15,209.81,122.45,54.9
Current Portion of Leases,3.07,4.63,3.91,3.39,3.02,2.77,2.07
Current Income Taxes Payable,7.95,5.43,4.93,-,-,-,-
Current Unearned Revenue,13.31,13.59,11.83,17.05,19.06,3.98,0.68
Other Current Liabilities,248.82,9.58,11.65,2.49,3.39,9.54,3.77
Total Current Liabilities,636.77,370.99,336.58,282.88,237.97,141.1,64.31
Long-Term Leases,4.84,0.87,5.13,9.03,12.43,15.45,17.67
Long-Term Unearned Revenue,1.65,4.78,4.07,4.2,6.11,8.87,2.92
Other Long-Term Liabilities,5.94,1.55,0.52,1.28,0.45,1.59,0.38
Total Liabilities,649.2,378.19,346.3,297.39,256.95,167,85.28
Common Stock,0.05,0.05,0.05,0.05,0.05,0.01,0.01
Additional Paid-In Capital,"1,648","1,883","2,068","2,082","1,993",39.77,7.37
Retained Earnings,-810.44,-797.91,-825.2,-602.23,-417.45,-253.52,-205.83
Comprehensive Income & Other,1.4,-0.31,0.76,-7.24,-2.23,0.03,0.05
Total Common Equity,839.23,"1,085","1,243","1,473","1,573",-213.72,-198.41
Shareholders' Equity,839.23,"1,085","1,243","1,473","1,573",290.68,137.91
Total Liabilities & Equity,"1,488","1,463","1,590","1,770","1,830",457.68,223.19
Total Debt,7.91,5.5,9.03,12.43,15.45,18.22,19.74
Net Cash (Debt),822.55,"1,097","1,241","1,612","1,697",352.12,135.83
Net Cash Growth,-25.04%,-11.58%,-23.05%,-4.97%,381.84%,159.22%,-
Net Cash Per Share,1.72,2.11,2.33,2.96,4.68,2.86,1.19
Filing Date Shares Outstanding,440.1,504.32,513.81,538.58,542.8,130.31,118.43
Total Common Shares Outstanding,449.35,504.3,520.34,541.36,541.38,130.31,118.43
Working Capital,563.24,878.31,"1,052","1,464","1,561",289.81,132.89
Book Value Per Share,1.87,2.15,2.39,2.72,2.91,-1.64,-1.68
Tangible Book Value,631.11,931.72,"1,084","1,473","1,573",-213.72,-198.41
Tangible Book Value Per Share,1.40,1.85,2.08,2.72,2.91,-1.64,-1.68
Machinery,12.23,11.94,11.48,11.66,11.04,9.97,8.81
Leasehold Improvements,9.67,8.11,8.11,8.11,8.11,8.11,7
