Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023"
Revenue,111.22,60.79,55.24
Revenue Growth (YoY),101.35%,10.06%,-
Cost of Revenue,116.68,72.16,28.64
Gross Profit,-5.46,-11.37,26.6
"Selling, General & Admin",52.38,46.85,40.61
Research & Development,185.01,149.5,117.87
Operating Expenses,237.39,196.35,158.48
Operating Income,-242.85,-207.71,-131.88
Interest Expense,-69.72,-55.05,-24.78
Other Non Operating Income (Expenses),-43.41,-1.31,0.38
EBT Excluding Unusual Items,-355.98,-264.07,-156.27
Gain (Loss) on Sale of Assets,0.08,-1.74,0
Pretax Income,-395.83,-265.81,-156.27
Net Income,-395.83,-265.81,-156.27
Net Income to Common,-395.83,-265.81,-156.27
Shares Outstanding (Basic),34,13,12
Shares Outstanding (Diluted),34,13,12
Shares Change (YoY),180.25%,7.03%,-
EPS (Basic),-11.79,-20.74,-13.05
EPS (Diluted),-11.79,-20.74,-13.05
Free Cash Flow,-201.34,-190.35,-170.68
Free Cash Flow Per Share,-6.00,-14.85,-14.25
Gross Margin,-4.91%,-18.70%,48.16%
Operating Margin,-218.36%,-341.68%,-238.75%
Profit Margin,-355.91%,-437.24%,-282.92%
Free Cash Flow Margin,-181.03%,-313.11%,-309.01%
EBITDA,-223.27,-195.17,-127.17
EBITDA Margin,-200.76%,-,-230.23%
D&A For EBITDA,19.57,12.55,4.71
EBIT,-242.85,-207.71,-131.88
EBIT Margin,-218.36%,-,-238.75%
