Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023"
Cash & Equivalents,995.16,123.43,81.95
Cash & Short-Term Investments,995.16,123.43,81.95
Cash Growth,1114.43%,50.63%,-
Receivables,5.13,1,2.7
Inventory,-,-,0.25
Prepaid Expenses,-,1.93,2.02
Restricted Cash,0.83,0.42,2.45
Other Current Assets,21.68,53.92,60.59
Total Current Assets,"1,023",180.72,149.95
"Property, Plant & Equipment",156.64,153.89,138.26
Goodwill,17.1,17.1,17.1
Other Long-Term Assets,59.65,55.63,15.91
Total Assets,"1,256",407.33,321.21
Accounts Payable,31.22,37.72,27.62
Accrued Expenses,20.17,14.42,16.47
Current Portion of Long-Term Debt,6.99,6.35,0.97
Current Portion of Leases,1.44,1.98,1.85
Current Unearned Revenue,95.2,108.07,89.4
Other Current Liabilities,9.91,10.84,0.45
Total Current Liabilities,164.93,179.38,136.77
Long-Term Debt,23.23,141.6,95.61
Long-Term Leases,12.82,18.46,22.52
Long-Term Unearned Revenue,74.52,45.9,33.75
Other Long-Term Liabilities,31.88,30.03,1.18
Total Liabilities,307.37,415.37,289.83
Common Stock,0.02,0,0
Retained Earnings,-979.22,-767.63,-504.49
Total Common Equity,948.82,-767.62,-504.49
Shareholders' Equity,948.82,-8.04,31.38
Total Liabilities & Equity,"1,256",407.33,321.21
Total Debt,44.47,168.4,120.95
Net Cash (Debt),950.69,-44.97,-39
Net Cash Per Share,28.32,-3.51,-3.26
Filing Date Shares Outstanding,159.25,13.24,11.98
Total Common Shares Outstanding,148.14,13.24,11.98
Working Capital,857.87,1.34,13.17
Book Value Per Share,6.40,-57.97,-42.12
Tangible Book Value,931.72,-784.72,-521.58
Tangible Book Value Per Share,6.29,-59.27,-43.55
Land,4.47,3.51,2.5
Buildings,49,48.83,10.07
Machinery,51.46,45.82,19.15
Construction In Progress,23.16,17.55,84.97
Leasehold Improvements,9.88,7.28,7.28
Order Backlog,-,"1,099",560.34
