Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"8,280","11,739","9,067","5,500","13,622",-,-
Market Cap Growth,-44.15%,29.47%,64.84%,-59.62%,-,-,-
Enterprise Value,"6,660","10,442","8,077","4,732","12,746",-,-
Last Close Price,160.61,235.44,187.81,122.00,308.72,-,-
PE Ratio,131.01,362.62,-,-,-,-,-
Forward PE,35.67,68.16,115.90,-,-,-,-
PS Ratio,7.05,12.08,12.43,10.60,44.21,-,-
PB Ratio,6.55,11.39,11.15,8.09,19.37,-,-
P/TBV Ratio,6.53,11.49,11.28,8.19,19.50,-,-
P/FCF Ratio,24.81,39.41,43.70,493.98,2851.66,-,-
P/OCF Ratio,23.61,37.74,42.09,202.68,832.92,-,-
EV/Sales Ratio,5.71,10.74,11.07,9.12,41.36,-,-
EV/FCF Ratio,19.96,35.06,38.92,424.95,2668.23,-,-
Debt / Equity Ratio,0.09,0.10,0.08,0.11,0,1.33,0.13
Debt / EBITDA Ratio,2.58,7.59,-,-,-,-,-
Debt / FCF Ratio,0.36,0.36,0.30,6.98,0.02,-,-
Asset Turnover,0.64,0.66,0.63,0.53,0.56,0.94,-
Quick Ratio,2.54,2.61,2.76,3.04,3.94,1.03,2.22
Current Ratio,2.67,2.66,2.82,3.10,4.00,1.05,2.25
Return on Equity (ROE),5.81%,3.51%,-0.25%,-19.79%,-35.95%,-256.20%,-
Return on Assets (ROA),0.19%,-0.89%,-2.08%,-9.63%,-14.46%,-54.93%,-
Return on Capital (ROIC),0.28%,-1.31%,-2.96%,-13.01%,-21.29%,-122.76%,-
Earnings Yield,0.79%,0.28%,-0.02%,-2.49%,-0.95%,-,-
FCF Yield,4.03%,2.54%,2.29%,0.20%,0.03%,-,-
Buyback Yield / Dilution,-3.32%,-8.38%,-5.59%,-51.01%,-151.74%,-6.17%,-
