Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,"1,527","1,412","1,116",885.89,886.81,129.81,171.6
Short-Term Investments,211.74,50,-,-,-,10,4
Cash & Short-Term Investments,"1,739","1,462","1,116",885.89,886.81,139.81,175.6
Cash Growth,25.30%,30.95%,25.99%,-0.10%,534.28%,-20.38%,-
Accounts Receivable,32.71,25.8,17.91,13.23,8.51,3.91,3.44
Other Receivables,-,13.83,13.55,6.14,3.76,0.77,0.37
Receivables,32.71,39.63,31.46,19.37,12.27,4.68,3.81
Prepaid Expenses,89.14,15.94,13.19,13.61,12.73,2.51,1.79
Other Current Assets,-,15.07,12.36,4.98,1.68,0.62,0.11
Total Current Assets,"1,861","1,532","1,173",923.85,913.49,147.62,181.31
"Property, Plant & Equipment",152.42,127.46,90.01,106.38,14.81,5.54,2.82
Other Intangible Assets,-,8.82,9.69,8.23,4.79,1.64,0.37
Long-Term Deferred Charges,-,-,-,-,-,0.17,-
Other Long-Term Assets,45.29,16.98,2.82,0.59,0.1,2.45,0.65
Total Assets,"2,059","1,686","1,276","1,039",933.19,157.42,185.15
Accounts Payable,45.35,35.61,24.84,7.34,23.61,25.73,18.95
Accrued Expenses,218.3,152.49,95.25,63.62,65.1,19.04,5
Short-Term Debt,-,-,-,-,-,21.02,13.03
Current Portion of Leases,27.22,29.01,18.2,19.08,0.08,0.09,0.08
Current Income Taxes Payable,-,15.12,8.64,4.07,2.82,2.29,1.05
Current Unearned Revenue,406.23,339.95,266.28,198.1,134.44,70.72,40.98
Other Current Liabilities,-,3.43,2.8,6.01,2.13,1.56,1.67
Total Current Liabilities,697.1,575.62,416.01,298.22,228.19,140.44,80.76
Long-Term Leases,92.05,77.02,42.95,58.64,-,0.09,0.16
Long-Term Unearned Revenue,2.18,2.64,3.19,2.44,1.61,-,-
Other Long-Term Liabilities,-,-,-,-,-,0.96,1.35
Total Liabilities,791.33,655.28,462.15,359.3,229.8,141.48,82.27
Additional Paid-In Capital,-,"1,579","1,388","1,265","1,148",98.81,33.54
Retained Earnings,-509.98,-552.03,-584.4,-582.53,-445.66,-316.37,-164.16
Comprehensive Income & Other,21.19,3.19,9.8,-3.21,0.59,-,-
Total Common Equity,"1,267","1,030",813.51,679.74,703.4,-217.56,-130.62
Shareholders' Equity,"1,267","1,030",813.51,679.74,703.4,15.94,102.88
Total Liabilities & Equity,"2,059","1,686","1,276","1,039",933.19,157.42,185.15
Total Debt,119.27,106.04,61.15,77.72,0.08,21.19,13.28
Net Cash (Debt),"1,620","1,356","1,055",808.17,886.73,118.62,162.32
Net Cash Growth,24.91%,28.49%,30.54%,-8.86%,647.52%,-26.92%,-
Net Cash Per Share,30.50,25.86,21.81,17.64,29.23,9.85,14.30
Filing Date Shares Outstanding,51.69,50.77,48.92,47.74,44.92,12.35,11.35
Total Common Shares Outstanding,51.69,50.77,48.92,47.74,44.92,12.35,11.35
Working Capital,"1,164",956.63,757.13,625.62,685.31,7.19,100.55
Book Value Per Share,24.52,20.29,16.63,14.24,15.66,-17.61,-11.51
Tangible Book Value,"1,267","1,021",803.82,671.51,698.6,-219.2,-130.99
Tangible Book Value Per Share,24.52,20.12,16.43,14.07,15.55,-17.74,-11.54
Machinery,-,30.72,24.09,19.5,12.55,4.87,2.73
Leasehold Improvements,-,22,16.42,13.29,6.7,3,0.77
