Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,081","1,891","2,585","2,691","2,424","1,815","1,453","1,235","1,001",364.77,237.44
Short-Term Investments,963.07,459.85,641.04,480.43,711.06,"1,682",951.24,591.27,791.73,31.19,98.44
Cash & Short-Term Investments,"2,044","2,350","3,226","3,171","3,135","3,497","2,404","1,826","1,793",395.95,335.88
Cash Growth,-6.97%,-27.13%,1.72%,1.16%,-10.36%,45.45%,31.68%,1.85%,352.75%,17.89%,-25.57%
Accounts Receivable,379.43,339.75,440.77,502.44,723.09,492.01,422.23,369.09,170.1,116.05,120.23
Other Receivables,439.99,35.07,41.2,80.09,14.6,1,148.23,61.72,16.36,18.57,-
Receivables,819.43,"1,009","1,164","1,250","1,574","1,241","1,123",518.11,186.46,134.62,120.23
Prepaid Expenses,313.99,26.63,27.74,28.46,17.48,25.69,20.9,20.33,16.72,7.38,3.53
Other Current Assets,-,105.66,95.1,102.98,76.54,70.66,88.06,104.8,52.51,59.29,38.76
Total Current Assets,"3,178","3,492","4,513","4,552","4,803","4,835","3,636","2,469","2,048",597.24,498.4
"Property, Plant & Equipment",280.94,369.75,390.93,439.92,128.92,67.81,56.46,45.62,33.79,22.82,22.85
Long-Term Investments,"1,722","1,911","1,646","1,367","1,624","1,195","1,027",694.59,452.34,399.93,294.68
Goodwill,-,162.22,166.44,120.15,130.41,61.71,28.99,29.35,13.42,10.27,11.12
Other Intangible Assets,265.36,109.78,134.13,125.07,166.93,146.98,17.52,21.1,0.52,1.1,1.97
Long-Term Deferred Tax Assets,-,39.97,43.26,39.99,40.54,27.02,16.46,11.91,8.3,5.38,-
Other Long-Term Assets,"1,453",61.38,36.89,30.27,145.29,2.13,21.12,3.02,5.08,0.21,10.17
Total Assets,"6,899","6,504","7,280","7,129","7,520","6,335","4,804","3,275","2,562","1,037",839.19
Accounts Payable,217.66,158.44,161.49,161.03,197.64,149.51,126.25,123.73,64.04,49,40.46
Accrued Expenses,578.68,555.16,562.16,584.95,701.78,462.27,382.09,261.13,229.99,147.79,104.47
Current Portion of Long-Term Debt,-,-,799.33,-,896.54,-,-,-,-,-,-
Current Portion of Leases,-,12.16,10.39,9.69,7.92,5.58,4.71,-,-,-,-
Current Income Taxes Payable,71.41,84.69,94.51,55.28,144.75,102.84,100.25,88.68,70.91,-,-
Current Unearned Revenue,81.9,73.74,75.19,94.45,91.14,143.68,108.78,99.99,81.31,48.96,39.09
Other Current Liabilities,-,83.95,94.29,314.54,119.26,94.48,78.78,56.3,38.63,32.35,24.76
Total Current Liabilities,949.65,968.14,"1,797","1,220","2,159",958.37,800.86,629.84,484.88,278.1,208.78
Long-Term Debt,"1,862","1,861","1,853","2,422","1,538","2,429","1,682",884.12,879.98,-,-
Long-Term Leases,-,32.58,42.86,55.71,52.04,1.51,5.29,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,0.29,0.67,1.05
Long-Term Deferred Tax Liabilities,-,61.05,66.15,41.69,66.9,58.3,33.97,12.58,1.88,0.82,1.34
Other Long-Term Liabilities,150.39,3.07,3.42,-,15.12,2.1,-,-,-,-,-
Total Liabilities,"2,962","2,926","3,763","3,739","3,832","3,449","2,522","1,527","1,367",279.59,211.16
