Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Cash & Equivalents,104.15,73.19,67.62,68.28,76.98,84.29,34.97,6.52,0.83
Cash & Short-Term Investments,104.15,73.19,67.62,68.28,76.98,84.29,34.97,6.52,0.83
Cash Growth,30.08%,8.22%,-0.96%,-11.31%,-8.66%,141.06%,436.32%,683.68%,-
Accounts Receivable,184.13,164.56,130.63,93.36,133.99,80.81,25.19,4.93,0.21
Other Receivables,7.42,3.63,1.57,2.53,5.08,1.4,0.32,0.03,0
Receivables,191.55,168.19,132.2,95.89,139.07,82.21,25.5,4.96,0.22
Prepaid Expenses,22.84,11.39,6.22,4.74,3.35,1.71,0.88,0.13,0.03
Restricted Cash,10.92,4.85,2.99,1.22,1.89,4.8,1.64,0.55,-
Total Current Assets,329.45,257.62,209.04,170.13,221.29,173,62.99,12.16,1.08
"Property, Plant & Equipment",0.7,0.8,0.99,0.09,0.95,0.52,1,0.08,0.01
Other Intangible Assets,3.09,2.44,1.9,1.32,0.91,0.54,0.48,0.26,0.07
Long-Term Deferred Tax Assets,13.44,16.91,-,-,-,-,-,-,-
Other Long-Term Assets,20.27,20.61,0.71,1.04,0.25,0.05,0.07,0.04,0.02
Total Assets,366.96,298.37,212.65,172.58,223.4,174.11,64.54,12.54,1.18
Accounts Payable,57.83,68.97,74.14,83.02,96.52,60.93,13.28,2.28,0.11
Accrued Expenses,9.63,15.7,10.79,10.45,8,6.68,1.68,0.49,0.04
Current Portion of Long-Term Debt,-,-,94.38,-,-,-,-,-,-
Current Portion of Leases,0.14,0.1,0.06,0.08,0.17,0.14,0.39,-,-
Current Unearned Revenue,19.64,13.46,2.64,1.52,-,-,-,-,-
Other Current Liabilities,6.42,7.46,5.26,4.13,2.87,0.62,0.27,0.1,0.02
Total Current Liabilities,93.66,105.68,187.27,99.19,107.56,68.37,15.62,2.86,0.16
Long-Term Debt,117.31,103.99,0.25,64.03,77.96,41.3,21.11,4.38,-
Long-Term Leases,0.71,0.82,0.98,-,0.09,-,0.5,-,-
Other Long-Term Liabilities,0.01,0.04,2.05,0.51,-,4.48,-,-,3.27
Total Liabilities,211.69,210.54,190.55,163.73,185.61,114.15,37.23,7.24,3.43
Common Stock,196,0,0,0,0,0,0,0,0
Additional Paid-In Capital,-,188.59,186.02,179.05,168.34,112.64,47.15,0.14,0.07
Retained Earnings,-19.16,-89.77,-157.52,-165.5,-127.4,-52.23,-19.84,-6.02,-2.26
Treasury Stock,-20.47,-9.39,-5.76,-4.07,-3.69,-0.88,-,-,-
Comprehensive Income & Other,-1.11,-1.59,-0.65,-0.64,0.55,0.43,-,-,-0.06
Total Common Equity,155.27,87.84,22.09,8.84,37.79,59.96,27.31,-5.87,-2.25
Shareholders' Equity,155.27,87.84,22.09,8.84,37.79,59.96,27.31,5.29,-2.25
Total Liabilities & Equity,366.96,298.37,212.65,172.58,223.4,174.11,64.54,12.54,1.18
Total Debt,118.17,104.91,95.67,64.11,78.22,41.44,22,4.38,-
Net Cash (Debt),-14.02,-31.73,-28.05,4.17,-1.24,42.85,12.97,2.14,0.83
Net Cash Growth,-,-,-,-,-,230.44%,507.17%,156.71%,-
Net Cash Per Share,-0.39,-0.88,-0.82,0.13,-0.04,1.45,0.74,0.23,0.10
Filing Date Shares Outstanding,34.15,33.85,33.8,32.88,32.28,31.11,28.25,9.42,9.38
Total Common Shares Outstanding,34.15,33.74,34.19,32.87,32.25,31.09,28.25,9.38,9.38
Working Capital,235.79,151.94,21.78,70.94,113.73,104.63,47.37,9.3,0.91
Book Value Per Share,4.55,2.60,0.65,0.27,1.17,1.93,0.97,-0.63,-0.24
Tangible Book Value,152.18,85.39,20.2,7.52,36.88,59.42,26.83,-6.13,-2.33
Tangible Book Value Per Share,4.46,2.53,0.59,0.23,1.14,1.91,0.95,-0.65,-0.25
Machinery,-,-,-,-,-,0.67,0.25,0.12,0.02
