Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"1,765","1,434",117,-,-,-,-,-,-
Market Cap Growth,46.81%,1127.75%,-,-,-,-,-,-,-
Enterprise Value,"1,739","1,449",128,-,-,-,-,-,-
Last Close Price,50.97,42.63,3.42,-,-,-,-,-,-
PE Ratio,15.94,18.27,16.46,-,-,-,-,-,-
Forward PE,12.34,22.97,-,-,-,-,-,-,-
PS Ratio,4.12,5.29,0.73,-,-,-,-,-,-
PB Ratio,11.21,16.33,5.29,-,-,-,-,-,-
P/TBV Ratio,11.33,16.80,5.78,-,-,-,-,-,-
P/FCF Ratio,30.82,35.13,-,-,-,-,-,-,-
P/OCF Ratio,30.48,35.07,-,-,-,-,-,-,-
EV/Sales Ratio,4.15,5.35,0.80,-,-,-,-,-,-
EV/EBITDA Ratio,7.16,10.55,2.81,-,-,-,-,-,-
EV/EBIT Ratio,7.17,10.55,2.82,-,-,-,-,-,-
EV/FCF Ratio,31.07,35.49,-,-,-,-,-,-,-
Debt / Equity Ratio,0.76,1.19,4.33,7.25,2.07,0.69,0.81,0.83,-
Debt / EBITDA Ratio,0.49,0.76,2.10,-,-,-,-,-,-
Debt / FCF Ratio,2.11,2.57,-,7.58,-,-,-,-,-
Asset Turnover,1.35,1.06,0.83,0.63,0.58,0.49,0.41,0.24,-
Quick Ratio,3.16,2.28,1.07,1.66,2.01,2.44,3.87,4.01,6.52
Current Ratio,3.52,2.44,1.12,1.72,2.06,2.53,4.03,4.25,6.70
Return on Equity (ROE),107.03%,142.86%,45.89%,-163.37%,-153.80%,-74.23%,-80.12%,-298.38%,-
Return on Assets (ROA),48.90%,33.59%,14.74%,-3.14%,-5.05%,-14.63%,-18.25%,-29.04%,-
Return on Capital (ROIC),70.57%,55.27%,29.78%,-6.59%,-9.23%,-23.16%,-23.84%,-53.66%,-
Return on Capital Employed (ROCE),88.70%,71.30%,179.00%,-13.60%,-13.90%,-26.40%,-23.00%,-32.90%,-79.80%
Earnings Yield,6.71%,5.47%,6.08%,-,-,-,-,-,-
FCF Yield,3.24%,2.85%,-22.06%,-,-,-,-,-,-
Buyback Yield / Dilution,-0.85%,-5.34%,-4.32%,-3.25%,-7.23%,-67.46%,-87.79%,-9.02%,-
