Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,748.8,754.93,687.85,456.01,348.62,270.24,269.41,217.21,185.45,137.74,122.37
Interest Income on Investments,122.71,96.12,77.07,59.08,34.62,34.54,35.73,20.59,17.09,11.49,10.41
Total Interest Income,871.52,851.05,764.92,515.08,383.23,304.78,305.13,237.8,202.54,149.22,132.78
Interest Paid on Deposits,245.85,264.61,183.72,30.16,10.67,21.05,49.86,33.77,17.2,10.84,10.41
Interest Paid on Borrowings,20.73,18.35,18.6,11.02,12.37,13.73,16.56,12.13,8.04,2.89,1.96
Total Interest Expense,266.58,282.96,202.33,41.18,23.04,34.78,66.42,45.9,25.24,13.73,12.37
Net Interest Income,604.93,568.1,562.59,473.9,360.19,270,238.72,191.91,177.3,135.5,120.41
Net Interest Income Growth (YoY),7.55%,0.98%,18.71%,31.57%,33.41%,13.11%,24.39%,8.24%,30.86%,12.53%,2.59%
Trust Income,10.53,10.45,10.03,10.01,10.26,9.73,9.93,8.24,8.1,6.73,7.01
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-0.24,-0.39,-1.04,-
Gain (Loss) on Sale of Investments,0.11,-,0.6,-,-,0.42,0.24,0.01,0.02,0.09,0.02
Other Non-Interest Income,36.03,31.95,32.34,28.27,34.03,26.02,20.81,18.35,15.23,11.79,5.58
Total Non-Interest Income,65.7,60.75,59.53,56.6,59.72,47.89,43.78,38.11,34.01,28.02,20.68
Non-Interest Income Growth (YoY),6.13%,2.05%,5.17%,-5.21%,24.69%,9.38%,14.89%,12.07%,21.36%,35.52%,32.30%
Revenues Before Loan Losses,670.63,628.85,622.12,530.51,419.91,317.89,282.5,230.01,211.31,163.51,141.09
Provision for Loan Losses,23.94,21.51,36.61,-0.61,13.39,65.4,6.37,6.64,10.13,3.61,0.46
Revenue,646.69,607.34,585.52,531.12,406.52,252.5,276.13,223.37,201.18,159.91,140.63
Revenue Growth (YoY),9.31%,3.73%,10.24%,30.65%,61.00%,-8.56%,23.62%,11.03%,25.81%,13.71%,10.29%
Salaries and Employee Benefits,183.07,171.84,154.42,139.02,118.89,88.11,77.26,62.59,57.96,46.48,42.05
Federal Deposit Insurance,-,-,-,-,-,-,-,-,-,3.02,2.79
"Selling, General & Administrative",58.53,54.03,47.59,46.24,38.83,30.63,28.42,22.46,22.57,18.8,18.43
Other Non-Interest Expense,163.29,150.22,136.98,86.4,54.65,37.64,36.44,32.48,27.67,13.42,14.72
Total Non-Interest Expense,404.89,376.09,338.99,271.66,212.37,156.37,142.12,117.52,108.2,83.35,79.79
EBT Excluding Unusual Items,241.81,231.24,246.53,259.46,194.16,96.12,134.01,105.85,92.98,76.56,60.84
Other Unusual Items,0.63,-,-,-,-,-,-,-,-,-0.33,-2.44
Pretax Income,274.54,231.24,246.53,259.46,168.63,91.95,116.04,104.58,86.52,74.84,58.4
Income Tax Expense,79.13,45.98,52.47,56.42,35.58,17.56,23.3,15.36,38.33,26,19.95
Net Income,195.41,185.27,194.06,203.04,133.06,74.38,92.74,89.22,48.19,48.84,38.45
Preferred Dividends & Other Adjustments,3.75,3.75,3.75,4.04,-,-,-,-,-,-,-
Net Income to Common,191.66,181.52,190.31,199,133.06,74.38,92.74,89.22,48.19,48.84,38.45
Net Income Growth,7.99%,-4.53%,-4.42%,52.60%,78.88%,-19.79%,3.95%,85.14%,-1.32%,27.01%,41.50%
Basic Shares Outstanding,37,37,37,37,34,27,26,23,23,20,20
Diluted Shares Outstanding,37,38,38,38,34,27,26,23,23,20,20
Shares Change (YoY),-0.50%,0.16%,0.02%,8.71%,27.82%,3.17%,12.32%,0.17%,14.58%,-0.13%,1.03%
EPS (Basic),5.18,4.86,5.09,5.32,3.86,2.76,3.56,3.86,2.10,2.44,1.92
EPS (Diluted),5.13,4.83,5.07,5.31,3.86,2.76,3.55,3.83,2.07,2.41,1.89
EPS Growth,8.68%,-4.73%,-4.52%,37.56%,39.87%,-22.26%,-7.31%,85.02%,-14.11%,27.51%,39.53%
Dividend Per Share,1.180,1.060,1.000,0.900,0.750,0.720,0.620,0.470,0.440,0.410,0.263
Dividend Growth,14.56%,6.00%,11.11%,20.00%,4.17%,16.13%,31.91%,6.82%,7.32%,56.19%,25.00%
Effective Tax Rate,28.82%,19.88%,21.28%,21.74%,21.10%,19.10%,20.08%,14.69%,44.30%,34.74%,34.16%
