Period Ending,"Nov '25Nov 13, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Market Capitalization,"8,486","7,494","8,006","11,120","10,130","13,799","11,503","11,080","9,388","8,326","7,142"
Market Cap Growth,-6.24%,-6.40%,-28.00%,9.77%,-26.59%,19.95%,3.82%,18.03%,12.75%,16.59%,44.59%
Enterprise Value,"14,025","12,872","15,543","19,163","12,974","16,189","14,522","12,933","11,451","10,497","7,834"
Last Close Price,34.28,28.96,28.73,38.65,34.20,45.03,37.02,35.31,29.66,26.16,24.17
PE Ratio,17.96,17.19,17.22,73.95,25.51,44.42,49.11,38.81,38.76,8.12,25.10
Forward PE,8.18,7.65,8.36,10.10,11.25,15.50,14.89,14.36,12.99,13.39,15.36
PS Ratio,1.72,1.45,1.39,2.48,2.90,4.08,3.70,3.86,3.34,3.63,3.92
PB Ratio,2.15,1.91,1.91,2.77,2.51,3.37,2.87,2.85,2.53,2.36,3.61
P/FCF Ratio,9.37,10.90,9.90,16.97,11.40,16.98,13.05,13.64,15.58,23.08,15.67
P/OCF Ratio,8.03,9.02,8.27,14.27,10.32,15.75,12.05,12.65,13.26,18.91,13.58
PEG Ratio,1.03,0.84,0.89,0.99,1.28,2.09,2.07,1.08,0.89,0.72,1.75
EV/Sales Ratio,2.70,2.49,2.69,4.27,3.71,4.78,4.67,4.51,4.07,4.58,4.29
EV/EBITDA Ratio,9.25,8.72,9.88,17.23,13.06,15.55,15.94,14.55,14.22,16.57,13.71
EV/EBIT Ratio,13.21,12.57,15.40,28.26,18.85,21.89,24.13,21.52,21.44,25.09,19.42
EV/FCF Ratio,15.48,18.73,19.23,29.24,14.60,19.93,16.47,15.92,19.00,29.10,17.19
Debt / Equity Ratio,1.68,1.69,1.59,2.30,1.11,0.94,1.12,0.67,0.71,0.73,1.08
Debt / EBITDA Ratio,4.16,4.27,4.03,7.84,4.26,3.51,4.57,2.94,3.25,4.06,3.75
Debt / FCF Ratio,7.32,9.67,8.28,14.12,5.04,4.76,5.08,3.22,4.35,7.12,4.71
Asset Turnover,0.38,0.37,0.37,0.33,0.35,0.34,0.34,0.37,0.37,0.36,0.38
Quick Ratio,0.75,0.73,0.73,0.64,1.48,1.55,1.19,1.44,1.23,0.82,2.40
Current Ratio,0.87,0.80,0.81,0.71,1.56,1.62,1.25,1.54,1.34,0.89,2.49
Return on Equity (ROE),12.32%,10.73%,11.32%,3.74%,9.77%,7.67%,5.94%,7.51%,6.68%,37.22%,14.94%
Return on Assets (ROA),4.87%,4.58%,4.03%,3.11%,4.35%,4.66%,4.14%,4.79%,4.38%,4.14%,5.30%
Return on Capital (ROIC),6.20%,5.96%,5.22%,3.89%,5.22%,5.62%,5.02%,5.85%,5.37%,5.11%,6.71%
Return on Capital Employed (ROCE),9.60%,9.30%,8.90%,4.90%,7.90%,9.00%,7.20%,8.70%,7.90%,6.60%,9.00%
Earnings Yield,5.87%,5.82%,5.81%,1.35%,3.92%,2.25%,2.04%,2.58%,2.58%,12.32%,3.98%
FCF Yield,10.67%,9.17%,10.10%,5.89%,8.77%,5.89%,7.67%,7.33%,6.42%,4.33%,6.38%
Dividend Yield,3.21%,3.63%,3.48%,2.51%,2.58%,1.73%,1.89%,1.78%,1.85%,1.82%,1.72%
Payout Ratio,56.32%,62.30%,57.49%,172.60%,59.85%,67.81%,80.57%,59.15%,60.11%,11.76%,34.89%
Buyback Yield / Dilution,4.21%,3.28%,-0.79%,0.54%,0.57%,-0.61%,-0.71%,-0.90%,-4.57%,-4.81%,0.75%
Total Shareholder Return,7.42%,6.91%,2.69%,3.05%,3.16%,1.11%,1.18%,0.88%,-2.72%,-2.98%,2.46%
