Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Revenue,"5,188","5,168","5,770","4,485","3,494","3,386","3,110","2,869","2,815","2,291","1,824"
Revenue Growth (YoY),-7.58%,-10.42%,28.64%,28.37%,3.18%,8.89%,8.40%,1.90%,22.88%,25.59%,-1.49%
Cost of Revenue,"1,240","1,245","1,335","1,093",863.59,815.67,798.06,747.32,765.13,631,499.76
Gross Profit,"3,947","3,923","4,435","3,392","2,630","2,570","2,312","2,121","2,050","1,660","1,324"
"Selling, General & Admin","1,511","1,502","1,753","1,397",997.48,888.87,824.64,727.64,736.08,614.81,484.63
Research & Development,734.37,755.94,864.46,659.21,440.45,421.45,370.41,321.84,322.91,281.22,194.06
Amortization of Goodwill & Intangibles,505.69,510.67,676.33,549.59,415.71,435.34,425.28,373.21,369.99,281.4,187.44
Operating Expenses,"2,886","2,899","3,426","2,713","1,942","1,831","1,710","1,520","1,516","1,242",921.06
Operating Income,"1,061","1,024","1,009",678.11,688.37,739.52,601.9,601.03,534.2,418.32,403.41
Interest Expense,-342.41,-351.37,-535.93,-363.63,-151.57,-145.65,-149.2,-137.49,-132.38,-116.18,-73.8
Interest & Investment Income,45.22,49.56,49.14,53.49,4.64,3.86,11.77,8.01,1.67,3.12,-
Earnings From Equity Investments,2.19,0.23,-18.19,-23.08,58.7,62.9,8.7,13.67,5.97,5.95,-
Currency Exchange Gain (Loss),-26.66,-24.89,1.2,56.6,-2.67,-1.27,-4.18,-4.33,4.85,3.07,-1.9
Other Non Operating Income (Expenses),-35.02,-65.66,-13.72,-2.85,-7.17,-6.84,-5.49,-4.61,-4.8,-1.11,-2.09
EBT Excluding Unusual Items,704.69,632.14,491.89,398.64,590.3,652.52,463.49,476.29,409.5,313.17,325.62
Merger & Restructuring Charges,-111.67,-141.29,-81.85,-161.14,-28.76,-0.59,-95.42,-34.74,-22.45,-51.63,-32.25
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,0.84,-,-
Gain (Loss) on Sale of Assets,-4.18,-4.18,429.1,-,-,-,-,-,-,-,-
Asset Writedown,-,-,-,-,-,-,-0.7,-,-,-,-
Other Unusual Items,-7.23,-4.6,-109.85,-16.17,-45.53,-1.16,-22.17,-0.98,-1.77,-11.99,-2.59
Pretax Income,581.63,482.07,729.3,221.33,516.01,650.77,345.21,440.57,386.13,249.55,290.78
Income Tax Expense,83.32,46.01,264.01,70.77,118.75,339.91,110.84,154.94,143.83,-776.36,6.28
Earnings From Continuing Operations,498.3,436.07,465.28,150.57,397.26,310.86,234.37,285.64,242.3,"1,026",284.5
Minority Interest in Earnings,-0.19,-0.2,-0.19,-0.19,-0.17,-0.19,-0.14,-0.14,-0.08,-0.26,-0.02
Net Income,498.12,435.87,465.09,150.38,397.09,310.67,234.23,285.5,242.22,"1,026",284.48
Net Income to Common,498.12,435.87,465.09,150.38,397.09,310.67,234.23,285.5,242.22,"1,026",284.48
Net Income Growth,6.31%,-6.28%,209.28%,-62.13%,27.82%,32.64%,-17.96%,17.87%,-76.38%,260.54%,21.40%
Shares Outstanding (Basic),260,263,272,270,271,273,271,269,266,254,243
Shares Outstanding (Diluted),260,264,273,270,272,273,272,270,267,256,244
