Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Cash & Equivalents,"1,087","1,156","1,281","1,232","1,694","1,607","1,693",941.01,682.94,443.36,"1,284"
Short-Term Investments,4.67,2.46,4.14,2.62,6.3,3.03,7.46,-,-,-,11.84
Cash & Short-Term Investments,"1,092","1,159","1,285","1,234","1,700","1,610","1,700",941.01,682.94,443.36,"1,296"
Cash Growth,8.94%,-9.79%,4.10%,-27.40%,5.57%,-5.29%,80.69%,37.79%,54.04%,-65.78%,82.18%
Accounts Receivable,671.93,737.6,692.64,753.71,452.82,463.89,495.93,484.74,487.96,445.81,285.9
Other Receivables,75.71,108.79,61.11,68.16,18.26,32.31,61.19,38.34,55.62,32.68,31.75
Receivables,747.64,846.39,753.75,821.87,471.07,496.2,557.11,523.08,543.58,478.5,317.66
Prepaid Expenses,149.87,148.82,192.07,175.88,87.18,71.79,110.84,83.81,78.94,80.45,58.23
Other Current Assets,147.68,47.3,46.7,43.23,27.08,23.73,18.13,13.43,22.12,1.17,0.79
Total Current Assets,"2,137","2,201","2,277","2,275","2,285","2,202","2,386","1,561","1,328","1,003","1,672"
"Property, Plant & Equipment",557.47,440,449.64,504.82,370.59,401.86,387,178.15,186.52,149.78,120.09
Long-Term Investments,164.66,161.78,164.71,187.83,173.21,121.78,76,67,49.64,30.91,18.06
Goodwill,"7,442","7,517","7,488","8,663","5,245","4,692","4,672","3,770","3,580","3,417","2,326"
Other Intangible Assets,"1,853","2,110","2,624","4,219","1,147","1,254","1,678","1,218","1,374","1,550",709.81
Long-Term Accounts Receivable,50.9,49.29,38.68,64.55,19.72,19.22,15.43,15.39,-,-,-
Long-Term Deferred Tax Assets,"1,063","1,081",932.66,926.72,810.15,796.74,911.57,"1,004","1,123","1,216",241.16
Long-Term Deferred Charges,85.38,84.72,64.91,57.52,55.48,50.3,43.03,35.59,64.77,71.18,40.89
Other Long-Term Assets,122.71,128.96,165.28,191.23,72.34,72.18,65.06,84.35,59.35,42.58,26.27
Total Assets,"13,475","13,774","14,206","17,089","10,179","9,609","10,235","7,934","7,765","7,481","5,154"
Accounts Payable,128.15,136.2,151.2,162.72,113.98,57.5,41.47,46.32,41.72,43.7,35.8
Accrued Expenses,472.29,552.12,586.85,631.08,326.33,359.83,315.31,273.77,251.71,282.26,214.65
Current Portion of Long-Term Debt,35.85,35.85,35.85,320.85,10,10,610,10,10,182.76,8
Current Portion of Leases,73.77,77.79,79.62,96.71,56.38,58.32,64.07,-,-,-,-
Current Income Taxes Payable,46.61,93.33,235.67,89.3,51.07,17.37,44.63,33.16,38.23,31.84,32.03
Current Unearned Revenue,"1,403","1,515","1,521","1,722",902.2,852.63,812.22,641.66,644.21,570.33,373.55
Other Current Liabilities,302.87,336.39,189.9,197.18,8.3,6.26,16.54,9.81,8.72,16.16,7
Total Current Liabilities,"2,463","2,747","2,800","3,220","1,468","1,362","1,904","1,015",994.6,"1,127",671.03
Long-Term Debt,"6,339","6,342","6,357","8,562","4,210","3,579","3,584","2,605","2,611","2,387","2,138"
Long-Term Leases,182.08,190.41,220.5,277.08,198.7,224.45,217.17,-,-,-,-
Long-Term Unearned Revenue,158.88,168.76,162.4,217.77,91.14,98.99,94.38,46.97,69.2,61.68,37.46
