Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Market Capitalization,"6,396","7,530","7,397","5,489","6,450","3,949",Upgrade
Market Cap Growth,-22.75%,1.79%,34.76%,-14.89%,63.35%,58.12%,Upgrade
Enterprise Value,"11,138","11,107","10,617","8,327","14,718","12,533",Upgrade
Last Close Price,73.43,86.38,82.11,58.60,66.83,41.49,Upgrade
PE Ratio,17.07,22.41,45.38,1.49,17.39,-,Upgrade
Forward PE,11.89,17.98,25.39,36.65,75.32,-,Upgrade
PS Ratio,1.93,2.36,2.55,2.19,3.00,2.32,Upgrade
PB Ratio,8.43,11.84,9.67,4.73,-3.06,-1.56,Upgrade
P/FCF Ratio,16.45,22.28,21.26,-,12.55,11.82,Upgrade
P/OCF Ratio,9.45,11.91,12.54,-,9.42,8.38,Upgrade
PEG Ratio,-,-,-,-,1.16,1.16,Upgrade
EV/Sales Ratio,3.46,3.48,3.66,3.32,6.84,7.38,Upgrade
EV/EBITDA Ratio,9.74,10.63,11.01,10.83,24.78,57.75,Upgrade
EV/EBIT Ratio,13.44,14.58,16.49,19.87,53.13,-,Upgrade
EV/FCF Ratio,28.63,32.86,30.51,-,28.63,37.52,Upgrade
Debt / Equity Ratio,6.88,6.16,5.14,3.40,-4.15,-3.72,Upgrade
Debt / EBITDA Ratio,4.25,3.66,3.98,4.99,14.23,39.10,Upgrade
Debt / FCF Ratio,12.79,11.59,11.30,-,17.02,28.10,Upgrade
Asset Turnover,0.53,0.58,0.50,0.36,0.27,0.22,Upgrade
Inventory Turnover,4.91,5.56,5.16,5.70,5.61,3.36,Upgrade
Quick Ratio,1.44,1.12,1.37,2.24,1.05,1.64,Upgrade
Current Ratio,2.13,1.61,1.88,2.72,1.78,2.62,Upgrade
Return on Equity (ROE),50.47%,47.97%,18.69%,-,-,-,Upgrade
Return on Assets (ROA),8.56%,8.68%,6.96%,3.77%,2.18%,-1.07%,Upgrade
Return on Capital (ROIC),9.89%,10.30%,8.21%,4.46%,2.56%,-1.24%,Upgrade
Return on Capital Employed (ROCE),14.10%,16.30%,13.30%,7.80%,4.00%,-,Upgrade
Earnings Yield,6.23%,4.46%,2.20%,66.95%,5.75%,-14.41%,Upgrade
FCF Yield,6.08%,4.49%,4.71%,-10.88%,7.97%,8.46%,Upgrade
Buyback Yield / Dilution,6.23%,2.15%,2.10%,3.06%,-3.16%,-2.15%,Upgrade
