Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,655","4,098","3,300","2,871","3,096","3,594","4,317","2,938","3,345","1,594","1,318"
Market Cap Growth,1.43%,24.19%,14.92%,-7.27%,-13.86%,-16.75%,46.95%,-12.17%,109.92%,20.95%,-20.43%
Enterprise Value,"7,040","6,503","5,576","5,269","5,259","6,016","6,900","6,237","6,303","2,760","2,621"
Last Close Price,18.59,16.18,12.33,9.77,9.73,11.61,13.09,9.27,9.63,11.58,8.83
Price/FFO Ratio,12.42,11.90,9.71,7.63,8.46,6.95,6.26,4.66,4.82,4.61,4.16
Price/AFFO Ratio,-,11.32,9.27,6.83,7.21,6.67,6.29,4.39,4.22,4.73,4.13
PE Ratio,25.61,32.34,239.86,-,-,25.97,62.58,10.91,22.58,26.55,19.05
PS Ratio,5.92,5.83,5.12,5.40,7.98,5.98,6.46,4.68,8.19,6.12,5.52
PB Ratio,1.64,1.50,1.18,0.94,0.92,1.05,1.24,0.90,0.97,1.57,1.25
P/OCF Ratio,13.61,13.20,10.98,9.09,8.69,10.13,11.59,8.15,24.64,9.06,10.88
EV/Sales Ratio,9.42,9.26,8.65,9.90,13.55,10.01,10.33,9.92,15.44,10.59,10.97
EV/EBITDA Ratio,15.48,15.44,14.09,16.31,23.70,13.87,13.09,12.17,18.24,11.92,12.64
EV/EBIT Ratio,24.99,25.36,25.51,37.15,178.65,23.33,19.94,19.89,27.11,16.92,18.17
Debt / Equity Ratio,0.92,0.89,0.87,0.82,0.71,0.71,0.69,0.99,0.99,1.19,1.31
Debt / EBITDA Ratio,5.71,5.74,6.11,7.76,10.81,5.55,4.56,6.31,9.83,5.23,6.66
Asset Turnover,0.14,0.13,0.12,0.09,0.07,0.10,0.11,0.09,0.09,0.11,0.11
Quick Ratio,2.62,1.57,1.31,0.57,0.83,2.01,1.75,2.41,6.71,3.20,0.43
Current Ratio,2.99,2.00,1.71,0.71,1.09,2.44,2.25,3.08,7.90,3.76,6.91
Return on Equity (ROE),6.28%,4.57%,0.47%,-2.41%,-3.34%,4.01%,2.05%,8.34%,7.11%,6.78%,7.95%
Return on Assets (ROA),3.22%,3.00%,2.45%,1.51%,0.31%,2.67%,3.40%,2.86%,3.13%,4.31%,3.98%
Return on Capital (ROIC),3.31%,3.08%,2.53%,1.56%,0.32%,2.75%,3.49%,2.94%,3.21%,4.37%,4.04%
Earnings Yield,3.77%,3.09%,0.42%,-2.70%,-3.66%,3.85%,1.60%,9.50%,4.73%,4.41%,6.03%
Dividend Yield,6.43%,7.41%,9.73%,12.29%,12.33%,11.63%,13.75%,19.41%,17.96%,14.42%,18.13%
Payout Ratio,164.72%,221.09%,2016.92%,-,-,201.06%,486.17%,116.53%,114.97%,169.71%,138.39%
Buyback Yield / Dilution,-2.41%,-1.40%,-0.80%,-5.42%,-5.70%,-10.17%,-5.26%,-68.86%,-61.54%,-4.90%,-33.21%
Total Shareholder Return,4.06%,6.02%,8.93%,6.86%,6.63%,1.47%,8.49%,-49.45%,-43.58%,9.52%,-15.08%
