Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"1,477",700,939,90,973,172,32,-,-
Market Cap Growth,73.00%,-25.51%,939.80%,-90.72%,465.38%,435.37%,-,-,-
Enterprise Value,"1,464",654,918,152,951,196,52,-,-
Last Close Price,2.67,1.49,2.91,0.44,5.05,1.90,0.38,-,-
PE Ratio,-,-,-,-,43.96,-,11.09,-,-
PS Ratio,6.28,3.63,6.42,0.63,5.74,4.96,0.99,-,-
PB Ratio,2.42,1.15,3.19,0.35,2.30,11.14,1.14,-,-
P/TBV Ratio,2.43,1.16,3.23,0.35,2.41,11.42,1.17,-,-
P/FCF Ratio,-,-,-,-,-,62.82,-,-,-
P/OCF Ratio,-,-,-,-,-,23.82,5.34,-,-
EV/Sales Ratio,6.22,3.39,6.27,1.06,5.61,5.65,1.59,-,-
EV/EBITDA Ratio,28.85,19.09,44.20,5.54,10.48,41.04,7.33,-,-
EV/EBIT Ratio,-,-,-,-,14.01,-,35.41,-,-
EV/FCF Ratio,-,-,-,-,-,71.63,-,-,-
Debt / Equity Ratio,0.12,0.04,0.07,0.26,0.20,1.84,0.79,0.08,-
Debt / EBITDA Ratio,1.43,0.63,0.83,2.08,0.92,4.93,2.81,0.13,-
Debt / FCF Ratio,-,-,-,-,-,10.36,-,-,-
Asset Turnover,0.34,0.37,0.41,0.32,0.57,0.66,0.82,1.11,-
Inventory Turnover,58.00,238.98,259.66,232.24,162.82,209.41,190.75,-,-
Quick Ratio,0.77,1.89,1.25,0.71,1.28,0.26,1.46,0.39,1.39
Current Ratio,3.20,5.89,1.88,1.02,2.84,0.32,1.63,0.71,1.48
Return on Equity (ROE),-9.52%,-11.98%,-39.60%,-51.81%,10.10%,-74.83%,8.65%,-75.11%,-
Return on Assets (ROA),-6.62%,-12.38%,-11.05%,-5.79%,14.28%,-6.43%,2.30%,4.24%,-
Return on Capital (ROIC),-7.52%,-13.69%,-12.56%,-6.19%,15.40%,-7.14%,2.50%,5.13%,-
Return on Capital Employed (ROCE),-10.70%,-16.40%,-20.60%,-14.90%,15.40%,-23.10%,3.00%,9.60%,143.50%
Earnings Yield,-8.68%,-7.73%,-11.60%,-194.48%,2.27%,-9.47%,9.02%,-,-
FCF Yield,-17.86%,-68.67%,-19.11%,-351.44%,-24.32%,1.59%,-55.25%,-,-
Buyback Yield / Dilution,-40.32%,-58.13%,-26.21%,-22.66%,-99.48%,-19.50%,-24.85%,1.30%,-
