Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Cash & Equivalents,86.95,59.54,84.04,30.89,125.6,5.95,2.16,0.55,4.52
Cash & Short-Term Investments,86.95,59.54,84.04,30.89,125.6,5.95,2.16,0.55,4.52
Cash Growth,19.25%,-29.15%,172.08%,-75.41%,2011.91%,175.45%,291.12%,-87.78%,-
Accounts Receivable,3.27,1.26,0.71,0.7,1.04,1.1,1.11,0.91,-
Other Receivables,0.32,7.71,1.49,16.07,2.68,0.3,2.58,0.35,3.46
Receivables,3.6,8.97,2.21,16.77,3.72,1.4,3.69,1.26,3.46
Inventory,6.98,1.18,0.71,0.59,0.55,0.17,0.14,0.09,-
Prepaid Expenses,-,-,-,-,-,0.2,0.56,0.08,0.08
Other Current Assets,277.18,144.02,43.03,20.85,157.27,1.45,0.01,1.32,0.43
Total Current Assets,374.71,213.71,129.98,69.09,287.13,9.17,6.55,3.3,8.49
"Property, Plant & Equipment",380.9,371.55,200.33,235.79,146.25,41.19,44.01,20.86,21.34
Goodwill,-,-,-,-,16.96,-,-,-,-
Other Intangible Assets,2.74,4.04,3.7,0.03,1.68,0.38,0.68,1.01,4.72
Long-Term Deferred Tax Assets,-,-,-,-,3.9,-,-,-,-
Other Long-Term Assets,42.06,78.32,44.71,38.19,86.68,0.97,1.62,1.06,-
Total Assets,801.28,667.62,378.73,343.1,542.59,51.7,52.86,26.23,34.55
Accounts Payable,68.5,21.92,9.08,12.9,9.87,2.06,2.29,2.67,4.45
Accrued Expenses,-,-,-,-,-,-,-,0.03,-
Short-Term Debt,-,-,-,-,60,-,-,-,-
Current Portion of Long-Term Debt,0.61,0.15,4.02,43.05,10.26,17.17,0.87,1.03,-
Current Portion of Leases,3.47,2.09,2.86,3.65,4.35,3.63,0.75,-,-
Current Income Taxes Payable,-,-,1.11,-,12.09,0.32,-,0.76,1.28
Other Current Liabilities,44.48,12.12,52.09,7.81,4.61,5.31,0.1,0.18,-
Total Current Liabilities,117.05,36.27,69.15,67.41,101.18,28.48,4.01,4.66,5.74
Long-Term Debt,50.84,1.43,-,4.09,0.91,0.17,14.85,0.69,-
Long-Term Leases,18.77,19.75,12.99,14.22,9.23,7.4,5.72,-,-
Long-Term Deferred Tax Liabilities,0.07,0.07,-,-,8.45,-,-,-,0.7
Other Long-Term Liabilities,3.2,2.11,1.82,1.98,0.24,0.21,0.19,0.23,0.21
Total Liabilities,189.92,59.62,83.96,87.7,120.01,36.26,24.77,5.58,6.64
Common Stock,969.44,852.29,535.01,404.93,378.89,32,30.48,19.81,0.12
Additional Paid-In Capital,69.65,67.52,56.62,47.65,43.7,5.59,3.47,-,22.88
Retained Earnings,-459.11,-334.51,-299.81,-197.19,-0.02,-22.15,-5.86,-8.76,4.91
Comprehensive Income & Other,31.39,22.7,2.94,-,-,-,-,4.39,-
Total Common Equity,611.36,608,294.76,255.4,422.58,15.45,28.09,15.44,27.9
Minority Interest,-,-,-,-,-,-,-,5.21,-
Shareholders' Equity,611.36,608,294.76,255.4,422.58,15.45,28.09,20.65,27.9
Total Liabilities & Equity,801.28,667.62,378.73,343.1,542.59,51.7,52.86,26.23,34.55
Total Debt,73.68,23.42,19.87,65.01,84.74,28.37,22.19,1.72,-
Net Cash (Debt),13.27,36.13,64.17,-34.12,40.85,-22.42,-20.03,-1.17,4.52
Net Cash Growth,-72.90%,-43.70%,-,-,-,-,-,-,-
Net Cash Per Share,0.03,0.09,0.24,-0.16,0.24,-0.26,-0.28,-0.02,0.08
Filing Date Shares Outstanding,556.54,553.64,339.27,238.39,201.25,144.62,84.62,39.74,49.33
Total Common Shares Outstanding,556.54,479.33,334.15,224.2,194.81,88.94,83.62,39.74,49.33
Working Capital,257.66,177.44,60.83,1.68,185.95,-19.31,2.54,-1.36,2.75
Book Value Per Share,1.10,1.27,0.88,1.14,2.17,0.17,0.34,0.39,0.57
Tangible Book Value,608.62,603.96,291.06,255.37,403.95,15.07,27.41,14.43,23.18
Tangible Book Value Per Share,1.09,1.26,0.87,1.14,2.07,0.17,0.33,0.36,0.47
Land,-,34.43,5.74,4.39,4.55,3.26,2.72,2.03,-
Machinery,-,427.2,356.07,309.29,157.19,53.12,54.51,35.77,21.76
Leasehold Improvements,-,59.83,50.73,45.28,5.78,2.71,2.42,2.14,0.41
