Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,729.76,637.77,536.91,450.88,385.28,312.63,279.12,248.24,220.09,193.15,158.52
Revenue Growth (YoY),19.28%,18.78%,19.08%,17.03%,23.24%,12.00%,12.44%,12.79%,13.94%,21.85%,23.89%
Cost of Revenue,230.26,210.71,182.07,153.07,131.68,99.84,92.24,81.75,73.63,64.35,50.04
Gross Profit,499.5,427.05,354.84,297.81,253.6,212.79,186.89,166.49,146.46,128.81,108.48
"Selling, General & Admin",286.56,251.85,207.82,169.11,149.35,126.07,114.86,113.58,108.72,95.7,80.19
Research & Development,69.13,62.81,53.65,45.75,39.04,31.02,28.31,22.09,23.18,21.98,17.95
Amortization of Goodwill & Intangibles,35.45,23.51,16.12,11.77,10.13,5.54,5.32,4.09,4.57,4.74,3.31
Operating Expenses,391.14,338.17,277.59,226.63,198.51,162.64,148.48,139.76,136.48,122.42,101.45
Operating Income,108.36,88.88,77.25,71.18,55.09,50.16,38.41,26.73,9.98,6.39,7.02
Interest & Investment Income,5.82,10.58,7.66,1.67,0.28,1.21,2.95,2.33,1.03,0.6,0.2
Currency Exchange Gain (Loss),-,-,-,-,-1.46,1.54,-,-,-,-,-
Other Non Operating Income (Expenses),-0.11,-0.1,-1.07,-0.5,-0.37,-0.35,0.63,-0.99,-0.32,-0.37,-0.15
EBT Excluding Unusual Items,114.07,99.36,83.84,72.35,53.54,52.56,41.98,28.07,10.69,6.62,7.08
Gain (Loss) on Sale of Investments,-1.84,0.12,1.73,-1.03,-,0.21,0.53,0.36,-,-,-
Other Unusual Items,-,-,-,-,-,-0.09,-0.45,-0.09,-,1.1,-
Pretax Income,112.23,99.48,85.56,71.32,53.54,52.68,42.07,28.34,10.69,7.72,7.08
Income Tax Expense,27.17,22.42,19.74,16.19,8.94,7.09,8.36,4.47,10.34,2.76,2.44
Net Income,85.06,77.05,65.82,55.13,44.6,45.59,33.71,23.87,0.35,4.96,4.64
Net Income to Common,85.06,77.05,65.82,55.13,44.6,45.59,33.71,23.87,0.35,4.96,4.64
Net Income Growth,8.34%,17.06%,19.39%,23.63%,-2.17%,35.22%,41.22%,6701.14%,-92.93%,6.98%,71.56%
Shares Outstanding (Basic),38,37,37,36,36,35,35,34,34,34,33
Shares Outstanding (Diluted),38,38,37,37,37,36,36,35,35,34,34
Shares Change (YoY),0.84%,1.02%,1.41%,-0.02%,1.87%,0.79%,2.24%,1.44%,0.67%,1.23%,1.30%
EPS (Basic),2.25,2.07,1.80,1.53,1.24,1.29,0.96,0.69,0.01,0.15,0.14
EPS (Diluted),2.24,2.04,1.76,1.49,1.21,1.26,0.94,0.68,0.01,0.14,0.14
EPS Growth,7.73%,15.91%,18.12%,23.14%,-3.97%,34.04%,38.23%,6700.00%,-93.10%,7.41%,68.75%
Free Cash Flow,148.39,137.35,112.54,80.17,93.31,72.1,58.21,41.27,23.78,10.76,5.67
Free Cash Flow Per Share,3.90,3.63,3.00,2.17,2.52,1.99,1.62,1.17,0.69,0.31,0.17
Gross Margin,68.45%,66.96%,66.09%,66.05%,65.82%,68.07%,66.95%,67.07%,66.55%,66.69%,68.43%
Operating Margin,14.85%,13.94%,14.39%,15.79%,14.30%,16.04%,13.76%,10.77%,4.54%,3.31%,4.43%
Profit Margin,11.65%,12.08%,12.26%,12.23%,11.58%,14.58%,12.08%,9.62%,0.16%,2.57%,2.93%
Free Cash Flow Margin,20.34%,21.54%,20.96%,17.78%,24.22%,23.06%,20.85%,16.62%,10.80%,5.57%,3.58%
EBITDA,163.83,131.11,112,99.37,80,68.82,54.84,39.42,21.76,17.72,16.6
EBITDA Margin,22.45%,20.56%,20.86%,22.04%,20.76%,22.01%,19.65%,15.88%,9.89%,9.18%,10.47%
D&A For EBITDA,55.47,42.23,34.75,28.19,24.91,18.67,16.44,12.69,11.78,11.34,9.57
EBIT,108.36,88.88,77.25,71.18,55.09,50.16,38.41,26.73,9.98,6.39,7.02
EBIT Margin,14.85%,13.94%,14.39%,15.79%,14.30%,16.04%,13.76%,10.77%,4.54%,3.31%,4.43%
Effective Tax Rate,24.21%,22.54%,23.07%,22.70%,16.71%,13.47%,19.87%,15.77%,96.72%,35.70%,34.43%
