Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,918","6,912","7,113","4,629","5,120","3,834","1,931","1,455",837,"1,191","1,167"
Market Cap Growth,-54.04%,-2.83%,53.68%,-9.58%,33.52%,98.58%,32.68%,73.88%,-29.72%,2.02%,26.62%
Enterprise Value,"2,815","6,720","6,889","4,410","4,888","3,594","1,749","1,266",671,"1,053","1,032"
Last Close Price,79.89,183.99,193.84,128.43,142.35,108.59,55.42,41.19,24.30,34.95,35.10
PE Ratio,34.54,89.71,108.07,83.96,114.80,84.11,57.27,60.96,2384.42,239.95,251.62
Forward PE,17.74,49.10,64.15,54.83,74.79,71.07,42.54,42.21,49.67,62.24,79.26
PS Ratio,4.15,10.84,13.25,10.27,13.29,12.26,6.92,5.86,3.80,6.17,7.36
PB Ratio,3.14,8.09,10.66,8.62,10.57,9.11,5.44,4.56,2.91,4.78,5.25
P/TBV Ratio,15.42,25.21,22.88,18.41,18.15,17.08,7.60,6.44,3.81,6.63,6.74
P/FCF Ratio,19.81,50.32,63.21,57.74,54.87,53.18,33.17,35.27,35.20,110.71,205.79
P/OCF Ratio,16.94,43.92,53.77,46.26,45.35,43.29,26.89,26.45,26.95,63.46,80.90
PEG Ratio,-,2.46,2.57,2.19,2.99,3.55,2.13,1.88,2.31,2.77,3.52
EV/Sales Ratio,3.86,10.54,12.83,9.78,12.69,11.50,6.27,5.10,3.05,5.45,6.51
EV/EBITDA Ratio,17.18,51.25,61.51,44.38,61.10,52.22,31.89,32.11,30.81,59.43,62.18
EV/EBIT Ratio,25.98,75.60,89.18,61.95,88.74,71.65,45.54,47.35,67.19,164.94,146.92
EV/FCF Ratio,18.97,48.92,61.22,55.01,52.39,49.85,30.05,30.68,28.20,97.90,181.92
Debt / Equity Ratio,0.01,0.02,0.02,0.03,0.04,0.05,0.07,-,-,-,-
Debt / EBITDA Ratio,0.06,0.09,0.12,0.16,0.24,0.30,0.39,-,-,-,-
Debt / FCF Ratio,0.07,0.09,0.13,0.22,0.22,0.31,0.41,-,-,-,-
Asset Turnover,0.68,0.69,0.72,0.70,0.68,0.64,0.67,0.68,0.69,0.69,0.63
Quick Ratio,1.26,2.00,2.47,2.29,2.84,2.76,3.60,3.64,4.28,4.97,6.05
Current Ratio,1.97,2.60,3.07,2.92,3.43,3.39,4.29,4.42,5.11,5.78,6.88
Return on Equity (ROE),9.51%,10.12%,10.93%,10.80%,9.86%,11.76%,10.01%,7.86%,0.13%,2.10%,2.17%
Return on Assets (ROA),6.26%,5.99%,6.45%,6.90%,6.03%,6.44%,5.76%,4.60%,1.96%,1.43%,1.74%
Return on Capital (ROIC),7.48%,7.17%,7.81%,8.40%,7.26%,7.63%,6.88%,5.50%,2.32%,1.69%,2.05%
Return on Capital Employed (ROCE),10.90%,10.00%,11.10%,12.70%,10.70%,11.20%,10.10%,8.10%,3.40%,2.40%,3.00%
Earnings Yield,2.89%,1.11%,0.92%,1.19%,0.87%,1.19%,1.75%,1.64%,0.04%,0.42%,0.40%
FCF Yield,5.05%,1.99%,1.58%,1.73%,1.82%,1.88%,3.02%,2.84%,2.84%,0.90%,0.49%
Buyback Yield / Dilution,-0.84%,-1.02%,-1.41%,0.02%,-1.87%,-0.79%,-2.24%,-1.44%,-0.67%,-1.23%,-1.30%
