Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,133.73,241.02,219.08,162.89,207.55,149.69,179.25,133.86,123.13,115.88,121.54
Short-Term Investments,-,-,56.36,51.41,49.76,37.79,34.28,44.54,40.19,23.08,7.52
Cash & Short-Term Investments,133.73,241.02,275.44,214.31,257.31,187.48,213.54,178.4,163.32,138.95,129.06
Cash Growth,-35.01%,-12.50%,28.53%,-16.71%,37.25%,-12.20%,19.70%,9.23%,17.54%,7.67%,-1.33%
Receivables,67.44,52.04,46.84,39.44,34.56,33.58,31.53,27.49,24.9,20.75,17.62
Other Current Assets,114.46,88.86,79.16,69.07,60.57,50.3,46.55,43.73,36.12,26.23,20.12
Total Current Assets,315.62,381.91,401.44,322.81,352.44,271.36,291.62,249.62,224.33,185.93,166.79
"Property, Plant & Equipment",48.17,45.74,43.91,44.63,42.75,42.01,39.5,20.96,16.86,15.31,13.62
Long-Term Investments,-,-,-,-,-,2.5,-,-,5.21,7.49,14.95
Goodwill,543.04,399.18,249.18,197.28,143.66,134.85,76.85,69.66,51.61,49.78,33.85
Other Intangible Assets,225.26,181.29,107.34,88.35,58.59,61.41,23.83,23.2,16.53,19.79,15.08
Long-Term Deferred Tax Assets,0.46,0.51,0.51,0.23,0.18,0.19,2.63,10.46,13.7,12.45,11.15
Long-Term Deferred Charges,20.77,20.57,20.35,17.42,15.19,12.61,11.67,10.97,9.97,6.09,5.26
Other Long-Term Assets,5.36,2.03,1.13,2.19,3.03,1.52,1.35,1.27,1.54,1.53,1.04
Total Assets,"1,159","1,031",823.84,672.91,615.85,526.46,447.44,386.12,339.74,298.37,261.73
Accounts Payable,12.75,8.58,7.42,11.26,8.33,5.35,4.27,4.44,4.46,2.3,2.16
Accrued Expenses,64.11,59.27,49.6,37.69,40.01,34.03,28.51,24.97,19.94,17.25,13.14
Current Portion of Leases,5.62,4.58,4.46,4.28,4.11,2.8,3.78,-,-,-,-
Current Unearned Revenue,77.57,74.26,69.19,57.42,50.43,37.95,31.46,25.33,17.86,11.06,7.74
Other Current Liabilities,-,-,-,-,-,-,-,1.78,1.68,1.56,1.19
Total Current Liabilities,160.05,146.68,130.67,110.64,102.87,80.13,68.03,56.52,43.95,32.16,24.23
Long-Term Leases,4.02,7.89,9.57,13.01,16.43,19.67,20.09,-,-,-,-
Long-Term Unearned Revenue,5.15,6.19,6.93,4.77,5.14,3,2.85,2.51,2.73,10.85,11.01
Long-Term Deferred Tax Liabilities,30.22,15.54,8.97,7.42,7.15,2.94,1.19,1.38,1.89,1.91,-
Other Long-Term Liabilities,0.3,0.24,0.23,-,-,-,0.41,6.74,3.06,4.18,4.31
Total Liabilities,199.74,176.54,156.37,135.84,131.59,105.74,92.56,67.15,51.63,49.1,39.55
Common Stock,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02
Additional Paid-In Capital,708.32,627.98,537.06,476.12,433.26,393.46,354.12,332.57,301.86,286.32,265.27
Retained Earnings,403.6,336.1,259.05,193.22,138.09,93.49,48.97,15.26,-8.61,-33.74,-39.45
Treasury Stock,-152.1,-99.75,-128.89,-128.89,-85.68,-65.25,-46.3,-25.68,-5.82,-,-
Comprehensive Income & Other,-0.92,-9.68,0.22,-3.41,-1.45,-1.02,-1.95,-3.22,0.66,-3.33,-3.65
Shareholders' Equity,958.94,854.69,667.48,537.07,484.26,420.72,354.88,318.97,288.11,249.27,222.19
Total Liabilities & Equity,"1,159","1,031",823.84,672.91,615.85,526.46,447.44,386.12,339.74,298.37,261.73
Total Debt,9.64,12.47,14.03,17.29,20.53,22.47,23.87,-,-,-,-
Net Cash (Debt),124.08,228.55,261.41,197.02,236.78,165.01,189.67,178.4,163.32,138.95,144.01
Net Cash Growth,-35.58%,-12.57%,32.68%,-16.79%,43.49%,-13.00%,6.32%,9.23%,17.54%,-3.51%,10.10%
Net Cash Per Share,3.26,6.04,6.98,5.33,6.41,4.55,5.27,5.07,4.70,4.03,4.23
Filing Date Shares Outstanding,37.71,37.77,36.97,36.31,36.01,35.58,34.86,35.52,34.5,34.36,33.69
Total Common Shares Outstanding,37.73,37.66,36.82,36.16,36.01,35.49,34.86,34.69,34.25,34.16,33.45
Working Capital,155.57,235.22,270.77,212.17,249.57,191.22,223.59,193.09,180.39,153.77,142.55
Book Value Per Share,25.41,22.69,18.13,14.85,13.45,11.86,10.18,9.19,8.41,7.30,6.64
Tangible Book Value,190.64,274.22,310.96,251.44,282.01,224.46,254.2,226.12,219.97,179.7,173.26
Tangible Book Value Per Share,5.05,7.28,8.45,6.95,7.83,6.33,7.29,6.52,6.42,5.26,5.18
Machinery,32.79,36.69,45.37,41.29,40.3,39.27,63.24,52.77,42.77,36.36,33.52
Leasehold Improvements,15.07,15,15.39,16.53,16.69,12.75,11.09,9.37,8.04,7.84,5.53
