Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,944","4,518","4,681","4,681","6,299","7,581","8,513","5,279","4,439","3,782","3,825"
Market Cap Growth,-33.44%,-3.48%,0.00%,-25.69%,-16.92%,-10.94%,61.26%,18.91%,17.40%,-1.14%,32.46%
Enterprise Value,"3,373","4,612","4,861","4,942","5,954","7,462","8,227","5,038","4,122","3,660","3,765"
Last Close Price,70.72,102.84,101.49,94.38,119.17,144.92,157.56,102.38,84.27,72.43,72.43
PE Ratio,10.33,14.76,16.74,20.26,89.09,-,24.55,22.67,28.31,21.68,38.71
Forward PE,6.44,10.87,12.57,13.38,18.31,30.68,20.13,15.80,16.41,16.57,19.56
PS Ratio,0.72,1.13,1.27,1.39,2.10,3.05,3.10,2.08,1.97,1.93,2.16
PB Ratio,2.22,3.68,3.75,3.76,5.02,5.24,5.39,4.28,3.70,4.20,4.63
P/TBV Ratio,25.68,25.02,19.94,20.53,12.21,11.52,12.27,12.75,13.43,84.97,-
P/FCF Ratio,8.78,7.34,8.53,7.27,20.05,48.64,22.81,18.54,23.48,12.44,27.24
P/OCF Ratio,6.35,6.17,7.28,6.26,15.50,29.91,16.87,13.29,15.51,9.66,17.79
PEG Ratio,-,1.15,1.15,1.15,1.15,3.07,2.01,1.19,1.09,1.13,1.22
EV/Sales Ratio,0.81,1.16,1.32,1.47,1.99,3.01,2.99,1.99,1.83,1.87,2.13
EV/EBITDA Ratio,4.89,7.26,8.60,9.48,16.61,26.63,14.02,10.70,10.43,11.08,13.70
EV/EBIT Ratio,6.07,9.17,11.24,12.82,26.75,48.70,17.31,13.81,13.74,14.65,18.38
EV/FCF Ratio,10.10,7.49,8.86,7.68,18.95,47.87,22.04,17.69,21.81,12.03,26.81
Debt / Equity Ratio,1.92,1.70,1.61,1.42,1.26,1.11,0.94,0.52,0.38,0.67,0.51
Debt / EBITDA Ratio,2.68,2.46,2.58,2.47,3.00,3.70,1.94,1.36,1.17,1.83,1.54
Debt / FCF Ratio,7.36,3.39,3.67,2.74,5.06,10.29,3.97,2.25,2.44,1.99,3.02
Asset Turnover,0.67,0.68,0.65,0.66,0.62,0.52,0.69,0.79,0.77,0.80,0.84
Inventory Turnover,-,-,-,-,-,-,-,-,-,15.64,13.71
Quick Ratio,0.63,0.68,0.80,0.82,1.08,1.05,1.01,0.71,1.11,1.05,0.97
Current Ratio,1.16,1.25,1.54,1.58,1.79,1.81,1.79,1.52,1.34,1.34,1.25
Return on Equity (ROE),23.21%,24.71%,22.41%,18.46%,5.22%,-0.22%,24.66%,19.09%,14.95%,20.17%,12.64%
Return on Assets (ROA),5.53%,5.36%,4.79%,4.75%,2.88%,2.00%,7.45%,7.06%,6.41%,6.36%,6.05%
Return on Capital (ROIC),9.24%,9.56%,8.62%,8.23%,4.72%,3.14%,12.04%,12.91%,11.85%,11.34%,10.69%
Return on Capital Employed (ROCE),21.40%,19.30%,13.50%,12.60%,7.70%,5.00%,15.70%,18.80%,17.30%,16.30%,15.90%
Earnings Yield,10.33%,6.77%,5.97%,4.93%,1.12%,-0.04%,4.07%,4.41%,3.53%,4.61%,2.58%
FCF Yield,11.38%,13.63%,11.72%,13.76%,4.99%,2.06%,4.38%,5.39%,4.26%,8.04%,3.67%
Buyback Yield / Dilution,6.97%,6.82%,3.49%,0.12%,-1.65%,4.11%,-0.52%,0.89%,-2.07%,0.14%,-0.33%
