Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Market Capitalization,"3,729","7,397",651,558,"1,914"
Market Cap Growth,-35.25%,1036.87%,16.56%,-70.83%,-
Enterprise Value,"2,663","6,737",693,534,-
Last Close Price,14.17,34.10,17.50,15.00,51.43
PE Ratio,-,-,-,11.05,-
PS Ratio,1023.00,2044.08,157.50,379.61,-
PB Ratio,1.72,8.10,-9.75,-65.12,-32.39
P/TBV Ratio,1.78,9.64,-,-,-
EV/Sales Ratio,716.68,1861.55,167.79,363.22,-
Debt / Equity Ratio,0.42,0.02,-0.68,-0.54,-0.04
Asset Turnover,0.00,0.01,0.57,0.10,-
Quick Ratio,89.32,44.90,0.04,0.53,20.68
Current Ratio,132.60,45.33,0.05,0.55,21.16
Return on Equity (ROE),-8.28%,-94.67%,-,-,-
Return on Assets (ROA),-5.18%,-24.35%,-136.70%,-95.31%,-
Return on Capital (ROIC),-5.23%,-25.32%,-,-,-
Earnings Yield,-2.86%,-5.42%,-8.94%,9.05%,-3.37%
FCF Yield,-1.08%,-0.89%,-1.50%,-4.35%,-0.22%
Buyback Yield / Dilution,-104.00%,-93.86%,-,12.50%,-
