Period Ending,"Nov '25Nov 13, 2025","Sep '24Sep 29, 2024","Oct '23Oct 1, 2023","Oct '22Oct 2, 2022","Oct '21Oct 3, 2021","Sep '20Sep 27, 2020","Sep '19Sep 29, 2019","Sep '18Sep 30, 2018","Oct '17Oct 1, 2017","Oct '16Oct 2, 2016","Sep '15Sep 27, 2015"
Market Capitalization,"9,780","12,420","8,095","6,853","8,211","4,918","4,642","3,779","2,632","2,037","1,500"
Market Cap Growth,-24.67%,53.42%,18.12%,-16.54%,66.97%,5.95%,22.82%,43.56%,29.23%,35.77%,-7.32%
Enterprise Value,"10,608","13,264","9,071","7,121","8,476","5,332","4,877","4,003","2,820","2,251","1,563"
Last Close Price,37.41,46.08,30.03,25.22,29.63,17.70,16.35,13.04,8.82,6.66,4.62
PE Ratio,46.67,37.25,29.61,26.05,35.27,28.29,29.26,27.61,22.33,24.31,38.40
Forward PE,25.32,32.83,27.46,28.53,38.00,27.95,25.60,24.70,20.60,16.29,13.67
PS Ratio,2.16,2.87,2.16,2.42,3.22,2.09,1.94,1.72,1.29,1.06,0.87
PB Ratio,5.64,6.79,5.77,5.79,6.65,4.74,4.69,3.91,2.84,2.34,1.75
P/TBV Ratio,-,-,-,157.50,93.66,164.60,96.65,24.86,16.36,19.91,6.99
P/FCF Ratio,22.11,36.47,23.70,21.05,27.76,19.65,24.14,21.47,19.98,15.66,10.83
P/OCF Ratio,21.15,34.62,21.97,20.39,26.98,18.74,22.26,20.35,18.61,14.34,9.21
PEG Ratio,-,1.74,1.74,1.74,2.38,1.80,1.65,1.83,1.83,1.48,1.24
EV/Sales Ratio,2.31,3.07,2.42,2.51,3.32,2.27,2.04,1.82,1.39,1.17,0.91
EV/EBITDA Ratio,16.39,22.64,18.85,19.36,28.33,19.89,20.42,16.86,12.69,11.04,8.29
EV/EBIT Ratio,18.09,25.90,21.60,20.90,30.77,21.90,23.23,20.14,15.98,14.23,10.76
EV/FCF Ratio,23.99,38.95,26.56,21.87,28.65,21.31,25.36,22.74,21.40,17.31,11.28
Debt / Equity Ratio,0.62,0.56,0.78,0.39,0.37,0.55,0.29,0.29,0.38,0.40,0.23
Debt / EBITDA Ratio,1.43,1.48,1.90,1.02,1.16,1.61,1.20,1.17,1.61,1.71,1.04
Debt / FCF Ratio,2.42,2.98,3.19,1.42,1.54,2.27,1.50,1.58,2.71,2.68,1.41
Asset Turnover,1.09,1.08,1.16,1.09,1.03,1.04,1.16,1.14,1.10,1.15,1.03
Quick Ratio,1.10,1.18,1.05,1.14,1.12,1.16,1.32,1.61,1.85,1.85,1.74
Current Ratio,1.18,1.25,1.12,1.26,1.26,1.26,1.40,1.70,1.94,1.94,1.83
Return on Equity (ROE),12.69%,20.62%,21.14%,21.77%,20.50%,17.16%,16.23%,14.45%,13.12%,9.71%,4.20%
Return on Assets (ROA),8.69%,7.99%,8.15%,8.19%,6.95%,6.73%,6.39%,6.43%,5.95%,5.89%,5.45%
Return on Capital (ROIC),13.24%,11.99%,12.68%,12.77%,10.45%,10.56%,10.41%,9.82%,8.81%,8.71%,8.01%
Return on Capital Employed (ROCE),19.70%,17.20%,16.10%,20.00%,15.90%,15.40%,15.20%,14.80%,12.90%,12.00%,13.10%
Earnings Yield,2.21%,2.68%,3.38%,3.84%,2.83%,3.54%,3.42%,3.62%,4.48%,4.11%,2.60%
FCF Yield,4.52%,2.74%,4.22%,4.75%,3.60%,5.09%,4.14%,4.66%,5.00%,6.39%,9.23%
Dividend Yield,0.69%,0.48%,0.65%,0.68%,0.50%,0.72%,0.66%,0.68%,0.86%,1.02%,1.30%
Payout Ratio,30.69%,17.65%,19.06%,17.52%,17.20%,19.98%,18.70%,17.88%,18.39%,23.55%,46.68%
Buyback Yield / Dilution,0.10%,-0.69%,0.97%,0.94%,0.63%,1.63%,1.17%,2.27%,1.79%,4.17%,5.55%
Total Shareholder Return,0.79%,-0.21%,1.62%,1.62%,1.13%,2.36%,1.83%,2.95%,2.65%,5.19%,6.85%
