Period Ending,"Jun '25Jun 29, 2025","Sep '24Sep 29, 2024","Oct '23Oct 1, 2023","Oct '22Oct 2, 2022","Oct '21Oct 3, 2021","Sep '20Sep 27, 2020","Sep '19Sep 29, 2019","Sep '18Sep 30, 2018","Oct '17Oct 1, 2017","Oct '16Oct 2, 2016","Sep '15Sep 27, 2015"
Revenue,"4,599","4,322","3,751","2,836","2,552","2,349","2,390","2,201","2,034","1,929","1,719"
Revenue Growth (YoY),8.59%,15.22%,32.29%,11.11%,8.67%,-1.72%,8.58%,8.20%,5.43%,12.25%,-7.59%
Cost of Revenue,"3,666","3,455","3,026","2,260","2,054","1,902","1,981","1,816","1,680","1,599","1,403"
Gross Profit,932.47,866.44,725.03,575.56,498.4,446.54,408.18,384.46,353.64,330.21,315.79
"Selling, General & Admin",345.95,354.22,305.11,234.78,222.97,203.02,198.23,185.72,177.22,171.99,170.46
Operating Expenses,345.95,354.22,305.11,234.78,222.97,203.02,198.23,185.72,177.22,171.99,170.46
Operating Income,586.52,512.22,419.92,340.78,275.43,243.52,209.95,198.74,176.42,158.23,145.33
Interest Expense,-39.18,-44.56,-52.44,-13.36,-12.75,-14.48,-15.36,-17.35,-12.31,-12.39,-8.04
Interest & Investment Income,7.29,7.29,5.9,1.78,0.92,1.38,1.73,1.82,0.73,1,0.68
Currency Exchange Gain (Loss),-1.8,-1.8,89.4,19.9,-,-,-,0.5,-,-,-
EBT Excluding Unusual Items,552.83,473.15,462.79,349.1,263.6,230.42,196.33,183.71,164.84,146.84,137.97
Merger & Restructuring Charges,-7.14,-7.14,-33.17,-,-,-,-10.35,-,-,-19.55,-
Impairment of Goodwill,-92.42,-,-,-,-,-15.8,-7.76,-,-,-,-58.1
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-3.4,-,-,-
Asset Writedown,-,-,-16.39,-,-,-,-,-,-,-,-2.66
Other Unusual Items,0.29,-2.54,-12.26,-0.33,3.27,13.37,-3.09,-5.75,6.92,-2.82,3.11
Pretax Income,338.56,463.47,400.98,348.77,266.87,227.99,175.14,174.56,171.76,124.47,80.32
Income Tax Expense,122.31,130.02,127.53,85.6,34.04,54.1,16.38,37.61,53.84,40.61,41.09
Earnings From Continuing Operations,216.25,333.44,273.45,263.16,232.83,173.89,158.76,136.96,117.92,83.85,39.23
Minority Interest in Earnings,-0.12,-0.06,-0.03,-0.04,-0.02,-0.03,-0.09,-0.07,-0.04,-0.07,-0.15
Net Income,216.13,333.38,273.42,263.13,232.81,173.86,158.67,136.88,117.87,83.78,39.07
Net Income to Common,216.13,333.38,273.42,263.13,232.81,173.86,158.67,136.88,117.87,83.78,39.07
Net Income Growth,-25.70%,21.93%,3.91%,13.02%,33.91%,9.57%,15.92%,16.13%,40.69%,114.42%,-63.91%
Shares Outstanding (Basic),266,267,266,268,270,271,275,278,285,291,305
Shares Outstanding (Diluted),269,270,268,271,273,275,280,283,290,295,308
Shares Change (YoY),-0.10%,0.69%,-0.97%,-0.94%,-0.63%,-1.63%,-1.17%,-2.27%,-1.79%,-4.17%,-5.55%
EPS (Basic),0.81,1.25,1.03,0.98,0.86,0.64,0.58,0.49,0.41,0.29,0.13
EPS (Diluted),0.80,1.23,1.02,0.97,0.85,0.63,0.57,0.48,0.41,0.28,0.13
EPS Growth,-25.80%,20.59%,5.16%,13.85%,34.81%,11.27%,17.36%,18.63%,43.66%,121.88%,-61.45%
Free Cash Flow,442.23,340.57,341.56,325.61,295.8,250.23,192.32,176.01,131.75,130.08,138.55
Free Cash Flow Per Share,1.64,1.26,1.27,1.20,1.08,0.91,0.69,0.62,0.46,0.44,0.45
Dividend Per Share,0.239,0.220,0.196,0.172,0.148,0.128,0.108,0.088,0.076,0.068,0.060
Dividend Growth,11.68%,12.25%,13.95%,16.22%,15.63%,18.52%,22.73%,15.79%,11.77%,13.33%,114.29%
Gross Margin,20.28%,20.05%,19.33%,20.30%,19.53%,19.01%,17.08%,17.47%,17.39%,17.12%,18.37%
Operating Margin,12.75%,11.85%,11.20%,12.02%,10.79%,10.37%,8.79%,9.03%,8.67%,8.20%,8.46%
Profit Margin,4.70%,7.71%,7.29%,9.28%,9.12%,7.40%,6.64%,6.22%,5.79%,4.34%,2.27%
Free Cash Flow Margin,9.62%,7.88%,9.11%,11.48%,11.59%,10.66%,8.05%,8.00%,6.48%,6.74%,8.06%
EBITDA,647.11,585.89,481.13,367.81,299.23,268.13,238.8,237.37,222.18,203.81,188.64
EBITDA Margin,14.07%,13.56%,12.83%,12.97%,11.72%,11.42%,9.99%,10.79%,10.92%,10.56%,10.98%
D&A For EBITDA,60.6,73.68,61.21,27.03,23.81,24.61,28.84,38.64,45.76,45.59,43.31
EBIT,586.52,512.22,419.92,340.78,275.43,243.52,209.95,198.74,176.42,158.23,145.33
EBIT Margin,12.75%,11.85%,11.20%,12.02%,10.79%,10.37%,8.79%,9.03%,8.67%,8.20%,8.46%
Effective Tax Rate,36.13%,28.05%,31.80%,24.54%,12.75%,23.73%,9.35%,21.54%,31.35%,32.63%,51.16%
