Period Ending,"Jun '25Jun 29, 2025","Sep '24Sep 29, 2024","Oct '23Oct 1, 2023","Oct '22Oct 2, 2022","Oct '21Oct 3, 2021","Sep '20Sep 27, 2020","Sep '19Sep 29, 2019","Sep '18Sep 30, 2018","Oct '17Oct 1, 2017","Oct '16Oct 2, 2016","Sep '15Sep 27, 2015"
Cash & Equivalents,242.83,232.69,168.83,185.09,166.57,157.52,120.73,146.19,189.98,160.46,135.33
Trading Asset Securities,-,-,-,-,-,-,-,-,0.05,-,-
Cash & Short-Term Investments,242.83,232.69,168.83,185.09,166.57,157.52,120.73,146.19,190.02,160.46,135.33
Cash Growth,14.37%,37.82%,-8.79%,11.12%,5.75%,30.47%,-17.41%,-23.07%,18.43%,18.57%,10.58%
Accounts Receivable,"1,270","1,181","1,088",847.52,772.78,741.67,883.04,837.1,788.77,714.34,636.03
Other Receivables,-,21.97,9.62,10.21,14.26,19.51,13.82,11.09,13.31,14.37,10.29
Receivables,"1,270","1,203","1,098",857.72,787.04,761.18,896.86,848.19,802.08,728.71,646.32
Prepaid Expenses,106.59,91.59,89.1,115.4,112.34,81.09,56.63,53.3,47.22,46.26,42.13
Restricted Cash,-,-,-,-,-,-,0.17,2.7,2.7,-,-
Other Current Assets,-,-,-,-,-,-,5.4,-,-,-,-
Total Current Assets,"1,620","1,527","1,356","1,158","1,066",999.79,"1,080","1,050","1,042",935.43,823.78
"Property, Plant & Equipment",256.45,251.02,250.76,214.64,253.16,274.9,39.44,43.28,56.84,67.83,64.91
Long-Term Investments,-,-,-,2.4,3.28,7.33,6.87,4.61,2.7,2.06,1.89
Goodwill,"2,085","2,047","1,880","1,110","1,109",993.5,924.82,798.82,740.89,717.99,601.38
Other Intangible Assets,157.75,160.59,173.94,29.16,37.99,13.94,16.44,16.12,26.69,48.96,40.33
Long-Term Deferred Tax Assets,109.48,105.53,89,47.8,54.41,32.05,28.39,8.61,1.76,0.63,-
Other Long-Term Assets,125.1,101.6,70.51,60.15,53.2,57.05,51.66,37.6,31.85,27.88,26.96
Total Assets,"4,353","4,193","3,820","2,623","2,577","2,379","2,147","1,959","1,903","1,801","1,559"
Accounts Payable,234.59,197.44,173.27,147.44,128.77,111.8,206.61,160.22,177.64,158.77,150.28
Accrued Expenses,313.34,332.1,302.76,237.67,206.32,199.8,203.38,180.15,143.41,129.18,103.87
Current Portion of Long-Term Debt,-,-,-,12.5,12.5,64.78,23.51,12.6,15.59,17.08,14.42
Current Portion of Leases,64.11,63.42,65.01,57.87,67.45,69.65,-,-,-,-,-
Current Income Taxes Payable,-,-,-,-,-,-,-,8.27,-,-,-
Current Unearned Revenue,389.86,351.74,335.04,241.34,190.4,171.91,165.61,143.27,117.5,88.22,93.99
Other Current Liabilities,374.23,274.83,332.07,219.2,243.04,175.52,170.84,113.58,83.54,87.82,67.09
Total Current Liabilities,"1,376","1,220","1,208",916.02,848.48,793.46,769.95,618.09,537.67,481.09,450.44
Long-Term Debt,862.48,812.63,879.53,246.25,200,242.4,263.93,264.71,341.28,331.5,180.97
Long-Term Leases,145.05,140.1,144.69,146.29,174.29,191.96,-,-,-,-,-
Pension & Post-Retirement Benefits,-,-,-,-,41.1,35,29.5,30.2,25.2,20.8,19.3
Long-Term Deferred Tax Liabilities,30.67,30.16,14.26,15.16,10.56,16.32,12.97,30.17,43.78,60.35,34.76
Other Long-Term Liabilities,190.34,159.85,170.36,115.93,67.84,62.06,81.59,49.15,26.19,37.64,16.97
Total Liabilities,"2,611","2,362","2,417","1,440","1,342","1,341","1,158",992.32,974.12,931.38,702.44
Common Stock,2.63,2.68,2.66,0.53,0.54,0.54,0.55,0.55,0.56,0.57,0.59
Additional Paid-In Capital,-,35.9,-,-,-,-,78.13,148.8,193.84,260.34,326.59
Retained Earnings,"1,804","1,871","1,596","1,391","1,359","1,199","1,071",944.97,832.56,736.36,672.31
Comprehensive Income & Other,-65.12,-78.88,-195.3,-208.14,-125.03,-161.79,-160.58,-127.35,-98.5,-128.01,-143.17
Total Common Equity,"1,742","1,830","1,403","1,183","1,234","1,037",989.29,966.97,928.45,869.26,856.33
Minority Interest,0.16,0.09,0.07,0.05,0.05,0.05,0.18,0.13,0.17,0.14,0.47
Shareholders' Equity,"1,742","1,830","1,404","1,183","1,234","1,037",989.46,967.1,928.62,869.4,856.8
Total Liabilities & Equity,"4,353","4,193","3,820","2,623","2,577","2,379","2,147","1,959","1,903","1,801","1,559"
Total Debt,"1,072","1,016","1,089",462.9,454.24,568.78,287.44,277.31,356.87,348.58,195.39
Net Cash (Debt),-828.8,-783.46,-920.39,-277.81,-287.67,-411.26,-166.71,-131.13,-166.85,-188.12,-60.07
Net Cash Per Share,-3.08,-2.90,-3.43,-1.03,-1.05,-1.49,-0.60,-0.46,-0.58,-0.64,-0.20
Filing Date Shares Outstanding,262.77,267.74,266.24,264.91,269.43,268.89,272.94,276.78,278.61,285.3,295.14
Total Common Shares Outstanding,262.75,267.72,266.24,264.91,269.91,268.99,272.83,276.75,279.37,285.21,296.91
Working Capital,243.68,307.86,147.88,242.2,217.47,206.33,309.84,432.29,504.36,454.34,373.33
Book Value Per Share,6.63,6.84,5.27,4.47,4.57,3.86,3.63,3.49,3.32,3.05,2.88
Tangible Book Value,-500.68,-376.83,-650.75,43.51,87.67,29.88,48.03,152.03,160.88,102.31,214.61
Tangible Book Value Per Share,-1.91,-1.41,-2.44,0.16,0.32,0.11,0.18,0.55,0.58,0.36,0.72
Land,-,-,-,-,-,-,0.37,0.41,3.68,3.68,3.66
Machinery,145.21,139.07,132.74,96.71,94.78,90.94,114.65,131.52,150.03,180.75,176.88
Leasehold Improvements,47.33,44.88,44.73,32.43,36.46,34.57,34.88,31.43,27.69,30.26,21.58
Order Backlog,-,"5,400",-,-,-,-,-,-,-,-,-
