Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,447","2,836","1,384",858,"2,991","2,641","4,425","4,093","6,717","6,734","5,735"
Market Cap Growth,57.52%,105.02%,61.18%,-71.30%,13.25%,-40.32%,8.12%,-39.06%,-0.25%,17.41%,-21.42%
Enterprise Value,"6,925","5,747","4,027","9,740","12,295","11,371","14,222","9,496","15,549","14,367","11,551"
Last Close Price,48.56,40.10,19.70,12.25,42.75,37.75,60.00,50.47,76.67,72.61,61.37
PE Ratio,5.92,6.84,-,-,4.44,-,7.13,7.03,-,2.89,-
Forward PE,6.65,1.01,1.01,1.01,4.28,5.81,7.73,9.03,10.71,12.12,7.21
PS Ratio,0.80,0.71,0.37,0.23,0.78,0.76,0.55,0.45,0.71,0.76,0.60
PB Ratio,2.03,2.26,1.29,0.37,1.99,2.61,1.99,1.47,1.73,1.11,1.47
P/TBV Ratio,30.75,-,-,5.50,-,-,-,-,-,-,-
P/FCF Ratio,5.49,5.42,0.88,0.45,1.54,1.40,3.24,7.22,15.34,30.06,-
P/OCF Ratio,2.75,2.47,0.66,0.34,1.13,1.08,1.50,1.63,2.71,3.59,2.82
PEG Ratio,0.30,-,-,-,-,-,-,-,1.98,0.50,0.46
EV/Sales Ratio,1.64,1.44,1.09,2.59,3.19,3.27,1.77,1.05,1.64,1.62,1.20
EV/EBITDA Ratio,4.57,3.89,2.89,5.94,6.68,7.00,4.10,3.07,4.34,4.45,4.02
EV/EBIT Ratio,7.30,5.97,4.59,10.05,11.81,12.71,8.74,6.60,9.97,11.09,14.30
EV/FCF Ratio,11.04,10.99,2.55,5.07,6.34,6.01,10.41,16.75,35.50,64.14,-
Debt / Equity Ratio,3.12,3.73,4.81,3.71,7.07,9.96,4.66,2.83,2.99,1.84,2.51
Debt / EBITDA Ratio,3.08,2.88,3.35,5.22,5.79,6.21,2.98,2.54,3.24,3.44,3.40
Debt / FCF Ratio,8.20,8.98,3.26,4.45,5.49,5.33,7.57,13.86,26.55,49.63,-
Asset Turnover,0.52,0.49,0.29,0.23,0.25,0.23,0.53,0.54,0.47,0.32,0.26
Inventory Turnover,-,27.11,21.51,7.38,4.36,3.24,11.88,19.87,21.72,17.34,19.62
Quick Ratio,0.73,0.70,0.82,0.47,0.65,0.55,0.34,0.59,0.74,0.61,0.24
Current Ratio,0.95,0.79,0.88,1.12,1.14,0.65,0.43,0.71,0.85,0.69,0.98
Return on Equity (ROE),47.45%,41.84%,22.50%,38.46%,9.53%,5.82%,23.29%,-18.50%,-2.90%,-6.98%,-20.71%
Return on Assets (ROA),7.27%,7.41%,4.34%,3.68%,4.27%,3.65%,6.75%,5.36%,4.79%,2.94%,1.35%
Return on Capital (ROIC),9.56%,9.88%,6.42%,5.26%,5.60%,4.73%,8.77%,6.88%,5.96%,5.25%,2.25%
Return on Capital Employed (ROCE),16.40%,22.00%,18.90%,12.40%,9.30%,8.80%,15.80%,14.90%,10.50%,8.90%,6.30%
Earnings Yield,18.70%,14.63%,-182.72%,-18.87%,22.53%,-13.21%,14.03%,14.22%,-7.52%,34.57%,-11.42%
FCF Yield,18.20%,18.44%,114.20%,224.03%,64.83%,71.67%,30.87%,13.85%,6.52%,3.33%,-3.03%
Dividend Yield,-,-,-,-,-,-,11.67%,14.36%,9.13%,7.92%,1.43%
Payout Ratio,-,-,-,-,-,-,83.74%,87.28%,-,2.62%,-
Buyback Yield / Dilution,-10.89%,-3.13%,0.28%,1.18%,-1.19%,-0.69%,-,-,-,-0.06%,-
Total Shareholder Return,-10.89%,-3.13%,0.28%,1.18%,-1.19%,-0.69%,11.67%,14.36%,9.13%,7.86%,1.43%
