Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"4,093","3,871","3,595","3,628","3,725","3,377","7,935","8,953","9,349","8,737","9,503"
Other Revenue,133,133,103,127,125,105,116,133,125,148,103
Revenue,"4,226","4,004","3,698","3,755","3,850","3,482","8,051","9,086","9,474","8,885","9,606"
Revenue Growth (YoY),6.85%,8.28%,-1.52%,-2.47%,10.57%,-56.75%,-11.39%,-4.09%,6.63%,-7.51%,-28.77%
Cost of Revenue,497,515,441,476,484,454,"1,842","2,116","2,139","1,985","2,168"
Gross Profit,"3,729","3,489","3,257","3,279","3,366","3,028","6,209","6,970","7,335","6,900","7,438"
"Selling, General & Admin","1,945","1,731","1,572","1,503","1,476","1,382","2,583","3,480","3,529","3,424","4,336"
Amortization of Goodwill & Intangibles,219,199,208,221,194,177,333,495,537,497,517
Other Operating Expenses,55,67,73,29,50,21,153,217,219,244,227
Operating Expenses,"2,781","2,526","2,380","2,310","2,325","2,133","4,581","5,531","5,776","5,604","6,630"
Operating Income,948,963,877,969,"1,041",895,"1,628","1,439","1,559","1,296",808
Interest Expense,-515,-495,-531,-583,-591,-628,-876,-816,-935,-830,-829
Interest & Investment Income,51,49,60,32,13,19,52,67,95,69,52
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-22,-11,14
Currency Exchange Gain (Loss),-41,9,81,181,-7,16,-18,15,-70,157,-314
Other Non Operating Income (Expenses),-3,-6,-7,-20,19,49,-,-38,27,-82,-46
EBT Excluding Unusual Items,440,520,480,579,475,351,786,667,654,599,-315
Impairment of Goodwill,-,-,-,-,-,-,-54,-224,-51,-78,-95
Gain (Loss) on Sale of Investments,37,37,27,29,7,12,21,-,-110,-99,-
Gain (Loss) on Sale of Assets,408,150,46,87,9,-10,-43,-27,-26,-20,-39
Asset Writedown,-7,-3,6,107,-27,-62,-54,-634,-15,-114,-150
Other Unusual Items,-,-,-,-,-,82,388,-30,-124,-,4
Pretax Income,878,704,559,802,464,373,"1,044",-248,328,288,-595
Income Tax Expense,185,217,179,69,344,279,462,369,472,635,220
Earnings From Continuing Operations,693,487,380,733,120,94,582,-617,-144,-347,-815
Earnings From Discontinued Operations,-,-,"-2,830",-742,681,-410,101,979,-390,"2,767",262
Net Income to Company,693,487,"-2,450",-9,801,-316,683,362,-534,"2,420",-553
Minority Interest in Earnings,-49,-72,-78,-153,-127,-33,-62,220,29,-92,-102
Net Income,644,415,"-2,528",-162,674,-349,621,582,-505,"2,328",-655
Net Income to Common,644,415,"-2,528",-162,674,-349,621,582,-505,"2,328",-655
Net Income Growth,-,-,-,-,-,-,6.70%,-,-,-,-
Shares Outstanding (Basic),70,71,70,70,70,70,70,70,70,70,70
Shares Outstanding (Diluted),79,72,70,70,71,70,70,70,70,70,70
Shares Change (YoY),10.89%,3.13%,-0.28%,-1.18%,1.19%,0.69%,-,-,-,-,-
EPS (Basic),9.20,5.86,-35.99,-2.31,9.60,-4.98,8.88,8.32,-7.22,33.28,-9.37
EPS (Diluted),8.21,5.75,-36.04,-2.31,9.60,-5.00,8.88,8.24,-7.32,33.28,-9.37
EPS Growth,-,-,-,-,-,-,7.68%,-,-,-,-
Free Cash Flow,627,523,"1,580","1,923","1,939","1,893","1,366",567,438,224,-174
Free Cash Flow Per Share,7.97,7.22,22.49,27.30,27.20,26.87,19.52,8.11,6.26,3.20,-2.49
Dividend Per Share,-,-,-,-,-,-,7.000,7.250,7.000,5.750,0.875
Dividend Growth,-,-,-,-,-,-,-3.45%,3.57%,21.74%,557.14%,-
Gross Margin,88.24%,87.14%,88.08%,87.32%,87.43%,86.96%,77.12%,76.71%,77.42%,77.66%,77.43%
Operating Margin,22.43%,24.05%,23.72%,25.81%,27.04%,25.70%,20.22%,15.84%,16.46%,14.59%,8.41%
Profit Margin,15.24%,10.37%,-68.36%,-4.31%,17.51%,-10.02%,7.71%,6.40%,-5.33%,26.20%,-6.82%
Free Cash Flow Margin,14.84%,13.06%,42.73%,51.21%,50.36%,54.36%,16.97%,6.24%,4.62%,2.52%,-1.81%
EBITDA,"1,514","1,476","1,393","1,640","1,840","1,625","3,473","3,094","3,587","3,232","2,875"
EBITDA Margin,35.83%,36.86%,37.67%,43.68%,47.79%,46.67%,43.14%,34.05%,37.86%,36.38%,29.93%
D&A For EBITDA,566,513,516,671,799,730,"1,845","1,655","2,028","1,936","2,067"
EBIT,948,963,877,969,"1,041",895,"1,628","1,439","1,559","1,296",808
EBIT Margin,22.43%,24.05%,23.71%,25.80%,27.04%,25.70%,20.22%,15.84%,16.46%,14.59%,8.41%
Effective Tax Rate,21.07%,30.82%,32.02%,8.60%,74.14%,74.80%,44.25%,-,143.90%,220.49%,-
Revenue as Reported,"4,004","4,004","3,698","3,755","3,850","3,482","8,089","9,086","9,474","8,885","9,606"
