Period Ending,"May '25May 31, 2025","Mar '25Mar 31, 2025","May '24May 31, 2024","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023"
Cash & Equivalents,3.11,3.11,0.08,0.08,1.18
Cash & Short-Term Investments,3.11,3.11,0.08,0.08,1.18
Cash Growth,-,3960.48%,-,-93.52%,-
Accounts Receivable,1.4,1.4,0.25,0.25,0.32
Other Receivables,1.07,0,0.25,0.04,0.04
Receivables,2.46,1.4,0.51,0.29,0.36
Prepaid Expenses,-,0.35,-,0.03,0.04
Restricted Cash,0.4,0.4,-,-,-
Other Current Assets,-,0.71,-,0.18,-
Total Current Assets,5.97,5.97,0.58,0.58,1.58
"Property, Plant & Equipment",0.23,0.23,0.36,0.36,0
Other Long-Term Assets,0.05,0.05,0.04,0.04,-
Total Assets,6.24,6.24,0.97,0.97,1.59
Accounts Payable,0.2,0.2,0.79,0.79,0.19
Accrued Expenses,-,0.7,-,0.59,0.34
Short-Term Debt,-,-,1.93,1.93,2.33
Current Portion of Long-Term Debt,-,-,5.12,5.12,-
Current Portion of Leases,0.13,0.13,0.12,0.12,-
Current Income Taxes Payable,-,-,0.01,0.01,-
Current Unearned Revenue,0.51,0.51,0.32,0.32,0.34
Other Current Liabilities,0.74,0.05,5.98,5.39,0.01
Total Current Liabilities,1.57,1.57,14.27,14.27,3.2
Long-Term Debt,-,-,9.47,9.47,17.87
Long-Term Leases,0.11,0.11,0.24,0.24,-
Total Liabilities,1.69,1.69,23.98,23.98,21.07
Common Stock,0,0,0,0,0
Additional Paid-In Capital,25.69,25.69,-,-,-
Retained Earnings,-106.6,-106.6,-29.17,-29.17,-24.3
Comprehensive Income & Other,85.46,85.46,6.16,6.16,4.82
Shareholders' Equity,4.56,4.56,-23.01,-23.01,-19.48
Total Liabilities & Equity,6.24,6.24,0.97,0.97,1.59
Total Debt,0.24,0.24,16.89,16.89,20.2
Net Cash (Debt),2.87,2.87,-16.81,-16.81,-19.02
Net Cash Per Share,0.02,0.02,-0.22,-0.18,-0.25
Filing Date Shares Outstanding,126.22,183.95,76.35,76.27,75.98
Total Common Shares Outstanding,126.22,183.95,76.35,76.27,75.98
Working Capital,4.4,4.4,-13.69,-13.69,-1.62
Book Value Per Share,0.04,0.02,-0.30,-0.30,-0.26
Tangible Book Value,4.56,4.56,-23.01,-23.01,-19.48
Tangible Book Value Per Share,0.04,0.02,-0.30,-0.30,-0.26
Machinery,-,0.01,-,0.01,0.01
