Period Ending,"May '25May 31, 2025","Mar '25Mar 31, 2025","May '24May 31, 2024","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023"
Revenue,2.04,2.04,1.3,1.3,1.63
Revenue Growth (YoY),-,57.03%,-,-20.07%,-
Gross Profit,2.04,2.04,1.3,1.3,1.63
"Selling, General & Admin",10.34,9.5,9.36,8.81,8.01
Other Operating Expenses,-3.5,0.64,-3.75,0.37,-0.01
Operating Expenses,6.84,10.27,5.61,9.28,8
Operating Income,-4.8,-8.23,-4.31,-7.98,-6.38
Interest Expense,-0.41,-0.41,-0.55,-0.55,-0.22
Interest & Investment Income,-,0,-,0,0
Other Non Operating Income (Expenses),-,-0.72,-,-0.45,-0.89
EBT Excluding Unusual Items,-5.21,-9.35,-4.86,-8.98,-7.48
Gain (Loss) on Sale of Investments,-,4.12,-,4.1,-1.84
Other Unusual Items,-,0.02,-,0.02,0.07
Pretax Income,-5.21,-5.21,-4.86,-4.86,-9.26
Income Tax Expense,-,-,0.01,0.01,-
Net Income,-5.21,-5.21,-4.87,-4.87,-9.26
Net Income to Common,-5.21,-5.21,-4.87,-4.87,-9.26
Shares Outstanding (Basic),126,125,76,76,76
Shares Outstanding (Diluted),126,140,76,96,76
Shares Change (YoY),-9.98%,83.63%,-20.30%,26.09%,-
EPS (Basic),-0.04,-0.04,-0.06,-0.06,-0.12
EPS (Diluted),-0.04,-0.07,-0.06,-0.09,-0.12
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-235.36%,-403.10%,-331.64%,-613.75%,-392.31%
Profit Margin,-255.46%,-255.46%,-374.85%,-374.85%,-569.43%
EBITDA,-,-8.22,-4.31,-7.97,-6.38
D&A For EBITDA,-,0,0,0,0
EBIT,-4.8,-8.23,-4.31,-7.98,-6.38
EBIT Margin,-235.36%,-,-,-,-
