Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"15,966","15,073","14,457","11,935","8,720","5,367","8,527","7,907","7,130","5,550","4,493"
Revenue Growth (YoY),8.86%,4.26%,21.13%,36.87%,62.46%,-37.05%,7.84%,10.90%,28.46%,23.54%,20.46%
Cost of Revenue,"4,119","4,240","4,305","4,045","3,084","2,412","2,565","2,687","2,870","1,752","1,568"
Gross Profit,"11,847","10,833","10,152","7,890","5,636","2,955","5,962","5,220","4,260","3,798","2,924"
"Selling, General & Admin","1,097","1,012",899.34,845.27,720.1,599.22,692.77,735.76,722.99,760.33,656.04
Other Operating Expenses,989.26,980.73,544.13,428.68,318.63,199.07,-1.16,-,-0.04,-,-
Operating Expenses,"2,843","2,750","2,085","1,825","1,526","1,234","1,107","1,088","1,022","1,037",894.85
Operating Income,"9,004","8,083","8,067","6,064","4,110","1,721","4,855","4,132","3,238","2,761","2,030"
Interest Expense,"-1,528","-1,329","-1,269",-934.1,-516.68,-420.5,-376.01,-325.56,-352.82,-330.69,-334.76
Interest & Investment Income,187.43,245.07,297.91,171.31,129.48,111.89,171.24,194.09,127.29,199.6,80.74
Currency Exchange Gain (Loss),-10.61,69.88,-35.51,-8.87,112.62,79.52,-50.88,-15.49,-63.07,-29.18,-33.78
EBT Excluding Unusual Items,"7,653","7,069","7,060","5,293","3,836","1,492","4,600","3,985","2,949","2,601","1,742"
Gain (Loss) on Sale of Assets,0.06,-,-,-,-,-,-,0.21,1.34,22.25,0.14
Pretax Income,"7,653","7,069","7,060","5,293","3,836","1,492","4,600","3,986","2,951","2,623","1,749"
Income Tax Expense,"2,329","2,133","2,039","1,376",972.18,394.5,"1,372","1,121",813.07,746.78,512.11
Earnings From Continuing Operations,"5,323","4,936","5,020","3,917","2,864","1,098","3,227","2,864","2,137","1,877","1,237"
Minority Interest in Earnings,-11.49,-7.42,-8.58,-16.34,-6.37,-3.52,-7.64,-12.36,-9.87,-6.31,-2.87
Net Income,"5,312","4,929","5,012","3,901","2,857","1,094","3,220","2,852","2,128","1,870","1,234"
Net Income to Common,"5,312","4,929","5,012","3,901","2,857","1,094","3,220","2,852","2,128","1,870","1,234"
Net Income Growth,6.38%,-1.66%,28.48%,36.53%,161.09%,-66.01%,12.90%,34.04%,13.76%,51.58%,20.40%
Shares Outstanding (Basic),386,386,386,386,389,390,393,393,394,393,394
Shares Outstanding (Diluted),386,386,386,386,389,390,393,393,394,393,394
Shares Change (YoY),-,-,-,-0.63%,-0.43%,-0.62%,-0.18%,-0.05%,0.22%,-0.27%,-0.67%
EPS (Basic),13.75,12.76,12.98,10.10,7.35,2.80,8.20,7.25,5.40,4.76,3.13
EPS (Diluted),13.75,12.76,12.98,10.10,7.35,2.80,8.20,7.25,5.40,4.76,3.13
EPS Growth,6.38%,-1.66%,28.48%,37.40%,162.22%,-65.80%,13.11%,34.11%,13.51%,51.99%,21.22%
Free Cash Flow,"7,363","5,875","5,931","4,749","4,346","1,145","3,659","3,498","2,700","2,266","1,935"
Free Cash Flow Per Share,19.07,15.21,15.36,12.30,11.18,2.94,9.32,8.89,6.86,5.77,4.91
Dividend Per Share,-,-,10.890,5.896,5.896,5.127,-,4.063,4.063,4.000,3.500
Dividend Growth,-,-,84.71%,-,15.00%,-,-,-,1.58%,14.29%,-
Gross Margin,74.20%,71.87%,70.22%,66.11%,64.64%,55.06%,69.92%,66.02%,59.75%,68.43%,65.09%
Operating Margin,56.39%,53.63%,55.80%,50.81%,47.14%,32.07%,56.94%,52.26%,45.41%,49.75%,45.18%
Profit Margin,33.27%,32.70%,34.67%,32.69%,32.77%,20.39%,37.76%,36.07%,29.84%,33.70%,27.46%
Free Cash Flow Margin,46.12%,38.98%,41.02%,39.79%,49.83%,21.34%,42.91%,44.24%,37.86%,40.82%,43.08%
EBITDA,"9,811","8,799","8,667","6,572","4,556","2,157","5,271","4,484","3,537","3,038","2,268"
EBITDA Margin,61.45%,58.37%,59.95%,55.06%,52.25%,40.18%,61.81%,56.71%,49.61%,54.73%,50.49%
D&A For EBITDA,806.87,715.39,600.24,507.15,445.96,435.34,415.25,351.75,299.19,276.63,238.81
EBIT,"9,004","8,083","8,067","6,064","4,110","1,721","4,855","4,132","3,238","2,761","2,030"
EBIT Margin,56.39%,53.63%,55.80%,50.81%,47.14%,32.07%,56.94%,52.26%,45.41%,49.75%,45.18%
Effective Tax Rate,30.44%,30.17%,28.89%,25.99%,25.35%,26.43%,29.83%,28.14%,27.56%,28.47%,29.28%
Revenue as Reported,"15,073","15,073","14,457","11,935","8,720","5,367","8,527","7,907","7,130","5,550","4,493"
