Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,094","3,326","4,106","2,971","2,590","2,517","2,959","1,875","2,039","1,709","1,906"
Market Cap Growth,56.84%,-19.00%,38.21%,14.70%,2.91%,-14.92%,57.78%,-8.06%,19.37%,-10.36%,4.91%
Enterprise Value,"5,602","3,740","4,628","3,346","2,625","2,611","3,056","2,000","2,173","1,816","2,047"
Last Close Price,105.39,67.20,78.41,54.80,42.71,39.74,46.10,28.38,29.85,24.02,25.89
PE Ratio,17.59,14.06,13.85,14.86,18.59,45.77,17.33,12.92,18.82,18.82,26.62
PS Ratio,5.85,4.60,4.80,4.86,6.09,9.33,6.54,4.66,5.62,6.34,7.31
PB Ratio,9.14,6.57,7.06,6.77,4.72,4.63,5.64,4.33,5.54,5.26,5.52
P/TBV Ratio,-,-,-,-,-,119.06,124.56,-,-,857.72,-
P/FCF Ratio,12.67,11.80,11.71,12.20,12.22,43.73,15.25,10.53,14.83,15.53,16.97
P/OCF Ratio,12.38,11.18,10.96,11.63,11.94,38.42,15.02,9.93,13.70,14.75,15.87
EV/Sales Ratio,6.44,5.17,5.41,5.47,6.17,9.68,6.76,4.97,5.98,6.74,7.85
EV/EBITDA Ratio,10.47,8.86,9.03,9.93,11.81,24.09,10.94,8.76,12.06,12.31,15.54
EV/EBIT Ratio,11.41,9.64,9.70,10.76,13.09,30.18,11.87,9.51,13.18,13.55,17.37
EV/FCF Ratio,13.94,13.27,13.19,13.74,12.38,45.36,15.75,11.23,15.81,16.51,18.22
Debt / Equity Ratio,1.33,1.12,1.13,1.23,0.72,0.45,0.49,0.55,0.65,0.70,0.79
Debt / EBITDA Ratio,1.38,1.34,1.28,1.59,1.75,2.24,0.92,1.04,1.32,1.55,2.08
Debt / FCF Ratio,1.84,2.01,1.88,2.22,1.85,4.21,1.32,1.34,1.74,2.07,2.44
Asset Turnover,0.54,0.57,0.60,0.52,0.43,0.30,0.52,0.53,0.51,0.43,0.36
Quick Ratio,1.02,1.20,1.72,0.92,1.50,1.03,3.63,3.09,2.85,3.45,3.25
Current Ratio,1.14,1.31,1.98,1.06,1.59,1.12,3.90,3.23,3.17,3.70,3.32
Return on Equity (ROE),54.33%,48.44%,54.59%,39.58%,25.96%,10.60%,35.08%,36.39%,30.72%,29.70%,20.50%
Return on Assets (ROA),19.09%,19.26%,20.87%,16.49%,12.51%,6.07%,18.46%,17.34%,14.59%,13.25%,10.18%
Return on Capital (ROIC),25.56%,23.32%,25.17%,19.76%,14.71%,7.08%,21.74%,20.58%,17.37%,15.66%,11.80%
Return on Capital Employed (ROCE),35.90%,33.70%,35.40%,34.00%,22.90%,12.30%,30.30%,28.80%,24.70%,22.20%,17.60%
Earnings Yield,5.69%,7.11%,7.22%,6.73%,5.38%,2.19%,5.77%,7.74%,5.31%,5.31%,3.76%
FCF Yield,7.89%,8.48%,8.54%,8.19%,8.18%,2.29%,6.56%,9.49%,6.74%,6.44%,5.89%
Dividend Yield,3.77%,-,0.82%,0.55%,0.67%,0.65%,-,0.73%,0.69%,0.81%,0.78%
Payout Ratio,530.96%,85.36%,74.07%,169.25%,69.29%,-,49.65%,56.06%,74.03%,73.34%,-
Buyback Yield / Dilution,-,-,-,0.63%,0.43%,0.62%,0.18%,0.05%,-0.22%,0.27%,0.67%
Total Shareholder Return,3.77%,-,0.82%,1.19%,1.10%,1.26%,0.18%,0.78%,0.47%,1.07%,1.46%
