Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"4,445","1,656","2,576","3,336","5,987","2,959","3,430","2,959","2,333","3,006","2,605"
Short-Term Investments,-,-,-,-,-,-,-,19.66,49.34,-,60.45
Cash & Short-Term Investments,"4,445","1,656","2,576","3,336","5,987","2,959","3,430","2,979","2,382","3,006","2,666"
Cash Growth,85.41%,-35.71%,-22.78%,-44.27%,102.35%,-13.73%,15.15%,25.03%,-20.74%,12.76%,-5.08%
Accounts Receivable,"2,012","1,846","1,298","1,266","1,086",833.64,757.76,696.57,630.76,714.13,390.79
Other Receivables,341.03,415.49,385.35,259.12,275.6,542.37,295.77,112.67,130.21,104.11,92.53
Receivables,"2,353","2,261","1,684","1,525","1,361","1,376","1,054",809.23,760.96,818.24,483.32
Prepaid Expenses,-,84.28,41.26,42.65,35.38,60.41,36.85,7.07,33.06,23.06,23.51
Other Current Assets,806.77,290.44,606.67,689.18,392.62,335.61,290.66,164.71,322.26,251.36,44.31
Total Current Assets,"7,605","4,293","4,908","5,593","7,776","4,731","4,811","3,960","3,499","4,098","3,217"
"Property, Plant & Equipment","3,119","3,239","3,002","2,731","2,921","2,879","2,858","2,670","2,601","2,444","2,371"
Other Intangible Assets,"19,915","18,716","16,421","13,940","11,681","10,230","9,267","8,567","7,648","6,514","6,349"
Long-Term Deferred Tax Assets,"1,089",924.89,867.42,756.91,464.4,317.76,297,316.94,348.03,380.1,463.26
Other Long-Term Assets,35.8,60.99,38.82,48.13,46.2,34.62,44.05,77.06,104.33,109.04,110.72
Total Assets,"31,775","27,233","25,238","23,070","22,889","18,192","17,277","15,590","14,201","13,545","12,510"
Accounts Payable,"1,227",669.61,491.5,359.94,123.33,107.51,140.81,155.9,200.6,353.27,232.69
Accrued Expenses,-,"1,767","1,657","1,970","1,722",818.46,754.7,440.02,673.89,659.05,601.96
Short-Term Debt,"1,640",749.7,247.7,"1,350","2,810",117.85,75.95,61.25,14.7,-,-
Current Portion of Long-Term Debt,-,-,-,"1,500",-,"3,014",36.85,41.43,50.85,56.12,55.43
Current Portion of Leases,28.99,19.02,44.93,33.45,29.33,26.55,72.32,12.95,6.59,-,-
Current Income Taxes Payable,575.23,-,-,-,-,-,-,308.35,-,-,-
Current Unearned Revenue,-,61.58,32.89,46.38,58.51,91.84,43.1,39.88,42.32,39.89,-
Other Current Liabilities,"3,211",-,-,-,158.75,49.86,111.57,164.95,115.32,-,78.7
Total Current Liabilities,"6,682","3,267","2,474","5,259","4,902","4,226","1,235","1,225","1,104","1,108",968.78
Long-Term Debt,"11,786","10,902","10,677","7,484","4,997","1,497","4,507","4,543","4,582","4,638","4,658"
Long-Term Leases,124.98,159.97,153.92,174.76,195.4,168.21,148.54,15.86,30.86,-,-
Pension & Post-Retirement Benefits,165.32,165.28,143.06,121.48,129.2,115.69,106.16,79.91,127.48,111.92,106.41
Long-Term Deferred Tax Liabilities,47.64,48.57,57.72,56.67,36.19,133.83,202.72,184.15,197.08,218.79,201.05
Other Long-Term Liabilities,"2,747","2,145","1,894","1,419","1,391","1,225","1,190","1,031",929.37,781.56,625.22
Total Liabilities,"21,554","16,689","15,399","14,515","11,651","7,365","7,389","7,079","6,971","6,858","6,560"
Common Stock,297.78,300.82,300.82,300.82,300.82,300.82,303.64,303.64,303.64,308.45,308.45
Additional Paid-In Capital,29.79,29.79,29.79,29.79,29.79,29.79,29.79,29.79,29.79,29.79,29.79
Retained Earnings,"9,720","10,050","9,328","8,029","10,730","10,325","9,379","8,001","6,748","6,229","5,547"
Treasury Stock,-,-3.04,-3.04,-3.04,-3.04,-,-1.91,-0.25,-0.25,-4.8,-6.05
Comprehensive Income & Other,7.02,7.02,14.46,12.95,-1.94,-4.93,4.19,13.18,-10.99,-8.05,-10.53
Total Common Equity,"10,055","10,385","9,670","8,369","11,056","10,650","9,715","8,347","7,070","6,555","5,869"
Minority Interest,165.86,159.46,168.04,185.41,182.27,175.91,172.39,164.75,159.45,132.43,81.37
Shareholders' Equity,"10,221","10,544","9,839","8,555","11,238","10,826","9,887","8,512","7,229","6,687","5,951"
Total Liabilities & Equity,"31,775","27,233","25,238","23,070","22,889","18,192","17,277","15,590","14,201","13,545","12,510"
Total Debt,"13,580","11,831","11,123","10,542","8,032","4,823","4,840","4,675","4,685","4,694","4,714"
Net Cash (Debt),"-9,135","-10,175","-8,547","-7,206","-2,045","-1,864","-1,411","-1,696","-2,303","-1,688","-2,048"
Net Cash Per Share,-23.65,-26.35,-22.13,-18.66,-5.26,-4.78,-3.59,-4.31,-5.85,-4.30,-5.20
Filing Date Shares Outstanding,386.17,386.17,386.17,386.17,386.17,390.11,390.11,393.45,393.45,393.77,392.16
Total Common Shares Outstanding,386.17,386.17,386.17,386.17,386.17,390.11,391.3,393.45,393.45,393.77,392.16
Working Capital,923.06,"1,025","2,434",334.46,"2,874",505.26,"3,576","2,735","2,394","2,990","2,248"
Book Value Per Share,26.04,26.89,25.04,21.67,28.63,27.30,24.83,21.22,17.97,16.65,14.97
Tangible Book Value,"-9,871","-8,331","-6,751","-5,571",-624.72,420.69,448,-219.48,-578.55,41.03,-479.45
Tangible Book Value Per Share,-25.56,-21.57,-17.48,-14.43,-1.62,1.08,1.14,-0.56,-1.47,0.10,-1.22
Land,-,"1,426","1,426","1,426","1,710","1,710","1,710","1,710","1,710","1,707","1,716"
Machinery,-,536.4,522.57,506.42,461.62,464.8,455.31,490.53,483.21,440.52,428.93
Construction In Progress,-,-,-,-,-,-,-,5.41,-,-,-
Leasehold Improvements,-,"2,272","1,901","1,514","1,335","1,221","1,088",999.8,847.82,664.23,526.39
