Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,091","1,033",960.9,911.31,896.56,844.1,778.64,845.5,974.13,873.34,778.2
Revenue Growth (YoY),7.05%,7.50%,5.44%,1.64%,6.22%,8.41%,-7.91%,-13.21%,11.54%,12.23%,12.61%
Cost of Revenue,512.29,488.57,457.19,423.81,381.26,350.55,314.11,421.59,554.57,508.33,442.22
Gross Profit,578.24,544.43,503.71,487.5,515.31,493.55,464.53,423.91,419.57,365.01,335.98
"Selling, General & Admin",272.65,258.72,246.04,241.58,224.7,207.69,187.21,147.39,136.25,126.67,125.62
Amortization of Goodwill & Intangibles,8.42,8.42,8.42,8.42,8.42,8.42,8.22,-,-,-,-
Operating Expenses,281.07,267.14,254.45,250,233.12,216.11,195.44,147.39,136.25,126.67,125.62
Operating Income,297.17,277.3,249.26,237.5,282.19,277.44,269.1,276.52,283.32,238.34,210.36
Interest Expense,-0,-0,-0.03,-0,-3.6,-4.4,-11.31,-1.54,-2.17,-1.33,-1.25
Interest & Investment Income,14.17,15.92,10.45,2.62,52.7,60.11,63.68,30.76,2.94,2.75,0.79
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-8.76,-0.56,-1.14,-0.9
EBT Excluding Unusual Items,311.34,293.21,259.68,240.12,331.29,333.14,321.47,296.98,283.53,238.62,209.01
Merger & Restructuring Charges,-,-,-,-,-,-,-3.97,-0.81,-,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.37,-,-2.5,-
Asset Writedown,-1.9,-1.9,-,-,-,-,-,-3.04,-,-,-
Other Unusual Items,-2.41,-,-,-,-,-,-,-5.77,-,-,-
Pretax Income,272.03,291.32,259.68,240.12,331.29,333.14,317.5,287,283.53,236.12,209.01
Income Tax Expense,60.71,65.08,54.69,55.44,70.95,75.94,58.33,57.99,80.21,87.61,77.6
Net Income,211.32,226.23,204.99,184.68,260.34,257.2,259.18,229.01,203.32,148.51,131.41
Net Income to Common,211.32,226.23,204.99,184.68,260.34,257.2,259.18,229.01,203.32,148.51,131.41
Net Income Growth,-6.11%,10.37%,11.00%,-29.07%,1.22%,-0.76%,13.17%,12.64%,36.90%,13.01%,17.89%
Shares Outstanding (Basic),28,29,30,32,44,47,48,48,47,46,46
Shares Outstanding (Diluted),28,29,30,32,44,47,48,48,48,47,47
Shares Change (YoY),-3.91%,-2.91%,-6.48%,-26.66%,-6.80%,-2.28%,-0.31%,0.37%,2.36%,-0.34%,0.58%
EPS (Basic),7.50,7.77,6.83,5.75,5.94,5.49,5.42,4.81,4.31,3.22,2.86
EPS (Diluted),7.46,7.73,6.80,5.73,5.92,5.45,5.37,4.73,4.22,3.15,2.78
EPS Growth,-2.31%,13.68%,18.67%,-3.21%,8.62%,1.49%,13.53%,12.08%,33.97%,13.31%,17.30%
Free Cash Flow,241.85,252.71,199.13,185.59,94.24,204.41,114.13,74.23,180.94,-1.26,-33.22
Free Cash Flow Per Share,8.53,8.63,6.61,5.76,2.14,4.33,2.37,1.53,3.75,-0.03,-0.70
Gross Margin,53.02%,52.70%,52.42%,53.50%,57.48%,58.47%,59.66%,50.14%,43.07%,41.80%,43.17%
Operating Margin,27.25%,26.84%,25.94%,26.06%,31.47%,32.87%,34.56%,32.70%,29.08%,27.29%,27.03%
Profit Margin,19.38%,21.90%,21.33%,20.27%,29.04%,30.47%,33.28%,27.09%,20.87%,17.00%,16.89%
Free Cash Flow Margin,22.18%,24.46%,20.72%,20.36%,10.51%,24.22%,14.66%,8.78%,18.57%,-0.14%,-4.27%
EBITDA,336.34,313.85,281.23,268.68,312.6,307.09,296.02,312.19,337.54,284.02,246.04
EBITDA Margin,30.84%,30.38%,29.27%,29.48%,34.87%,36.38%,38.02%,36.92%,34.65%,32.52%,31.62%
D&A For EBITDA,39.17,36.55,31.97,31.18,30.41,29.65,26.92,35.67,54.23,45.68,35.68
EBIT,297.17,277.3,249.26,237.5,282.19,277.44,269.1,276.52,283.32,238.34,210.36
EBIT Margin,27.25%,26.84%,25.94%,26.06%,31.47%,32.87%,34.56%,32.70%,29.08%,27.29%,27.03%
Effective Tax Rate,22.32%,22.34%,21.06%,23.09%,21.41%,22.80%,18.37%,20.21%,28.29%,37.10%,37.13%
Revenue as Reported,-,-,-,-,-,-,-,845.5,974.13,873.34,-
Advertising Expenses,-,-,-,-,-,-,-,-,-,-,76.23
