Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,97.28,324.62,146.48,120.41,600.94,245.77,122.27,120.35,153.47,45.98,23.04
Short-Term Investments,179.69,-,98.03,61.3,-,-,-,-,89.27,62.6,83.36
Trading Asset Securities,-,-,-,-,-,10.84,21.6,69,-,-,-
Cash & Short-Term Investments,276.98,324.62,244.51,181.7,600.94,256.61,143.87,189.35,242.75,108.57,106.4
Cash Growth,5.08%,32.77%,34.56%,-69.76%,134.19%,78.36%,-24.02%,-22.00%,123.58%,2.04%,-35.91%
Accounts Receivable,122.04,82.95,78.81,77.41,70.06,62.19,48.94,46.83,10.91,9.54,8.3
Other Receivables,22.68,0.49,1.32,2.79,1.28,6.31,7.2,4.66,2.09,4.69,3.95
Receivables,144.72,83.44,80.13,80.2,71.34,68.49,56.14,51.49,12.99,14.22,12.25
Restricted Cash,-,-,-,-,-,-,0.3,61.67,94.53,84.93,19.78
Other Current Assets,12.3,11.92,12.89,11.37,8.77,8.64,8.04,6.96,24.59,22.34,76.47
Total Current Assets,433.99,419.98,337.52,273.27,681.05,333.74,208.34,309.47,374.86,230.07,214.9
"Property, Plant & Equipment",279.88,276.36,262.15,220.22,193.77,189.68,147.5,111.04,922.28,855.53,667.48
Long-Term Investments,-,-,-,-,-,-,-,-,0.51,0.49,0.73
Goodwill,160.77,160.77,160.77,160.77,160.77,160.77,160.77,2.94,2.94,2.94,2.94
Other Intangible Assets,153.65,159.96,168.38,176.8,185.22,193.64,202.06,-,-,-,-
Long-Term Deferred Charges,0.47,0.66,0.75,0.91,1.17,1.2,1.08,-,-,-,-
Other Long-Term Assets,4.03,0.7,0.9,0.78,0.78,0.65,0.63,0.48,2.98,3.47,5.93
Total Assets,"1,033","1,018",930.46,832.75,"1,223","1,845","1,690","1,324","1,304","1,092",891.98
Accounts Payable,19.28,26.72,17.68,20.01,24.31,16.58,14.84,14.27,29.14,24.82,34.15
Accrued Expenses,99.31,48.18,44.45,43.02,46.2,44.88,30.8,22.37,41.92,39,30.04
Current Portion of Long-Term Debt,-,-,-,-,-,33.14,33.14,36.47,6.69,31.64,6.63
Current Portion of Leases,14.2,12.88,11.02,8.65,7.43,7.39,3.08,-,-,-,0.7
Current Income Taxes Payable,0.14,8.56,10.25,12.17,5.9,5.41,6.58,5.44,16.18,2.73,0.03
Current Unearned Revenue,3.8,-,-,-,0.01,-,0.02,-,142.19,126.62,114.62
Other Current Liabilities,-,14.63,13.63,15.86,14.11,11.32,6.77,1.96,2.01,1.98,2.38
