Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,707.89,634.44,632.36,801.54,670.53,366.26,270.25,194.03,141.24,104.54,83.54
Revenue Growth (YoY),11.74%,0.33%,-21.11%,19.54%,83.08%,35.53%,39.28%,37.38%,35.10%,25.14%,31.45%
Cost of Revenue,342.7,315.77,323.54,345.83,279.28,155.9,117.62,86.53,67.05,47.12,35.25
Gross Profit,365.19,318.67,308.83,455.71,391.25,210.36,152.63,107.5,74.19,57.42,48.29
"Selling, General & Admin",253.2,238.28,216.89,215.83,183.87,115.62,95.61,65.69,51.51,30.85,24.7
Research & Development,51.94,42.75,42.61,43.94,34.27,20.18,19.45,15.82,8.67,7.36,5.74
Operating Expenses,305.13,281.03,259.49,259.77,218.14,135.8,115.06,81.51,60.18,38.21,30.44
Operating Income,60.06,37.65,49.33,195.94,173.11,74.56,37.57,25.99,14.01,19.22,17.85
Interest Expense,-23.13,-22.57,-10.58,-2.98,-12.71,-12.13,-9.29,-6.71,-6.44,-3.77,-0.03
Interest & Investment Income,29.11,35.83,24.14,6.98,0.18,1.74,5.32,1.9,0.37,0.35,0.14
Currency Exchange Gain (Loss),-8.78,0.29,-,-,-,-,-,-,-,-,-0.45
Other Non Operating Income (Expenses),6.67,-5.7,8.12,-9.53,-1.17,-0.21,0.19,0.26,-0.69,-0.86,-
EBT Excluding Unusual Items,63.93,45.49,71.01,190.41,159.41,63.95,33.78,21.44,7.25,14.93,17.51
Merger & Restructuring Charges,-45.76,-46.94,-32.2,-,-,-4.73,-1.98,-,-,-,-
Other Unusual Items,-13.5,-25.59,17.89,28.73,-5.87,-,-5.65,-,-,-3.24,-4.08
Pretax Income,4.66,-27.04,56.71,219.14,153.54,59.22,26.15,21.44,7.25,11.69,13.42
Income Tax Expense,2.92,-1.52,21.11,33.18,25.25,-0.71,4.74,4.82,-21.11,0.01,4.08
Net Income,1.74,-25.51,35.6,185.96,128.29,59.93,21.41,16.62,28.35,11.68,9.35
Net Income to Common,1.74,-25.51,35.6,185.96,128.29,59.93,21.41,16.62,28.35,11.68,9.35
Net Income Growth,-,-,-80.86%,44.95%,114.08%,179.88%,28.85%,-41.39%,142.73%,25.00%,14.38%
Shares Outstanding (Basic),56,56,56,55,55,53,48,44,38,34,33
Shares Outstanding (Diluted),56,56,56,57,57,54,49,45,39,34,34
Shares Change (YoY),0.53%,-0.78%,-1.88%,0.33%,6.26%,9.52%,8.21%,16.15%,14.81%,1.55%,0.94%
EPS (Basic),0.03,-0.46,0.64,3.35,2.33,1.14,0.44,0.38,0.74,0.35,0.28
EPS (Diluted),0.03,-0.46,0.63,3.24,2.24,1.11,0.44,0.37,0.72,0.34,0.28
EPS Growth,-,-,-80.58%,44.79%,101.80%,152.27%,18.92%,-48.61%,111.77%,21.43%,12.00%
Free Cash Flow,109.98,149.72,77.7,87.25,51.93,40.17,48.71,22.14,12,3.2,12.43
Free Cash Flow Per Share,1.96,2.68,1.38,1.52,0.91,0.74,0.99,0.49,0.31,0.09,0.37
Gross Margin,51.59%,50.23%,48.84%,56.85%,58.35%,57.44%,56.48%,55.40%,52.53%,54.93%,57.80%
Operating Margin,8.48%,5.93%,7.80%,24.45%,25.82%,20.36%,13.90%,13.39%,9.92%,18.38%,21.36%
Profit Margin,0.25%,-4.02%,5.63%,23.20%,19.13%,16.36%,7.92%,8.56%,20.08%,11.17%,11.19%
Free Cash Flow Margin,15.54%,23.60%,12.29%,10.88%,7.74%,10.97%,18.02%,11.41%,8.49%,3.06%,14.87%
EBITDA,137.22,107.3,114.07,246.93,211.56,101.62,58.43,41.77,24.51,24.55,22.44
EBITDA Margin,19.38%,16.91%,18.04%,30.81%,31.55%,27.75%,21.62%,21.52%,17.36%,23.48%,26.86%
D&A For EBITDA,77.16,69.65,64.74,50.99,38.45,27.07,20.87,15.78,10.51,5.33,4.59
EBIT,60.06,37.65,49.33,195.94,173.11,74.56,37.57,25.99,14.01,19.22,17.85
EBIT Margin,8.48%,5.93%,7.80%,24.45%,25.82%,20.36%,13.90%,13.39%,9.92%,18.38%,21.36%
Effective Tax Rate,62.72%,-,37.23%,15.14%,16.45%,-,18.13%,22.48%,-,0.09%,30.38%
Revenue as Reported,707.89,634.44,632.36,801.54,670.53,366.26,270.25,194.03,141.24,104.54,83.54
Advertising Expenses,-,0.7,0.8,0.6,0.6,0.3,0.1,0.2,0.2,0.4,-
