Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,475","8,064","10,039","9,401","14,643","10,414","4,815","2,313","1,581","1,043",932
Market Cap Growth,10.29%,-19.66%,6.78%,-35.80%,40.61%,116.26%,108.18%,46.35%,51.59%,11.88%,43.85%
Enterprise Value,"8,415","7,953","9,828","9,246","14,335","10,132","4,561","2,225","1,519",958,861
Last Close Price,150.56,143.94,179.80,169.31,264.84,191.63,92.50,52.74,36.28,30.82,28.29
PE Ratio,5916.84,-,282.02,50.55,114.14,173.78,224.91,139.20,55.75,89.26,99.73
Forward PE,77.97,87.92,113.74,60.75,88.07,130.41,90.69,62.75,108.85,79.37,67.36
PS Ratio,11.95,12.71,15.88,11.73,21.84,28.43,17.82,11.92,11.19,9.97,11.16
PB Ratio,4.07,4.09,5.11,4.92,8.37,6.81,4.54,3.76,2.67,6.18,7.59
P/TBV Ratio,14.74,14.83,17.59,13.54,26.51,16.70,12.71,15.08,13.23,13.13,9.74
P/FCF Ratio,77.06,53.87,129.20,107.75,281.99,259.25,98.86,104.50,131.75,326.23,75.01
P/OCF Ratio,64.75,45.98,88.12,54.63,123.03,166.29,71.64,70.59,90.57,138.63,61.91
PEG Ratio,2.31,2.81,5.72,4.56,3.30,4.35,3.86,3.52,6.05,3.18,3.85
EV/Sales Ratio,11.89,12.54,15.54,11.54,21.38,27.67,16.88,11.47,10.76,9.17,10.31
EV/EBITDA Ratio,61.33,74.12,86.15,37.44,67.76,99.71,78.06,53.28,61.97,39.03,38.39
EV/EBIT Ratio,140.11,211.26,199.21,47.19,82.81,135.90,121.42,85.63,108.47,49.87,48.27
EV/FCF Ratio,76.51,53.12,126.49,105.97,276.07,252.24,93.64,100.53,126.63,299.83,69.33
Debt / Equity Ratio,0.33,0.35,0.36,0.22,0.21,0.18,0.25,0.17,0.17,0.56,-
Debt / EBITDA Ratio,4.15,5.05,5.12,1.53,1.60,2.52,4.09,2.48,4.05,3.88,-
Debt / FCF Ratio,6.26,4.58,9.16,4.85,7.05,6.86,5.41,4.68,8.27,29.81,-
Asset Turnover,0.25,0.22,0.24,0.33,0.32,0.22,0.25,0.26,0.27,0.48,0.61
Inventory Turnover,2.00,1.83,1.47,1.64,2.00,2.08,2.42,2.13,2.11,2.21,2.32
Quick Ratio,6.85,7.03,5.31,1.83,1.92,2.47,11.84,1.77,7.99,7.49,4.43
Current Ratio,8.36,8.41,6.74,2.47,2.48,2.83,13.29,2.12,9.63,8.74,5.50
Return on Equity (ROE),0.08%,-1.30%,1.84%,10.16%,7.82%,4.63%,2.56%,2.75%,7.46%,8.01%,7.97%
Return on Assets (ROA),1.31%,0.83%,1.15%,5.01%,5.08%,2.82%,2.16%,2.14%,1.70%,5.52%,8.13%
Return on Capital (ROIC),1.38%,0.88%,1.23%,5.50%,5.52%,2.98%,2.30%,2.30%,1.83%,6.21%,9.51%
Return on Capital Employed (ROCE),2.20%,1.40%,1.90%,9.20%,8.70%,4.70%,2.80%,4.00%,1.90%,7.20%,14.00%
Earnings Yield,0.02%,-0.32%,0.36%,1.98%,0.88%,0.57%,0.45%,0.72%,1.79%,1.12%,1.00%
FCF Yield,1.30%,1.86%,0.77%,0.93%,0.36%,0.39%,1.01%,0.96%,0.76%,0.31%,1.33%
Buyback Yield / Dilution,-0.53%,0.78%,1.88%,-0.33%,-6.26%,-9.52%,-8.21%,-16.15%,-14.81%,-1.55%,-0.94%
