Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Revenue,"2,182","2,094","2,048","2,036","1,239","1,144",937.84,858.29,790.25,712.9,623.21
Revenue Growth (YoY),38.48%,2.26%,0.60%,64.28%,8.35%,21.95%,9.27%,8.61%,10.85%,14.39%,7.44%
Cost of Revenue,"1,106","1,090","1,045",977,430.8,400.7,308.67,283.4,268.22,234.56,203.53
Gross Profit,"1,076","1,004","1,004","1,059",808.4,743,629.17,574.89,522.03,478.34,419.68
"Selling, General & Admin",754.3,753.8,664,640.8,395.4,369,314.66,285.42,273.01,254.71,252.73
Research & Development,202.9,222.8,175.2,191.4,137.2,118.7,93.3,81.01,65.23,57.69,55.72
Operating Expenses,957.2,976.6,839.2,832.2,532.6,487.7,407.96,366.42,338.25,312.39,308.44
Operating Income,119.1,27.8,164.3,226.6,275.8,255.3,221.22,208.47,183.79,165.95,111.24
Interest Expense,-37.5,-43.6,-50.3,-25.7,-0.3,-0.3,-0.33,-0.71,-0.68,-3.26,-3.49
Interest & Investment Income,3.9,4.8,3,1.8,0.9,5.5,13.92,8.18,2.97,0.46,0.09
Currency Exchange Gain (Loss),-0.8,0.2,-1.1,7.3,-2,2.7,-0.63,-2.03,-0.27,0.1,-0.5
Other Non Operating Income (Expenses),-,-,-,-,-,-,-0.01,0.29,-0.01,0.26,-
EBT Excluding Unusual Items,84.7,-10.8,115.9,210,274.4,263.2,234.17,214.2,185.8,163.52,107.34
Merger & Restructuring Charges,-,-,-,-16.6,-,-,-,-,-,-,-
Asset Writedown,-304,-304,-10,-,-,-,-,-,-,-,-9.7
Legal Settlements,-3.3,-0.5,-17.8,-,-,0.5,-,-0.43,-,270,19.61
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-0.9
Pretax Income,-208.3,-305.3,88.1,193.4,274.4,263.7,234.17,213.78,185.8,433.52,116.35
Income Tax Expense,32,-0.4,6.6,49.9,44.8,23.4,37.95,20.23,61.01,122.42,34.85
Earnings From Continuing Operations,-240.3,-304.9,81.5,143.5,229.6,240.3,196.22,193.54,124.79,311.1,81.5
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,1.8
Net Income,-569.4,-304.9,81.5,143.5,229.6,240.3,196.22,193.54,124.79,311.1,83.3
Net Income to Common,-569.4,-304.9,81.5,143.5,229.6,240.3,196.22,193.54,124.79,311.1,83.3
Net Income Growth,-,-,-43.21%,-37.50%,-4.45%,22.47%,1.38%,55.10%,-59.89%,273.47%,14.87%
Shares Outstanding (Basic),54,53,53,54,55,55,53,52,52,50,51
Shares Outstanding (Diluted),54,53,54,55,58,58,57,56,56,53,54
Shares Change (YoY),-0.78%,-1.48%,-1.99%,-4.33%,-0.52%,1.58%,1.89%,0.29%,5.04%,-0.95%,-3.35%
EPS (Basic),-10.55,-5.72,1.54,2.68,4.16,4.39,3.67,3.70,2.42,6.28,1.62
EPS (Diluted),-10.55,-5.72,1.51,2.60,3.98,4.14,3.44,3.45,2.23,5.85,1.55
EPS Growth,-,-,-41.92%,-34.67%,-3.86%,20.35%,-0.29%,54.71%,-61.88%,277.42%,19.23%
Free Cash Flow,190.4,176.4,50.1,-23.4,239.1,138.6,153.27,222.4,12.38,399.42,66.81
Free Cash Flow Per Share,3.53,3.31,0.93,-0.42,4.14,2.39,2.68,3.97,0.22,7.51,1.24
Gross Margin,49.33%,47.96%,49.00%,52.01%,65.24%,64.96%,67.09%,66.98%,66.06%,67.10%,67.34%
Operating Margin,5.46%,1.33%,8.02%,11.13%,22.26%,22.32%,23.59%,24.29%,23.26%,23.28%,17.85%
Profit Margin,-26.10%,-14.56%,3.98%,7.05%,18.53%,21.01%,20.92%,22.55%,15.79%,43.64%,13.37%
Free Cash Flow Margin,8.73%,8.42%,2.45%,-1.15%,19.30%,12.12%,16.34%,25.91%,1.57%,56.03%,10.72%
EBITDA,192.9,107.1,243.3,358.3,310.9,284.2,244.7,229.6,203.85,180.96,126.73
EBITDA Margin,8.84%,5.11%,11.88%,17.60%,25.09%,24.85%,26.09%,26.75%,25.80%,25.38%,20.33%
D&A For EBITDA,73.8,79.3,79,131.7,35.1,28.9,23.49,21.13,20.06,15.02,15.48
EBIT,119.1,27.8,164.3,226.6,275.8,255.3,221.22,208.47,183.79,165.95,111.24
EBIT Margin,5.46%,1.33%,8.02%,11.13%,22.26%,22.32%,23.59%,24.29%,23.26%,23.28%,17.85%
Effective Tax Rate,-,-,7.49%,25.80%,16.33%,8.87%,16.21%,9.46%,32.84%,28.24%,29.95%
Revenue as Reported,"2,182","2,094","2,048","2,036",-,-,937.84,858.29,790.25,712.9,630.11
Advertising Expenses,-,58.2,61.4,49.3,9,30.8,14,17.9,17.8,14.3,10.7
