Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Cash & Equivalents,312.3,177.6,163,202.9,745.3,641.45,567.69,552.49,315.3,305.97,132.32
Short-Term Investments,-,-,-,-,-,-,120,-,-,-,-
Cash & Short-Term Investments,312.3,177.6,163,202.9,745.3,641.45,687.69,552.49,315.3,305.97,132.32
Cash Growth,97.04%,8.96%,-19.66%,-72.78%,16.19%,-6.72%,24.47%,75.23%,3.05%,131.24%,-1.59%
Accounts Receivable,319.2,449.3,385.1,478.3,231.6,166.84,157.53,113.41,128.71,109.17,88.16
Other Receivables,36.7,40,35.9,26.8,12.8,14.55,9.31,6.52,6.56,0.08,-
Receivables,355.9,489.3,421,505.1,244.4,181.38,166.84,119.93,135.27,109.55,88.48
Inventory,338.6,459.2,545,501,201.4,215.95,115.87,94.73,92.26,72.54,62.04
Prepaid Expenses,27.2,41.2,63.1,81.2,33.7,33.32,13.55,10.58,10.52,13.05,9.93
Restricted Cash,2.4,2.7,3,2.4,3,3.4,0.23,-,-,2.08,-
Other Current Assets,11.9,55.8,36.8,16,10.7,25.67,11.89,11.55,6.35,4.03,6.38
Total Current Assets,"1,048","1,226","1,232","1,309","1,239","1,101",996.06,789.28,559.7,507.23,299.14
"Property, Plant & Equipment",370.6,456,483.5,472.1,303.3,304.84,238.69,165.97,164.1,136,132.47
Long-Term Investments,5.9,8.6,9.9,13.8,13.8,8,6.48,1.2,1.23,0.2,-
Goodwill,100.8,96.7,407.7,445.4,100.3,103.21,22.35,23.3,20.62,19.78,20.39
Other Intangible Assets,56.7,558.2,652.3,722.6,72.5,73.92,27.25,27.92,27.12,29.38,27.56
Long-Term Accounts Receivable,68.3,78.9,88.4,82.5,78.6,61.59,52.42,2.37,4.27,-,-
Long-Term Deferred Tax Assets,119.3,143.6,107.2,102.5,52.6,39.36,35.97,21.21,19.98,38.98,44.32
Long-Term Deferred Charges,24.5,25,21.8,17.1,11.9,7.48,5.26,5.09,98.87,79.95,66.84
Other Long-Term Assets,23.1,32.9,38.8,46,15.5,12.99,11.65,118.49,9.55,9.02,11.01
Total Assets,"1,818","2,626","3,042","3,211","1,887","1,713","1,396","1,155",905.44,820.53,601.74
Accounts Payable,117.9,252.8,251.5,276.8,75.6,64.06,54.55,40.39,33.78,34.34,25.87
Accrued Expenses,164.8,205.2,170.4,219.4,125.4,114.23,83.17,73.43,54,66.64,70.99
Current Portion of Long-Term Debt,-,37.3,34.3,15.1,-,-,-,-,-,-,-
Current Portion of Leases,7.7,21.4,18.2,18.7,6.4,5.98,4.65,-,-,0.07,0.07
Current Income Taxes Payable,17.3,18.4,16.1,32.1,12,5.91,7.14,3.07,4.29,76.32,2.78
Current Unearned Revenue,38,46.8,37.4,36,29.9,28.98,11.76,8.59,32.11,38.2,21.28
Other Current Liabilities,24,35.8,35.9,31.9,18.4,14.68,10.94,21.08,5.47,4.8,11.65
Total Current Liabilities,369.7,617.7,563.8,630,267.7,233.84,172.22,146.56,129.65,220.37,132.63
Long-Term Debt,559.1,727.9,871.7,941.6,-,-,-,-,-,-,185
Long-Term Leases,19.4,59.5,45.8,53.4,26.3,28.37,15.83,-,-,-,0.07
Long-Term Unearned Revenue,23.2,27.4,26.4,25,5.2,4.24,2.23,-,0.24,25.34,0.3
Pension & Post-Retirement Benefits,5.1,9,9.5,10.1,-,-,-,-,-,-,-
Long-Term Deferred Tax Liabilities,-,100.1,111.7,163.6,5.1,6.25,3.05,2.96,9.88,0.34,0.19
Other Long-Term Liabilities,31,32.2,47.8,48,32.5,32.21,34.92,36.24,41.64,14.25,7.83
Total Liabilities,"1,008","1,574","1,677","1,872",336.8,304.91,228.25,185.75,181.41,260.29,326.02
Common Stock,0.1,0.1,0.1,0.1,0.1,0.06,0.05,0.05,0.05,0.05,0.05
Additional Paid-In Capital,919.8,838.3,783.4,782.2,752.5,703.69,600.62,533.16,461.49,382.26,332.42
Retained Earnings,"1,271","1,491","1,796","1,714","1,571","1,341","1,100",931.07,737.96,589.23,288.56
Treasury Stock,"-1,368","-1,169","-1,169","-1,169",-767.7,-638.74,-526.58,-489.03,-472.54,-404.28,-340.87
Comprehensive Income & Other,-13.4,-108.2,-45.3,11.5,-5.5,1.41,-6.72,-6.2,-2.94,-7.03,-4.74
Total Common Equity,810,"1,052","1,365","1,339","1,550","1,408","1,168",969.07,724.03,560.24,275.42
Minority Interest,-,-,-,-,-,-,-,-,-,-,0.3
Shareholders' Equity,810,"1,052","1,365","1,339","1,550","1,408","1,168",969.07,724.03,560.24,275.71
