Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Market Capitalization,"8,188","9,154","6,194","7,777","16,168","14,776","8,550","5,594","4,382","3,348","2,087"
Market Cap Growth,9.38%,47.80%,-20.36%,-51.90%,9.42%,72.81%,52.84%,27.67%,30.86%,60.40%,53.89%
Enterprise Value,"8,462","9,856","7,069","8,596","15,549","14,085","7,938","5,101","4,092","3,375","2,173"
Last Close Price,152.43,170.97,117.21,147.95,292.78,268.38,159.49,105.56,84.80,67.40,41.51
PE Ratio,-,-,75.99,54.20,70.42,61.49,43.58,28.90,35.11,10.76,25.06
Forward PE,26.62,37.02,39.57,34.91,68.50,75.36,46.13,35.82,33.34,31.75,25.84
PS Ratio,3.77,4.37,3.02,3.82,13.05,12.92,9.12,6.52,5.55,4.70,3.35
PB Ratio,10.11,8.70,4.54,5.81,10.43,10.50,7.32,5.77,6.05,5.98,7.57
P/TBV Ratio,12.55,23.06,20.32,45.51,11.74,12.01,7.65,6.10,6.48,6.55,9.18
P/FCF Ratio,43.00,51.89,123.62,-,67.62,106.61,55.79,25.15,353.99,8.38,31.24
P/OCF Ratio,39.40,46.61,65.82,264.52,61.10,69.99,38.58,23.36,78.16,7.99,17.81
PEG Ratio,-,-,3.67,2.36,5.71,6.36,2.49,2.54,6.54,2.12,1.55
EV/Sales Ratio,3.88,4.71,3.45,4.22,12.55,12.32,8.46,5.94,5.18,4.73,3.49
EV/EBITDA Ratio,43.86,92.03,29.05,23.99,50.01,49.56,32.44,22.22,20.07,18.65,17.15
EV/EBIT Ratio,71.05,354.54,43.02,37.93,56.38,55.17,35.88,24.47,22.26,20.34,19.54
EV/FCF Ratio,44.44,55.87,141.09,-,65.03,101.63,51.79,22.94,330.57,8.45,32.52
Debt / Equity Ratio,0.72,0.80,0.71,0.77,0.02,0.02,0.02,-,-,0,0.67
Debt / EBITDA Ratio,2.70,6.37,3.65,2.73,0.10,0.12,0.08,-,-,0.00,1.46
Debt / FCF Ratio,3.08,4.80,19.36,-,0.14,0.25,0.13,-,-,0,2.77
Asset Turnover,0.89,0.74,0.66,0.80,0.69,0.74,0.74,0.83,0.92,1.00,1.07
Inventory Turnover,2.43,2.17,2.00,2.78,2.06,2.42,2.93,3.03,3.26,3.49,3.09
Quick Ratio,1.81,1.08,1.04,1.12,3.70,3.52,4.96,4.59,3.48,1.88,1.66
Current Ratio,2.84,1.98,2.19,2.08,4.63,4.71,5.78,5.39,4.32,2.30,2.26
Return on Equity (ROE),-21.14%,-25.23%,6.03%,9.93%,15.53%,18.66%,18.36%,22.86%,19.43%,74.43%,27.94%
Return on Assets (ROA),3.03%,0.61%,3.28%,5.56%,9.58%,10.27%,10.84%,12.65%,13.31%,14.59%,11.92%
Return on Capital (ROIC),4.00%,0.82%,4.37%,7.17%,11.40%,12.13%,12.82%,15.39%,17.89%,20.31%,15.56%
Return on Capital Employed (ROCE),8.20%,1.40%,6.60%,8.80%,17.00%,17.30%,18.10%,20.70%,23.70%,27.70%,23.70%
Earnings Yield,-6.95%,-3.33%,1.32%,1.85%,1.42%,1.63%,2.30%,3.46%,2.85%,9.29%,3.99%
FCF Yield,2.33%,1.93%,0.81%,-0.30%,1.48%,0.94%,1.79%,3.98%,0.28%,11.93%,3.20%
Buyback Yield / Dilution,0.78%,1.48%,1.99%,4.33%,0.52%,-1.58%,-1.89%,-0.29%,-5.04%,0.95%,3.35%
