Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Cash & Equivalents,267.96,281.97,435.9,232.77,559.99,162.17,37.22,146.44,1.9
Short-Term Investments,807.01,568.77,753.98,845.37,405.65,137.5,54.63,-,-
Cash & Short-Term Investments,"1,075",850.74,"1,190","1,078",965.65,299.67,91.85,146.44,1.9
Cash Growth,16.12%,-28.50%,10.36%,11.65%,222.24%,226.27%,-37.28%,7603.47%,-
Receivables,-,-,-,-,300,-,-,-,-
Prepaid Expenses,23.58,27.41,21.17,14.76,7.36,8.65,2.7,1.83,0.14
Total Current Assets,"1,099",878.15,"1,211","1,093","1,273",308.32,94.54,148.28,2.04
"Property, Plant & Equipment",205.29,216.28,237.81,234.13,186.98,125.37,43.25,16.94,0.34
Long-Term Deferred Charges,-,-,-,-,-,-,3.1,-,-
Other Long-Term Assets,7.25,9.4,10.87,14.69,14.47,17.98,15.21,1.79,0.03
Total Assets,"1,311","1,104","1,460","1,342","1,474",451.68,156.1,167.01,2.4
Accounts Payable,9.55,3.87,1.62,9.03,7.47,6.31,7.85,7.35,0.73
Accrued Expenses,36.29,36.13,35.05,30.72,56.87,11.96,6.03,1.69,0.13
Current Portion of Leases,12.69,13.47,12.78,12.23,9.83,6.34,5.64,-,-
Current Unearned Revenue,110.32,108.86,68.71,135.97,86.27,0.02,-,-,-
Other Current Liabilities,13.72,19.74,87.42,35.64,53,77.7,9.63,16.54,5.71
Total Current Liabilities,182.56,182.07,205.57,223.6,213.44,102.34,29.14,25.59,6.57
Long-Term Leases,138.73,147.96,159.91,168.63,137.82,101.31,25.6,-,-
Long-Term Unearned Revenue,10.16,33.22,109.89,202.18,262.3,0.39,-,-,-
Other Long-Term Liabilities,13.63,7.04,3.02,13.84,34.16,2.08,0.42,7.4,0.02
Total Liabilities,345.08,370.28,478.39,608.24,647.72,206.12,55.15,32.98,6.59
Common Stock,1.01,0.84,0.82,0.71,0.68,0.57,0.07,0.06,0.02
Additional Paid-In Capital,"2,855","2,299","2,170","1,793","1,594",642.63,1.85,7.26,-
Retained Earnings,"-1,891","-1,567","-1,190","-1,057",-768.27,-397.64,-203.04,-124.72,-9.46
Comprehensive Income & Other,0.79,0.68,0.6,-2.43,-0.05,-0.01,0.02,-,-
Total Common Equity,966,733.55,981.33,733.47,826.74,245.56,-201.1,-117.41,-9.44
Shareholders' Equity,966,733.55,981.33,733.47,826.74,245.56,100.95,134.03,-4.18
Total Liabilities & Equity,"1,311","1,104","1,460","1,342","1,474",451.68,156.1,167.01,2.4
Total Debt,151.42,161.43,172.69,180.86,147.64,107.64,31.24,-,-
Net Cash (Debt),923.55,689.32,"1,017",897.28,818,192.03,60.61,146.44,1.9
Net Cash Growth,20.93%,-32.23%,13.36%,9.69%,325.98%,216.82%,-58.61%,7603.47%,-
Net Cash Per Share,9.84,8.37,13.18,12.82,12.74,4.11,9.35,50.60,7.35
Filing Date Shares Outstanding,98.69,81.11,78.73,70.7,67.6,61.14,48.68,5.57,0.49
Total Common Shares Outstanding,98.58,81.06,78.71,69.58,67.26,55.98,7.33,5.57,0.49
Working Capital,915.99,696.08,"1,005",869.3,"1,060",205.98,65.41,122.69,-4.53
Book Value Per Share,9.80,9.05,12.47,10.54,12.29,4.39,-27.45,-21.10,-19.38
Tangible Book Value,966,733.55,981.33,733.47,826.74,245.56,-201.1,-117.41,-9.44
Tangible Book Value Per Share,9.80,9.05,12.47,10.54,12.29,4.39,-27.45,-21.10,-19.38
Machinery,84.41,79.79,69.67,54.79,35.23,18.83,13.62,7.34,0.18
Construction In Progress,10.24,2.53,5.28,5.2,7.35,15.88,2.19,-,-
Leasehold Improvements,102.25,101.2,100.19,85.8,57.76,12.71,12.65,10.26,0.17
