Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Revenue,55.7,63.52,377.71,60.92,51.84,0.02,0.02,-,-
Revenue Growth (YoY),-84.07%,-83.18%,520.01%,17.51%,215916.67%,33.33%,-,-,-
Cost of Revenue,411.79,367.56,437.38,311.59,232.13,103.18,54.62,33.87,-
Gross Profit,-356.09,-304.04,-59.67,-250.67,-180.29,-103.16,-54.6,-33.87,-
"Selling, General & Admin",110.2,111.53,116.81,87.81,57.22,29.61,20.55,11.87,2.2
Research & Development,-,-,-,-,-,-,-,-,6.39
Operating Expenses,110.2,111.53,116.81,87.81,57.22,29.61,20.55,11.87,8.6
Operating Income,-466.29,-415.57,-176.49,-338.48,-237.51,-132.76,-75.15,-45.74,-8.6
Interest Expense,-,-,-,-,-0.01,-,-,-,-
Interest & Investment Income,44.02,49.09,46.68,15.3,-,1.05,2.23,0.29,-
Earnings From Equity Investments,-,-,-,-25.5,-,-,-,-,-
Other Non Operating Income (Expenses),0.52,2.27,7.5,23.9,-1,-63.4,-5.4,-21.79,-0.13
EBT Excluding Unusual Items,-421.74,-364.2,-122.31,-324.78,-238.52,-195.11,-78.33,-67.24,-8.73
Merger & Restructuring Charges,-,-,-,-,-,-,-,-49.5,-
Gain (Loss) on Sale of Investments,6.18,-14.09,-18.59,20.2,17.69,0.52,-,-,-
Other Unusual Items,0.92,1.59,9.74,18.9,5.15,-,-,-,-
Pretax Income,-414.64,-376.7,-131.16,-285.68,-370.64,-194.59,-78.33,-116.74,-8.73
Income Tax Expense,-,0.04,1.37,3.41,-,-,-,-,-
Earnings From Continuing Operations,-414.64,-376.74,-132.53,-289.09,-370.64,-194.59,-78.33,-116.74,-8.73
Minority Interest in Earnings,-,-,-,-,-,-,-,1.48,-
Net Income,-414.64,-376.74,-132.53,-289.09,-370.64,-194.59,-78.33,-115.26,-8.73
Preferred Dividends & Other Adjustments,-,-,-,-,-,1.28,12.71,2.07,1.84
Net Income to Common,-414.64,-376.74,-132.53,-289.09,-370.64,-195.87,-91.04,-117.33,-10.57
Shares Outstanding (Basic),94,82,77,70,64,47,6,3,0
Shares Outstanding (Diluted),94,82,77,70,64,47,6,3,0
Shares Change (YoY),14.73%,6.69%,10.19%,9.01%,37.44%,621.24%,123.90%,1019.44%,-
EPS (Basic),-4.42,-4.58,-1.72,-4.13,-5.77,-4.19,-14.05,-40.54,-40.88
EPS (Diluted),-4.42,-4.58,-1.72,-4.13,-5.77,-4.19,-14.05,-40.54,-40.88
Free Cash Flow,-352.36,-356.19,-182.93,-26.42,-113.08,-112.1,-84.52,-33.42,-3.33
Free Cash Flow Per Share,-3.75,-4.33,-2.37,-0.38,-1.76,-2.40,-13.04,-11.55,-12.88
Gross Margin,-,-,-15.80%,-,-,-,-,-,-
Operating Margin,-837.12%,-654.25%,-46.73%,-555.61%,-458.13%,-553166.67%,-417522.22%,-,-
Profit Margin,-744.41%,-593.13%,-35.09%,-474.54%,-714.91%,-816120.83%,-505777.78%,-,-
Free Cash Flow Margin,-632.59%,-560.77%,-48.43%,-43.38%,-218.11%,-467075.00%,-469561.11%,-,-
EBITDA,-444.22,-393.64,-156.47,-324.33,-230.06,-128.03,-71.65,-45.09,-8.58
EBITDA Margin,-,-,-41.43%,-,-,-,-,-,-
D&A For EBITDA,22.07,21.93,20.01,14.15,7.45,4.74,3.5,0.65,0.01
EBIT,-466.29,-415.57,-176.49,-338.48,-237.51,-132.76,-75.15,-45.74,-8.6
EBIT Margin,-,-,-46.73%,-,-,-,-,-,-
