Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"2,163","1,974","2,159","2,692","5,327","4,611",-,-,-
Market Cap Growth,24.89%,-8.58%,-19.78%,-49.47%,15.54%,-,-,-,-
Enterprise Value,"1,240","1,210","1,318","1,776","4,539","4,443",-,-,-
Last Close Price,21.92,24.80,27.22,39.11,79.69,81.64,-,-,-
PS Ratio,36.95,31.08,5.72,44.18,102.75,192105.00,-,-,-
PB Ratio,2.24,2.69,2.20,3.67,6.44,18.77,-,-,-
P/TBV Ratio,2.24,2.69,2.20,3.67,6.44,18.77,-,-,-
P/OCF Ratio,-,-,-,119.48,-,-,-,-,-
EV/Sales Ratio,22.26,19.05,3.49,29.15,87.56,185109.63,-,-,-
Debt / Equity Ratio,0.16,0.22,0.18,0.25,0.18,0.44,0.31,-,-
Asset Turnover,0.05,0.05,0.27,0.04,0.05,0,0,-,-
Quick Ratio,5.89,4.67,5.79,4.82,5.93,2.93,3.15,5.72,0.29
Current Ratio,6.02,4.82,5.89,4.89,5.96,3.01,3.25,5.80,0.31
Return on Equity (ROE),-47.19%,-43.94%,-15.46%,-37.06%,-69.13%,-112.32%,-66.67%,-179.81%,-
Return on Assets (ROA),-23.48%,-20.26%,-7.88%,-15.02%,-15.41%,-27.30%,-29.07%,-33.75%,-
Return on Capital (ROIC),-28.15%,-25.35%,-10.67%,-22.40%,-22.36%,-34.19%,-35.29%,-44.03%,-
Return on Capital Employed (ROCE),-41.30%,-45.10%,-14.10%,-30.30%,-18.80%,-38.00%,-59.20%,-32.30%,206.50%
Earnings Yield,-19.17%,-19.09%,-6.14%,-10.74%,-6.96%,-4.22%,-,-,-
FCF Yield,-16.29%,-18.05%,-8.47%,-0.98%,-2.12%,-2.43%,-,-,-
Buyback Yield / Dilution,-14.73%,-6.69%,-10.19%,-9.01%,-37.44%,-621.24%,-123.90%,-1019.44%,-
