Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Dec '21Dec 25, 2021","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Dec '15Dec 26, 2015"
Market Capitalization,"8,634","8,780","9,838","10,826","10,391","9,399","9,770","11,878","10,968","12,211","13,027"
Market Cap Growth,-3.18%,-10.75%,-9.13%,4.19%,10.55%,-3.80%,-17.75%,8.30%,-10.18%,-6.26%,12.59%
Enterprise Value,"11,939","13,114","13,409","13,288","12,654","11,193","11,947","14,642","13,191","13,783","14,352"
Last Close Price,73.34,70.42,75.71,79.87,74.93,65.83,66.58,61.08,54.78,59.46,61.57
PE Ratio,23.14,22.51,23.65,20.12,16.47,23.27,14.06,22.17,27.00,24.10,27.19
Forward PE,14.15,14.09,16.74,16.35,17.31,17.74,18.39,17.89,18.37,21.41,24.48
PS Ratio,0.69,0.69,0.80,0.86,0.84,0.93,0.98,1.26,1.24,1.06,1.23
PB Ratio,2.59,1.82,1.91,2.32,2.22,2.18,2.49,3.08,3.00,3.58,3.80
P/TBV Ratio,-,-,-,-,-,29.68,-,25.49,-,103.58,36.87
P/FCF Ratio,21.42,12.54,27.87,21.40,16.47,17.09,16.91,19.36,22.70,21.33,23.95
P/OCF Ratio,16.14,10.35,19.68,17.98,14.64,15.69,14.94,17.35,20.11,19.00,21.17
PEG Ratio,1.67,1.67,2.56,2.57,1.16,2.59,2.57,2.27,2.09,1.92,2.35
EV/Sales Ratio,0.92,1.03,1.09,1.05,1.02,1.11,1.20,1.56,1.49,1.19,1.35
EV/EBITDA Ratio,11.81,12.93,14.11,12.29,11.83,14.87,13.02,17.49,16.31,13.96,15.47
EV/EBIT Ratio,16.24,17.58,18.42,14.98,14.71,19.74,16.30,21.11,19.54,16.86,18.67
EV/FCF Ratio,29.63,18.73,37.99,26.26,20.05,20.35,20.67,23.87,27.31,24.08,26.39
Debt / Equity Ratio,0.70,0.59,0.53,0.32,0.26,0.23,0.26,0.50,0.46,0.36,0.24
Debt / EBITDA Ratio,3.00,2.51,2.57,1.22,1.04,1.19,0.99,2.32,2.06,1.23,0.87
Debt / FCF Ratio,8.54,4.10,7.79,2.96,1.93,1.82,1.73,3.16,3.45,2.13,1.49
Asset Turnover,1.19,1.22,1.29,1.48,1.53,1.36,1.28,1.15,1.22,1.75,1.68
Inventory Turnover,4.86,4.78,4.49,4.61,5.17,4.97,4.85,3.89,3.41,5.26,5.37
Quick Ratio,0.60,0.57,0.76,0.70,0.68,0.81,0.66,0.38,0.60,0.57,0.61
Current Ratio,1.40,1.42,1.67,1.79,1.67,1.66,1.58,1.30,1.44,1.44,1.51
Return on Equity (ROE),8.35%,7.97%,8.88%,12.11%,14.69%,10.18%,18.67%,12.00%,9.02%,16.28%,15.37%
Return on Assets (ROA),4.23%,4.49%,4.75%,6.49%,6.61%,4.75%,5.85%,5.30%,5.77%,7.70%,7.60%
Return on Capital (ROIC),5.63%,5.97%,6.47%,9.19%,9.59%,6.93%,8.55%,7.80%,8.48%,11.53%,11.51%
Return on Capital Employed (ROCE),9.20%,10.10%,9.20%,13.90%,13.90%,10.30%,14.30%,13.10%,13.40%,18.40%,17.60%
Earnings Yield,4.53%,4.44%,4.23%,4.97%,6.07%,4.30%,7.11%,4.51%,3.70%,4.15%,3.68%
FCF Yield,4.67%,7.97%,3.59%,4.67%,6.07%,5.85%,5.92%,5.16%,4.41%,4.69%,4.17%
Buyback Yield / Dilution,4.24%,3.01%,4.36%,2.83%,1.14%,3.92%,2.90%,2.84%,3.37%,2.69%,1.88%
