Year Ending,Current,"Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Market Capitalization,608,-,-,-
Enterprise Value,623,-,-,-
Debt / Equity Ratio,-0.49,-0.49,-0.48,-0.51
Debt / EBITDA Ratio,-4.69,-4.69,-2.48,-3.63
Debt / FCF Ratio,-6.44,-6.44,-4.43,-5.56
Quick Ratio,0.12,0.12,0.18,0.38
Interest Coverage,-5.28,-5.28,-7.72,-4.06
Return on Equity (ROE),12.91%,12.91%,22.38%,18.00%
Return on Assets (ROA),-53.35%,-53.35%,-75.81%,-44.51%
Return on Capital (ROIC),16.14%,16.14%,18.39%,20.84%
Return on Capital Employed (ROCE),61.55%,61.55%,141.04%,-107.36%
